dataset,description,version
abrachyrhynchus_gene_ensembl,Pink-footed goose genes (ASM259213v1),ASM259213v1
acalliptera_gene_ensembl,Eastern happy genes (fAstCal1.2),fAstCal1.2
acarolinensis_gene_ensembl,Green anole genes (AnoCar2.0v2),AnoCar2.0v2
acchrysaetos_gene_ensembl,Golden eagle genes (bAquChr1.2),bAquChr1.2
acitrinellus_gene_ensembl,Midas cichlid genes (Midas_v5),Midas_v5
amelanoleuca_gene_ensembl,Giant panda genes (ASM200744v2),ASM200744v2
amexicanus_gene_ensembl,Mexican tetra genes (Astyanax_mexicanus-2.0),Astyanax_mexicanus-2.0
anancymaae_gene_ensembl,Ma's night monkey genes (Anan_2.0),Anan_2.0
aocellaris_gene_ensembl,Clown anemonefish genes (AmpOce1.0),AmpOce1.0
apercula_gene_ensembl,Orange clownfish genes (Nemo_v1),Nemo_v1
aplatyrhynchos_gene_ensembl,Mallard genes (ASM874695v1),ASM874695v1
apolyacanthus_gene_ensembl,Spiny chromis genes (ASM210954v1),ASM210954v1
applatyrhynchos_gene_ensembl,Duck genes (CAU_duck1.0),CAU_duck1.0
atestudineus_gene_ensembl,Climbing perch genes (fAnaTes1.2),fAnaTes1.2
bbbison_gene_ensembl,American bison genes (Bison_UMD1.0),Bison_UMD1.0
bgrunniens_gene_ensembl,Domestic yak genes (LU_Bosgru_v3.0),LU_Bosgru_v3.0
bihybrid_gene_ensembl,Hybrid - Bos Indicus genes (UOA_Brahman_1),UOA_Brahman_1
bmusculus_gene_ensembl,Blue whale genes (mBalMus1.v2),mBalMus1.v2
bmutus_gene_ensembl,Wild yak genes (BosGru_v2.0),BosGru_v2.0
bsplendens_gene_ensembl,Siamese fighting fish genes (fBetSpl5.2),fBetSpl5.2
btaurus_gene_ensembl,Cow genes (ARS-UCD1.2),ARS-UCD1.2
cabingdonii_gene_ensembl,Abingdon island giant tortoise genes (ASM359739v1),ASM359739v1
catys_gene_ensembl,Sooty mangabey genes (Caty_1.0),Caty_1.0
cauratus_gene_ensembl,Goldfish genes (ASM336829v1),ASM336829v1
ccapucinus_gene_ensembl,Capuchin genes (Cebus_imitator-1.0),Cebus_imitator-1.0
ccarpio_gene_ensembl,Common carp genes (common_carp_genome),common_carp_genome
cdromedarius_gene_ensembl,Arabian camel genes (CamDro2),CamDro2
celegans_gene_ensembl,Caenorhabditis elegans genes (WBcel235),WBcel235
cgchok1gshd_gene_ensembl,Chinese hamster CHOK1GS genes (CHOK1GS_HDv1),CHOK1GS_HDv1
cgobio_gene_ensembl,Channel bull blenny genes (fCotGob3.1),fCotGob3.1
charengus_gene_ensembl,Atlantic herring genes (Ch_v2.0.2),Ch_v2.0.2
chircus_gene_ensembl,Goat genes (ARS1),ARS1
choffmanni_gene_ensembl,Sloth genes (choHof1),choHof1
chyarkandensis_gene_ensembl,Yarkand deer genes (CEY_v1),CEY_v1
cintestinalis_gene_ensembl,C.intestinalis genes (KH),KH
cjacchus_gene_ensembl,Marmoset genes (ASM275486v1),ASM275486v1
cjaponica_gene_ensembl,Japanese quail genes (Coturnix_japonica_2.0),Coturnix_japonica_2.0
clanigera_gene_ensembl,Long-tailed chinchilla genes (ChiLan1.0),ChiLan1.0
cldingo_gene_ensembl,Dingo genes (ASM325472v1),ASM325472v1
clfamiliaris_gene_ensembl,Dog genes (CanFam3.1),CanFam3.1
