genes	logFC	logCPM	LR	PValue	FDR
ENSGMOG00000000318	5.44547920581896	10.3212674644324	2003.51520645902	0	0
ENSGMOG00000020141	6.02094329127699	7.52365200489943	1028.53053285785	1.12938703141119e-225	1.16400274392394e-221
ENSGMOG00000019790	3.60143313029974	4.25995495613678	669.575578783474	1.23567571037181e-147	8.49032780596473e-144
ENSGMOG00000013503	4.22502260472697	3.66335132149486	498.419217684463	2.09854215945274e-110	1.08143123831998e-106
ENSGMOG00000009114	3.17977574120768	3.67137938048618	454.16486742962	8.94817261106049e-101	3.6889736406358e-97
ENSGMOG00000009032	-2.59772626064084	2.24061897522964	213.356519875098	2.54445781813037e-48	8.74148483418688e-45
ENSGMOG00000012474	-2.43555378583702	2.5491167431449	183.439006902482	8.60169224771654e-42	2.53295260431687e-38
ENSGMOG00000013920	2.52326868647371	1.77355320819665	171.032860780738	4.40132352679415e-39	1.1340560232226e-35
ENSGMOG00000005891	3.99135878152688	0.766760537503173	165.007992627727	9.11095726678573e-38	2.08671291266949e-34
ENSGMOG00000020500	3.22876248439938	3.41465176420738	129.837120300818	4.44821064355661e-30	9.16909659956325e-27
ENSGMOG00000011732	6.2036269087435	-0.391719702518428	121.209880043169	3.4377008821239e-28	6.44193893483818e-25
ENSGMOG00000016313	1.13494962774633	9.19254497867883	108.735782210695	1.85426841691899e-25	3.18516957316259e-22
ENSGMOG00000007994	-1.18874120520224	5.27526016557765	106.405401669605	6.00937139822612e-25	9.52855174089499e-22
ENSGMOG00000019618	1.31101216743704	3.65210691153014	105.955711601111	7.54016927436598e-25	1.11018220894647e-21
ENSGMOG00000006574	2.18988010690612	1.2549892021257	100.339410282343	1.28396391545297e-23	1.76442321261547e-20
ENSGMOG00000006802	1.05812068279995	6.63231681566728	100.190995007085	1.38387256600253e-23	1.78286032518814e-20
ENSGMOG00000018803	-1.87322724710579	4.09607416118911	99.9219791334897	1.58520290467934e-23	1.92210514553855e-20
ENSGMOG00000014517	1.98863007610927	1.34867152237266	94.3141225215634	2.69222627997039e-22	3.08304779494609e-19
ENSGMOG00000005695	-1.69267032143083	3.02025882567365	93.2439327435395	4.62304536683841e-22	5.01551758666527e-19
ENSGMOG00000010031	1.21583952116752	3.2295311606025	92.6283848090114	6.30959567072894e-22	6.28285132768628e-19
ENSGMOG00000015700	1.14199332096144	3.80533851743227	92.5999796089007	6.40080909529966e-22	6.28285132768628e-19
ENSGMOG00000012331	2.00162771449665	1.34564970790395	92.1951295385701	7.85378204819586e-22	7.35863678906642e-19
ENSGMOG00000010952	-2.34930829062023	1.77016974793268	92.0054840864708	8.64366133693985e-22	7.74659961471048e-19
ENSGMOG00000002955	4.45288881743213	-0.512585749045206	89.2087864399142	3.55267551948794e-21	3.04309734001144e-18
ENSGMOG00000000322	2.1873583867393	1.13757817457423	89.1333568457138	3.69075018193791e-21	3.04309734001144e-18
ENSGMOG00000017182	1.1388690575406	5.16200765920919	87.1573657729755	1.00221077816981e-20	7.94560414246703e-18
ENSGMOG00000010417	0.96210813012744	5.48199023651787	85.3826188405767	2.45872380854248e-20	1.87709903205504e-17
ENSGMOG00000007659	1.93517158460709	1.12929572138452	84.9539282470781	3.05398887774121e-20	2.24828116917427e-17
ENSGMOG00000004256	2.32164204234276	1.95470568475529	83.7172540193014	5.70848284372821e-20	4.05755023647482e-17
ENSGMOG00000016250	4.36347051629993	-0.810833140952727	83.233883004065	7.28974482225355e-20	5.00878366737042e-17
ENSGMOG00000009949	1.11414510515501	3.91825150744053	79.9094856687039	3.91960319405589e-19	2.60628324642175e-16
ENSGMOG00000016449	1.18305288415301	5.99908113721268	79.8194597827158	4.1023241474501e-19	2.64253773910591e-16
ENSGMOG00000016676	-1.63646886394857	1.52173119844062	77.1411422780317	1.59166880553581e-18	9.94214214803321e-16
ENSGMOG00000009289	1.36837422627766	2.87020204791065	71.9929455370809	2.15968063333296e-17	1.30933814396742e-14
ENSGMOG00000017641	-1.03435920664705	7.7671738178615	71.5714832215795	2.67393349069492e-17	1.53645239346212e-14
ENSGMOG00000014657	-1.50421500936679	4.4873951895032	71.51356733968	2.75358229100126e-17	1.53645239346212e-14
ENSGMOG00000017470	1.50149783889761	3.66219561400163	71.510470764945	2.75790707602477e-17	1.53645239346212e-14
ENSGMOG00000006550	-1.00815266752945	4.04681911495538	71.0703256924257	3.44715940777232e-17	1.86990254927397e-14
ENSGMOG00000013623	1.48818873838055	2.70652698360427	70.6251648729953	4.31971581616144e-17	2.28313595175733e-14
ENSGMOG00000015913	0.915842109128114	4.23933779684275	70.4927558689789	4.61959722025829e-17	2.3805939375296e-14
ENSGMOG00000008529	-1.16425290826609	3.25719918605254	70.0066856857431	5.91037969854943e-17	2.97147943234633e-14
ENSGMOG00000016728	-2.48605591222239	0.0448240020872777	68.2328895215232	1.45282230384508e-16	7.13024432122824e-14
ENSGMOG00000005657	1.29253403222228	2.71352848859354	67.7230636473519	1.88149745525132e-16	9.01937373141752e-14
ENSGMOG00000013646	0.874441822253965	4.51943749078313	67.3088737600668	2.32134206919747e-16	1.08749600164471e-13
ENSGMOG00000011194	1.22118113611471	7.13052037171068	67.0927793413467	2.59025388843613e-16	1.18650896449631e-13
ENSGMOG00000012707	0.909160634208643	4.53714319666914	66.9237922153961	2.82208310920996e-16	1.2645999810901e-13
ENSGMOG00000011802	-1.4672498488253	3.10782884432225	64.7794900638802	8.37665255885075e-16	3.67378594033171e-13
ENSGMOG00000006775	-1.96309257566376	0.863766111250144	63.1827486101734	1.88391145296935e-15	8.09022224584523e-13
ENSGMOG00000005079	0.826601878592927	4.38154611219322	62.551216296505	2.59604920365058e-15	1.09208902520101e-12
ENSGMOG00000019128	-0.904390609652715	4.16305961494301	61.4197507092342	4.61161186651925e-15	1.90118310809123e-12
ENSGMOG00000011161	1.25731213402879	4.81673342934029	61.0943216894981	5.44048290689756e-15	2.19891517960548e-12
ENSGMOG00000004062	-1.86260210273807	1.15293885420054	60.9705680048186	5.79344853922718e-15	2.29654528344404e-12
ENSGMOG00000017647	0.948073304000485	3.33157216802443	60.1698172851532	8.70163654047797e-15	3.38427988695985e-12
ENSGMOG00000018606	1.75796054619906	3.22166893271165	59.5562104956815	1.18850485571369e-14	4.53678714644931e-12
ENSGMOG00000012687	2.43293851406583	4.83715044503126	59.2541227224318	1.38569721415804e-14	5.19334121371629e-12
ENSGMOG00000005541	0.73387835111022	8.18880900774285	59.0840102275829	1.5108195458521e-14	5.56116487475881e-12
ENSGMOG00000008616	1.10768663738753	2.74239443852247	58.3805158533795	2.16019830720467e-14	7.81195924673857e-12
ENSGMOG00000016248	1.57710661534605	2.2118452463038	58.1077099917995	2.48151834427952e-14	8.81923062597134e-12
ENSGMOG00000006836	0.771774499014619	5.5225431130104	57.6991158198072	3.05440082609432e-14	1.06712481742851e-11
ENSGMOG00000017213	1.33664590901835	1.86713975411048	57.6093822719554	3.19697007392576e-14	1.0983190688972e-11
ENSGMOG00000009708	0.764628173079239	4.88446209590198	57.4319163312529	3.49883346563363e-14	1.18231892175584e-11
ENSGMOG00000001294	-0.777271871133462	7.29525336987367	57.2462824129096	3.845152369351e-14	1.278389125636e-11
ENSGMOG00000017790	0.698173981200655	6.4236339822515	56.3243021244251	6.14511891270606e-14	2.0106243832954e-11
ENSGMOG00000015260	1.02270755717276	6.36318404027967	54.7764422737881	1.35049903032966e-13	4.34966195502894e-11
ENSGMOG00000006860	-1.07245368759386	9.19962071852565	54.635753024279	1.450722133608e-13	4.6005746677018e-11
ENSGMOG00000016381	1.0869050279826	9.33664404682338	53.8922325534713	2.11793338597765e-13	6.61469104320564e-11
ENSGMOG00000017228	1.21891546068519	2.30621306317082	52.7889004938616	3.71394168484889e-13	1.14261910372821e-10
ENSGMOG00000014744	0.993774423497169	3.69590960712456	52.5062142698057	4.28889070828272e-13	1.30010153190929e-10
ENSGMOG00000008014	0.818278306754856	4.48145100296094	52.0315151740031	5.46169676106177e-13	1.63162254109806e-10
ENSGMOG00000000267	0.695685466445444	6.72675683108426	51.8957426785283	5.85271784193106e-13	1.72345818393893e-10
ENSGMOG00000001116	2.14869175698329	-0.14676489522093	50.8795944916022	9.82092855330934e-13	2.85125070801923e-10
ENSGMOG00000015986	2.26055297998773	4.67925347447927	50.5589483727516	1.15638731875214e-12	3.31064052797748e-10
ENSGMOG00000008398	0.937028696603816	3.59551193251874	48.9774377129297	2.58923808785459e-12	7.31122804177353e-10
ENSGMOG00000016607	-0.78069403902321	6.58306057433605	48.6379972203422	3.07846619964142e-12	8.57519240178494e-10
ENSGMOG00000004709	0.858209123654062	4.0975806676944	48.4724607807417	3.34959826533073e-12	9.20603587243499e-10
ENSGMOG00000006754	-0.970189646176044	5.514320253741	48.0504017643945	4.15402496051141e-12	1.12666995409239e-09
ENSGMOG00000002424	0.802037147790554	5.77217974192261	47.9827474286885	4.2998610513049e-12	1.15107838766945e-09
ENSGMOG00000011527	0.665547689054605	6.91918561918686	47.7409209604259	4.86431681562661e-12	1.28548926308348e-09
ENSGMOG00000015312	1.03584450762232	2.4356904453827	47.1036308916208	6.7330841424205e-12	1.75682358769258e-09
ENSGMOG00000003572	0.662248135302164	6.15734823843856	46.3834092519801	9.72353470015344e-12	2.50539025967828e-09
ENSGMOG00000017082	1.37315078488705	2.22962733629836	46.1393143167876	1.10136071261003e-11	2.80275905790501e-09
ENSGMOG00000006435	-1.35339530712323	1.91633842670621	46.1009505484261	1.12313949017322e-11	2.82332613548055e-09
ENSGMOG00000015825	1.94266106570997	0.0686942303642149	45.6350496290677	1.42469326839228e-11	3.53821714956265e-09
ENSGMOG00000009803	-1.11279508782394	2.51532033915075	45.4321570734129	1.58018542610568e-11	3.87766216527575e-09
ENSGMOG00000007307	2.50797445771361	-0.729213589765413	45.0333654540589	1.93705727793138e-11	4.69747784352936e-09
ENSGMOG00000007792	1.30605244436459	1.55295338667851	44.8768650828567	2.09822294184763e-11	5.02914761631455e-09
ENSGMOG00000005564	1.52424535337807	2.00944027193571	44.515408659862	2.52363169980127e-11	5.97926669287396e-09
ENSGMOG00000012404	1.18173058186594	1.87298008154439	44.1512043534382	3.0396472256645e-11	7.12002821166163e-09
ENSGMOG00000012689	1.28651981085708	1.33615246109571	43.9139994324788	3.43125836653706e-11	7.91116686641778e-09
ENSGMOG00000016942	0.660350405780815	7.66902231291813	43.9009820117747	3.45415523202639e-11	7.91116686641778e-09
ENSGMOG00000018501	1.04530882641199	2.54240583495144	43.8263532308866	3.58840573561352e-11	8.12833048661555e-09
ENSGMOG00000008499	0.869290250158112	2.97077426835509	43.600045927576	4.02829593347883e-11	9.02557218226078e-09
ENSGMOG00000014938	-1.50598981119266	0.711103748799405	43.2602828426889	4.79212666515471e-11	1.06215168762187e-08
ENSGMOG00000015982	0.814414590719633	4.11399900628939	43.2058634289467	4.92728018484851e-11	1.08048964308811e-08
ENSGMOG00000003721	0.935617075047995	2.80540668902286	43.1585638549497	5.04784675317278e-11	1.09527647498053e-08
ENSGMOG00000014615	1.75904635207932	0.640249988221306	42.9365641125595	5.65439052467974e-11	1.21410366547108e-08
ENSGMOG00000017552	-0.924330118871896	3.03549086058168	42.5653645030473	6.83591849044738e-11	1.45266791591332e-08
ENSGMOG00000013990	0.785942599011288	3.58619091467017	42.4331523196236	7.31397263582218e-11	1.53839712185921e-08
ENSGMOG00000015845	0.905447337676958	3.73234536498811	42.3330080306757	7.6982268662175e-11	1.60286414538729e-08
ENSGMOG00000010903	0.801316917864508	3.30365681003942	42.1873569273669	8.29344588937958e-11	1.70952800117781e-08
ENSGMOG00000017490	0.874835780023882	3.139523371634	41.9761336840018	9.23942547081887e-11	1.86941455164156e-08
ENSGMOG00000018204	-0.756210213842657	4.3595454960394	41.9737940941989	9.25048679316154e-11	1.86941455164156e-08
ENSGMOG00000000309	0.808796705072423	3.4081619971581	41.8097595447649	1.00600019573903e-10	2.01327010046297e-08
ENSGMOG00000015057	0.694636264778882	5.39433749275575	41.6362029841342	1.09938499608553e-10	2.17900220426067e-08
ENSGMOG00000015010	1.32979375329333	2.3448447915428	41.3032981348885	1.30348774341901e-10	2.55893265286629e-08
ENSGMOG00000001148	1.6085305480617	0.510865833898077	40.8845049594749	1.61496531310284e-10	3.14049811311216e-08
ENSGMOG00000006842	0.859149261930789	3.86043937887688	40.6609092160445	1.81073507967241e-10	3.48828805582126e-08
ENSGMOG00000013035	-0.816855181273074	4.49082886338722	40.5966723113785	1.8712507050554e-10	3.57148988734324e-08
ENSGMOG00000002668	-0.622644305283128	6.67961882247169	40.5165894962359	1.94953748949963e-10	3.68677213495925e-08
ENSGMOG00000000800	-0.772943562354925	5.57324017124086	40.3169220918713	2.15930542223828e-10	4.04634206078161e-08
ENSGMOG00000003925	0.643223318050384	4.59411139000287	39.881738764945	2.69814005696389e-10	5.01051900848618e-08
ENSGMOG00000018494	0.92945317741093	2.40943356609825	38.7973406176045	4.70167970696185e-10	8.6343816963669e-08
