,sample_1,sample_2,sample_3
ENSGMOG00000000001,48.1857279,72.75189598,51.20068676
ENSGMOG00000000002,4.782646804,4.995498035,4.557483211
ENSGMOG00000000003,0.673612226,1.308344723,1.311797838
ENSGMOG00000000004,27.90999989,27.03912428,31.98352461
ENSGMOG00000000005,14.70720027,25.27484125,16.26899793
ENSGMOG00000000006,47.916283,43.45290354,48.13080934
ENSGMOG00000000007,8.150707934,5.927198065,5.909852116
ENSGMOG00000000008,0.112268704,0.158587239,0.094665823
ENSGMOG00000000009,47.55702315,41.96614817,45.30435833
ENSGMOG00000000010,0.51643604,0.07929362,0.527423873
ENSGMOG00000000011,34.82575208,35.84071606,32.52447217
ENSGMOG00000000012,46.03016877,33.54120109,47.02186684
ENSGMOG00000000013,0.089814963,0.03964681,0.14876058
ENSGMOG00000000014,1089.882128,1254.068241,1110.714106
ENSGMOG00000000015,34.82575208,32.51038403,35.63492066
ENSGMOG00000000016,42.97646001,47.15988026,41.16610948
ENSGMOG00000000017,0.202083668,0.317174478,0.500376495
ENSGMOG00000000018,3.165977462,2.616689447,3.13749586
ENSGMOG00000000019,63.00519687,71.48319807,61.42459568
ENSGMOG00000000020,27.73036997,23.09426671,25.96548298
ENSGMOG00000000021,209.1790499,226.5022244,205.1002682
ENSGMOG00000000022,1.437039415,1.704812821,1.920363846
ENSGMOG00000000023,13.24770711,12.40945147,13.51016536
ENSGMOG00000000024,0.202083668,0.218057454,0.202855336
ENSGMOG00000000025,11.4289541,14.62967282,12.11722539
ENSGMOG00000000026,1.257409488,0.792936196,0.919610856
ENSGMOG00000000027,0.202083668,0.178410644,0.108189512
ENSGMOG00000000028,80.67629093,80.58214092,84.84762512
ENSGMOG00000000029,3.480329834,3.132097974,2.515406164
ENSGMOG00000000030,0.022453741,0,0
ENSGMOG00000000031,0.022453741,0.03964681,0
ENSGMOG00000000032,27.034304,26.60300937,25.4515828
ENSGMOG00000000033,9.947007203,10.80375567,9.547724472
ENSGMOG00000000034,4.692831841,4.757617176,4.259962052
ENSGMOG00000000035,0.359259854,0.336997883,0.270473781
