	sample_13	sample_14	sample_15
ENSGMOG00000000001	47.85205861	45.72197393	43.9848877
ENSGMOG00000000002	4.525858891	4.791646761	3.968851015
ENSGMOG00000000003	0.627178947	0.845584723	0.809183217
ENSGMOG00000000004	24.1209633	25.81046701	27.91682097
ENSGMOG00000000005	15.34045804	15.44198767	14.41116776
ENSGMOG00000000006	44.64836074	44.13146933	45.5647216
ENSGMOG00000000007	7.949916928	7.77132626	7.051453745
ENSGMOG00000000008	0.152557041	0.080531878	0
ENSGMOG00000000009	40.05469872	41.85644377	44.33168051
ENSGMOG00000000010	0.779735989	0.845584723	0.732118148
ENSGMOG00000000011	31.34199659	30.46118298	29.47738861
ENSGMOG00000000012	51.78464012	49.56737112	53.84921644
ENSGMOG00000000013	0.237310953	0.181196726	0.308260273
ENSGMOG00000000014	1174.875676	1121.144677	1102.858925
ENSGMOG00000000015	31.85052006	35.79641992	33.21504442
ENSGMOG00000000016	41.6141707	42.2993691	42.63624901
ENSGMOG00000000017	0.322064865	0.4630583	0.366059074
ENSGMOG00000000018	3.525762731	2.496488228	3.024803929
ENSGMOG00000000019	72.27813599	62.69406729	62.13371128
ENSGMOG00000000020	24.222668	26.95804627	27.03057269
ENSGMOG00000000021	216.6988017	201.0075683	194.8782913
ENSGMOG00000000022	2.135798578	1.93276508	1.868827905
ENSGMOG00000000023	10.72984524	11.47579266	11.02030476
ENSGMOG00000000024	0.35596643	0.342260483	0.385325341
ENSGMOG00000000025	13.71318293	12.20057957	11.92581931
ENSGMOG00000000026	0.830588336	0.825451753	1.348638694
ENSGMOG00000000027	0.101704694	0.201329696	0.173396404
ENSGMOG00000000028	97.29749076	77.18980539	94.40470861
ENSGMOG00000000029	3.474910384	3.100477316	3.891785947
ENSGMOG00000000030	0	0	0
ENSGMOG00000000031	0	0	0.057798801
ENSGMOG00000000032	31.56235676	30.21958735	31.07648877
ENSGMOG00000000033	10.27217411	9.804756188	8.901015383
ENSGMOG00000000034	4.898776103	4.127258765	3.756922077
ENSGMOG00000000035	0.271212518	0.241595635	0.211928938
ENSGMOG00000000036	14.05219858	14.77759967	14.35336896
ENSGMOG00000000037	0.694982077	1.067047388	1.175242291
ENSGMOG00000000038	112.7905058	99.89979508	98.58548856
ENSGMOG00000000039	0.084753912	0.080531878	0
ENSGMOG00000000040	1.373013371	3.060211377	2.003691775
ENSGMOG00000000041	2.44091266	4.509785187	14.5652979
ENSGMOG00000000042	41.41076131	39.46062039	35.48846393
ENSGMOG00000000043	0.016950782	0.02013297	0.019266267
ENSGMOG00000000044	84.72001025	80.45134646	76.35221637
ENSGMOG00000000045	34.54569445	31.40743255	29.09206326
ENSGMOG00000000046	23.90060313	25.24674386	22.65713007
ENSGMOG00000000047	100.3994839	88.98772556	104.3846349
ENSGMOG00000000048	1.423865718	1.207978175	1.483502564
ENSGMOG00000000049	0.067803129	0.161063757	0.019266267
ENSGMOG00000000050	40.19030498	35.09176599	36.22058208
ENSGMOG00000000051	24.42607738	25.77020107	23.71677475
ENSGMOG00000000052	0.457671124	0.704653935	0.809183217
ENSGMOG00000000053	32.18953571	31.0450391	34.67928071
ENSGMOG00000000054	26.40931892	22.95158533	23.98650249
ENSGMOG00000000055	24.34132347	26.77684955	26.06725934
ENSGMOG00000000056	60.46344069	50.89614711	55.87217448
ENSGMOG00000000057	2.118847795	2.194493685	2.138555644
ENSGMOG00000000058	0.220360171	0.241595635	0.173396404
ENSGMOG00000000059	1.525570413	1.107313327	1.907360439
ENSGMOG00000000060	1.017046942	1.107313327	0.944047086
ENSGMOG00000000061	26.78223613	26.35405719	25.29660865
ENSGMOG00000000062	5.475102703	5.79829524	4.8550993
ENSGMOG00000000063	18.57805747	22.20666545	18.68827905
ENSGMOG00000000064	5.23779175	7.308267959	8.323027371
ENSGMOG00000000065	31.83356928	31.22623583	33.33064202
ENSGMOG00000000066	0.016950782	0.02013297	0
ENSGMOG00000000067	1.678127454	1.570371628	1.541301365
ENSGMOG00000000068	10.4755835	11.7173883	12.79280133
ENSGMOG00000000069	388.5458333	352.2867018	351.185516
ENSGMOG00000000070	23.57853827	18.6632628	19.67085867
ENSGMOG00000000071	116.434924	122.7708485	116.0407265
ENSGMOG00000000072	0.050852347	0.080531878	0.038532534
ENSGMOG00000000073	28.46036359	28.46801899	27.16543656
ENSGMOG00000000074	0.016950782	0.02013297	0.038532534
ENSGMOG00000000075	69.26089673	71.00898372	75.06137648
ENSGMOG00000000076	0.372917212	0.281861574	0.346792807
ENSGMOG00000000077	44.66531152	41.95710861	40.5940247
ENSGMOG00000000078	0	0	0
ENSGMOG00000000079	0.033901565	0.040265939	0.038532534
ENSGMOG00000000080	0.220360171	0.161063757	0.173396404
ENSGMOG00000000081	0.457671124	0.322127513	0.192662671
ENSGMOG00000000082	57.70046316	60.19757906	62.69243302
ENSGMOG00000000083	20.12057866	20.27390037	21.42408897
ENSGMOG00000000084	7.373590327	5.979491967	7.706506825
ENSGMOG00000000085	94.36500541	96.33625946	105.1360194
ENSGMOG00000000086	1.50861963	1.409307871	1.233041092
ENSGMOG00000000087	20.951167	23.55557441	21.63601791
ENSGMOG00000000088	274.2128063	278.1571078	278.2819615
ENSGMOG00000000089	0.830588336	1.187845205	1.329372427
ENSGMOG00000000090	64.32821906	64.10337516	57.10521557
ENSGMOG00000000091	13.84878919	12.54284005	13.37078934
ENSGMOG00000000092	81.63496786	75.21677437	73.36594498
ENSGMOG00000000093	21.61224751	25.16621198	25.29660865
ENSGMOG00000000094	1.305210242	1.288510053	0.98257962
ENSGMOG00000000095	229.3610361	217.2548748	222.0629942
ENSGMOG00000000096	34.63044837	38.95729615	39.61144508
ENSGMOG00000000097	1.067899289	1.650903506	1.425703763
ENSGMOG00000000098	45.3602936	51.58066807	51.01707518
ENSGMOG00000000099	31.51150441	31.48796443	30.92235864
ENSGMOG00000000100	28.18915107	28.62908275	30.9416249
ENSGMOG00000000101	6.10228165	6.664012932	6.878057341
ENSGMOG00000000102	1.033997724	1.530105688	1.367904961
ENSGMOG00000000103	3.576615078	4.046726886	3.911052214
ENSGMOG00000000104	16.17104637	16.97209336	18.30295371
