"","genes","logFC","logCPM","LR","PValue","FDR"
"13343","ENSGMOG00000013719",5.74652633732295,-0.367822924313317,68.3472673242837,1.3709509733634e-16,1.83597754352826e-12
"9730","ENSGMOG00000010027",-1.00089660822901,5.33995096960489,43.4384747122602,4.37500859609136e-11,1.99546934209375e-07
"9010","ENSGMOG00000009277",-0.844992287048268,9.22721214360377,43.3963826178644,4.47013741508457e-11,1.99546934209375e-07
"16264","ENSGMOG00000016703",-4.21885034114651,4.11501584307202,41.1722050353317,1.39390682235885e-10,4.66680004125742e-07
"3180","ENSGMOG00000003282",3.70407812369131,-0.0500153995456052,36.9554626367654,1.20858611241568e-09,3.23707704349416e-06
"3798","ENSGMOG00000003926",-5.87228035452767,4.64554167494682,35.8646280289228,2.11514022329078e-09,4.72099297838502e-06
"3924","ENSGMOG00000004056",-0.842576987004093,5.42672278362411,35.1467220897105,3.05775670171917e-09,5.84992539277473e-06
"12137","ENSGMOG00000012492",1.8902962880565,5.25071474668967,34.5276535036475,4.20238407180786e-09,7.03479093620635e-06
"14075","ENSGMOG00000014470",1.34270705190074,5.12298912074699,32.9568763632542,9.42258815810012e-09,1.4020811179253e-05
"13201","ENSGMOG00000013575",-2.59390909561063,0.0926424544176397,32.1252828370577,1.4454397081113e-08,1.93573285710266e-05
"15346","ENSGMOG00000015767",-1.99769439866123,1.28991444698839,30.8170606466511,2.83534151549399e-08,3.45189941595414e-05
"3209","ENSGMOG00000003313",3.20679858733294,0.930646210154893,29.7457532511431,4.92584179230943e-08,5.49723944021733e-05
"17974","ENSGMOG00000018457",-3.688295375418,2.84403642654212,29.4238574986761,5.81572707823388e-08,5.9910936178237e-05
"6277","ENSGMOG00000006476",1.48935160141659,5.64001560109327,29.0773711999035,6.95445619553019e-08,6.65243409789573e-05
"19866","ENSGMOG00000020384",2.4814883574233,2.54646656158425,27.9671239861695,1.23394140718047e-07,0.000110166288833072
"10095","ENSGMOG00000010396",-1.006596379005,5.98600012570115,27.4419424531153,1.61881936878974e-07,0.000132139574397866
"1396","ENSGMOG00000001450",-0.643307561086296,6.40909243733779,27.3731996268395,1.67739901789406e-07,0.000132139574397866
"12710","ENSGMOG00000013073",1.66456708458116,3.9714353755741,26.9582221583471,2.07900865361253e-07,0.000154678243828773
"949","ENSGMOG00000000985",-0.709944598432889,5.43036732157122,26.8060123918364,2.24936420421907e-07,0.000156595626201842
"3599","ENSGMOG00000003718",2.59906302746278,1.45587789907404,26.7307958114096,2.33864435785308e-07,0.000156595626201842
"18493","ENSGMOG00000018994",1.83908914037994,2.15081694920562,26.4508272380916,2.703326838066e-07,0.000172395014358952
"18049","ENSGMOG00000018536",0.481263726858622,7.83176775657645,25.9926912254509,3.42712340580104e-07,0.000202057188842235
"14150","ENSGMOG00000014546",-0.96099879482237,4.86496847351513,25.9685670698992,3.4702175503072e-07,0.000202057188842235
"2429","ENSGMOG00000002514",4.89836709785616,4.06481116053634,25.8644046342634,3.66261212758951e-07,0.000204373756719495
"596","ENSGMOG00000000625",1.87530473200773,2.42808842232908,25.7272215944333,3.93240989281168e-07,0.000210651333138136
"5143","ENSGMOG00000005310",-0.811100753812248,6.40671577960615,25.5995196386959,4.2014397622613e-07,0.000216406466523859
"948","ENSGMOG00000000984",3.23025609389388,-0.761703337679804,24.8549539065128,6.18099982010718e-07,0.000298298733260812
"1131","ENSGMOG00000001177",1.59330605987221,1.7715270202245,24.7351878781117,6.57723245471146e-07,0.000298298733260812
"62","ENSGMOG00000000064",-3.76551208192556,-0.0234162994866909,24.6651100502049,6.82078677485878e-07,0.000298298733260812
"8844","ENSGMOG00000009105",3.90107313392303,0.312974162646916,24.6439652013221,6.8960362707377e-07,0.000298298733260812
"15754","ENSGMOG00000016184",9.50095362999274,2.04497927433799,24.6414442014231,6.90506326992621e-07,0.000298298733260812
"4403","ENSGMOG00000004544",-1.06553936247967,3.82310383983014,24.1157533114703,9.07151449790659e-07,0.000371692113129897
"13679","ENSGMOG00000014065",1.05320227399261,4.38101912936915,24.0972543032141,9.15907984863097e-07,0.000371692113129897
"15296","ENSGMOG00000015715",2.31919782027642,1.189022825127,23.6661709227689,1.14579039816261e-06,0.000451306618005697
"14653","ENSGMOG00000015064",1.9538616161423,1.41508015396602,23.0934124435725,1.54318504631914e-06,0.000590466689723028
"6357","ENSGMOG00000006558",1.42627680918618,4.49106348711731,22.8981066706902,1.7082002871797e-06,0.000635450506830847
"11813","ENSGMOG00000012160",0.575188666215876,6.28228767149368,22.8414458491628,1.75930595126469e-06,0.000636773656738829
"19035","ENSGMOG00000019548",-0.617968607552313,6.2720994267331,22.6577213031669,1.93580737659768e-06,0.000667799430307297
"15566","ENSGMOG00000015994",3.38985586853822,2.99607616196369,22.6181273562574,1.97611298780285e-06,0.000667799430307297
"10305","ENSGMOG00000010613",-0.956923306650735,4.48246546245064,22.6002158514148,1.99462195432287e-06,0.000667799430307297
"13984","ENSGMOG00000014377",-0.676903338574643,6.562260439998,22.4235464021076,2.18676617333225e-06,0.000714272502274767
"2044","ENSGMOG00000002119",-0.660944794857649,6.18629545555198,22.1934231001795,2.46516806061161e-06,0.000786036444469302
"15837","ENSGMOG00000016268",2.76500236528315,2.42597328818128,22.1239698691486,2.55598242253819e-06,0.00079603992099143
"8274","ENSGMOG00000008522",4.38616934965212,-1.02045330911072,21.8422018318275,2.96017192372667e-06,0.000900968690966989
"9419","ENSGMOG00000009701",1.74346981246897,2.82583181733642,21.6487655763426,3.27420653552937e-06,0.00097440386497354
"5058","ENSGMOG00000005223",2.50228728983053,-0.434142907148645,21.5744488045424,3.40356056248363e-06,0.000990880066364799
"16426","ENSGMOG00000016873",-1.319469057912,4.72499709191379,21.4385112152167,3.65358593074528e-06,0.00102344264799034
"9860","ENSGMOG00000010158",4.59327179253165,1.69169265192796,21.4308291613018,3.66825321860338e-06,0.00102344264799034
"6888","ENSGMOG00000007105",0.460265755515079,10.652059350935,21.1948041498836,4.14887741492314e-06,0.00113056937417357
"11652","ENSGMOG00000011990",0.588842733464544,10.5667605170072,21.1617458052422,4.22106247824661e-06,0.00113056937417357
"6187","ENSGMOG00000006382",2.54025327523771,0.287945469779729,21.0854964615846,4.39240095881448e-06,0.00115339281647928
"870","ENSGMOG00000000905",-1.04087846663779,4.52667624158507,20.9773090978796,4.64755340687075e-06,0.00119692375432333
"9890","ENSGMOG00000010188",-0.844566671991459,7.49965550359814,20.8936547770743,4.85500163042122e-06,0.00122675814782266
"12919","ENSGMOG00000013284",2.62436805222428,0.113054068999082,20.6407746819559,5.54034991202067e-06,0.00137400677818113
"10671","ENSGMOG00000010988",-0.802034409661964,4.4060088762326,20.5856986189991,5.70204899020584e-06,0.00138151097938923
"11142","ENSGMOG00000011469",-0.805347475218908,6.08588939049513,20.5515029949936,5.80481965139538e-06,0.00138151097938923
"11294","ENSGMOG00000011623",1.3970937211411,3.66963006302477,20.5268420372789,5.88008705385199e-06,0.00138151097938923
"8598","ENSGMOG00000008854",-0.639575893523275,5.364702227739,20.266876294591,6.735667232729e-06,0.00154455455496321
"532","ENSGMOG00000000561",1.62762101485389,5.20439221337563,20.2473646972153,6.80471316777399e-06,0.00154455455496321
"11822","ENSGMOG00000012169",-1.30924319106417,3.59964066529107,20.1514225056044,7.15470186220956e-06,0.0015699371150124
"672","ENSGMOG00000000703",2.07243797050927,1.91058244591878,20.1249788722842,7.25430422559855e-06,0.0015699371150124
"11938","ENSGMOG00000012287",4.63421471112963,2.23400472747665,20.092746964699,7.3775929669633e-06,0.0015699371150124
"13187","ENSGMOG00000013561",-0.705392459423089,5.52232151339944,20.0907094562938,7.38545685825725e-06,0.0015699371150124
"231","ENSGMOG00000000236",-0.57272689154235,6.76978156730297,20.0059125895825,7.72030783295187e-06,0.00161547441404518
"13014","ENSGMOG00000013384",-0.786461582254842,5.35761943682165,19.9558440814546,7.92513491963631e-06,0.0016328216437503
"7540","ENSGMOG00000007775",2.9186995814,-0.229075601392977,19.8128952518443,8.54045513336137e-06,0.00171658716392933
"3885","ENSGMOG00000004016",2.4954289400412,3.26408289096056,19.8022698363672,8.58806302145048e-06,0.00171658716392933
"11072","ENSGMOG00000011399",2.71658939610231,0.765018395909674,19.7620517469318,8.77068839399603e-06,0.00172693790479324
"5821","ENSGMOG00000006007",-0.686507209610988,5.00429905096399,19.7345621802586,8.89775354172145e-06,0.00172693790479324
"6121","ENSGMOG00000006314",0.422829454824925,7.67811678242716,19.6839921704091,9.1363507885524e-06,0.00173388402500808
"114","ENSGMOG00000000117",1.57651301803394,5.30314063887652,19.6722873032592,9.19248549698129e-06,0.00173388402500808
"1418","ENSGMOG00000001473",-0.522481524222865,6.56753984501742,19.6362149751413,9.3676701718189e-06,0.00174238665195832
"12643","ENSGMOG00000013006",-3.35898898055897,4.3571643698667,19.5780377514864,9.65729759730008e-06,0.00177165108798689
"9363","ENSGMOG00000009645",-0.756449889105768,5.00119007586191,19.4331417763531,1.04183372850779e-05,0.00188543747191572
"13957","ENSGMOG00000014350",0.494113642500437,6.52105713500275,19.2707490318866,1.13430895419867e-05,0.00198223768246213
"6117","ENSGMOG00000006310",2.48475111494206,0.229011647804079,19.2511653038346,1.14600407534543e-05,0.00198223768246213
"8254","ENSGMOG00000008501",1.52281548427643,2.88856422787618,19.2485420526867,1.14757981201113e-05,0.00198223768246213
"17226","ENSGMOG00000017686",1.50437162451036,3.26436837282456,19.2307247725461,1.15834003725331e-05,0.00198223768246213
"6995","ENSGMOG00000007216",-0.854192052074842,5.6106518743669,19.2126965686682,1.16933077146437e-05,0.00198223768246213
"16305","ENSGMOG00000016746",2.21807896562262,2.67494576783214,19.0913647842103,1.24607411411395e-05,0.00208592806702676
"9269","ENSGMOG00000009546",-0.858129703772917,4.56572759277014,18.9916206763671,1.31293764653241e-05,0.00217072357560026
"18092","ENSGMOG00000018582",-2.19489224447004,1.54857915628062,18.9138636301054,1.36755222589276e-05,0.00223344626940925
"10192","ENSGMOG00000010494",0.454080869320596,6.88029831575407,18.8746313371909,1.39596822985945e-05,0.00224486626196777
"6011","ENSGMOG00000006204",2.88108819705782,1.48600452552056,18.8581657648738,1.40807023600129e-05,0.00224486626196777
"1260","ENSGMOG00000001309",1.45405535126808,3.7830324796312,18.762083801201,1.48082073164321e-05,0.00232709168745393
"8551","ENSGMOG00000008804",-0.519661762007144,6.90803990734783,18.6986079181165,1.53094214662926e-05,0.00232709168745393
"14667","ENSGMOG00000015078",1.88826447137582,0.760574561865467,18.69551796305,1.53342505076339e-05,0.00232709168745393
"14880","ENSGMOG00000015296",1.04388149802681,3.09785999086681,18.6813850096902,1.54483310725138e-05,0.00232709168745393
"4936","ENSGMOG00000005098",-0.841235081301132,4.64097756189247,18.6792930271109,1.54652897389038e-05,0.00232709168745393
"3115","ENSGMOG00000003217",2.37646979287294,2.8759634284026,18.5612917067111,1.64527710221395e-05,0.00244817232809436
"14284","ENSGMOG00000014686",0.875421795516344,4.90074777354174,18.4981953061161,1.70065256651146e-05,0.00250276254623312
"9542","ENSGMOG00000009829",1.5128904063604,5.22418120337465,18.291315389547,1.89569422705377e-05,0.00275947142268523
"4296","ENSGMOG00000004436",1.61354054132945,1.13043065747815,18.2502849849549,1.9369696705766e-05,0.0027892363256303
"558","ENSGMOG00000000587",-0.685357772382318,5.24086881238388,18.2208108066878,1.96717599254445e-05,0.00280259796725056
"10605","ENSGMOG00000010921",-0.466608632976044,8.33479006900521,18.0576510093683,2.14315653154071e-05,0.00302117392319928
"9764","ENSGMOG00000010062",1.70518036833019,0.122582795934777,17.8958510197082,2.33329227609271e-05,0.00325339234894334
"19453","ENSGMOG00000019971",-2.09312098127987,1.12201431835129,17.8442592732847,2.3974143676801e-05,0.00325339234894334
"17575","ENSGMOG00000018045",4.25239226804094,2.11307007596418,17.8185894786013,2.42997540115677e-05,0.00325339234894334
"649","ENSGMOG00000000680",2.53864168805881,2.26904433137294,17.7903692278298,2.46628460855729e-05,0.00325339234894334
"8129","ENSGMOG00000008375",-0.57057372879545,5.86937789517146,17.7810974238548,2.47833263564083e-05,0.00325339234894334
"16608","ENSGMOG00000017056",1.99500283332237,2.1699876791591,17.7793121279756,2.48065927727158e-05,0.00325339234894334
"9987","ENSGMOG00000010285",-0.634081341251812,5.90030771059033,17.7613750177617,2.50415750918664e-05,0.00325339234894334
"10754","ENSGMOG00000011072",1.44975938137441,2.4447820285463,17.7462568841249,2.52413640119001e-05,0.00325339234894334
"122","ENSGMOG00000000125",0.975871326077428,5.21737719372068,17.7367061643593,2.53684032633778e-05,0.00325339234894334
"3350","ENSGMOG00000003460",1.57155221980963,3.67709637143964,17.7167464858134,2.56359758695514e-05,0.00325339234894334
"7382","ENSGMOG00000007615",0.45974502180987,6.9162310621736,17.7082183541733,2.57511640522696e-05,0.00325339234894334
"6527","ENSGMOG00000006731",0.373225416430724,7.82896046638418,17.6503785218977,2.65462437998145e-05,0.0033224981024964
"11264","ENSGMOG00000011593",1.59608445300261,2.27082390680439,17.5824732186944,2.75112275831451e-05,0.00341139222030999
"8432","ENSGMOG00000008684",-0.5986174130531,6.61240118895938,17.5415088326704,2.81103288988615e-05,0.00345370206067481
