"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSGMOG00000000001",6014.84431013997,-0.0880320878607228,0.0947901832956003,-0.928704690718841,0.353042149166431,0.999740521563522
"ENSGMOG00000000002",309.0595697594,-0.0134104007936689,0.161132408008724,-0.0832259689990034,0.933671864091388,0.999740521563522
"ENSGMOG00000000003",1246.81149786182,-0.128817885788886,0.130171867316273,-0.989598508838339,0.322370399153919,0.999740521563522
"ENSGMOG00000000004",20.7198785102725,0.201884605958792,0.197852464890742,1.02037953416591,0.307548496231167,0.999740521563522
"ENSGMOG00000000005",12.4870569621708,0.22172232364089,0.163951968406802,1.35236146168582,0.176259711540042,0.999740521563522
"ENSGMOG00000000006",5035.27338594549,-0.193481207660327,0.117456693239227,-1.64725570186331,0.0995054989528452,0.954340287502524
"ENSGMOG00000000007",67.5115808286136,-0.0709498703630833,0.206272047679451,-0.343962602598196,0.730874410795044,0.999740521563522
"ENSGMOG00000000008",5.4199209587506,-0.107215051393056,0.179610702332559,-0.596930194028982,0.550553987317991,NA
"ENSGMOG00000000009",2368.08542737939,0.0344858633925362,0.0992874849201065,0.347333437041797,0.728340833443994,0.999740521563522
"ENSGMOG00000000010",375.844330314828,0.314050787057147,0.206545580691448,1.52049143828595,0.128387508935128,0.979952290203523
"ENSGMOG00000000011",2.0775181669168,0.156040359207595,0.0896076209957737,1.74137375229452,0.0816180859945841,NA
"ENSGMOG00000000012",120.786726422026,0.0169929551009643,0.192983227378159,0.0880540518045431,0.929833715810728,0.999740521563522
"ENSGMOG00000000013",3.27549721589356,-0.0198524961567756,0.152320993742702,-0.130333289384326,0.896302743565464,NA
"ENSGMOG00000000014",65356.2251737773,-0.141829163238706,0.121612694310662,-1.16623650222239,0.243518838063147,0.999740521563522
"ENSGMOG00000000015",1664.82106962859,-0.309912172751773,0.151115096669274,-2.05083528768828,0.0402829898232931,0.842299190367516
"ENSGMOG00000000016",1292.84836427051,-0.154392711592226,0.157336358604916,-0.981290738906182,0.32644938840109,0.999740521563522
"ENSGMOG00000000017",12.1342952661919,-0.0762603919524989,0.19995825019475,-0.381381572794445,0.702920132432397,0.999740521563522
"ENSGMOG00000000018",1369.23021185449,-0.0981378107576731,0.134584802533306,-0.72918939516508,0.465885817288793,0.999740521563522
"ENSGMOG00000000019",1646.86045200871,-0.111284049686195,0.141855019228882,-0.78449144972896,0.432751797040784,0.999740521563522
"ENSGMOG00000000020",1708.96492370492,-0.294825084003823,0.147578917921533,-1.99774526169503,0.0457442844795054,0.842461962588396
"ENSGMOG00000000021",7297.16228316101,-0.347936555324901,0.126571142863939,-2.74894061515211,0.0059788217240225,0.493139679388429
"ENSGMOG00000000022",62.6566202118805,-0.0166538513396194,0.205950878216543,-0.0808632208021423,0.935550729691035,0.999740521563522
"ENSGMOG00000000023",1947.56620463222,0.0319820148515563,0.143404585224646,0.223019471807375,0.823520351819902,0.999740521563522
"ENSGMOG00000000024",58.5976285529178,-0.134741008511091,0.206391647684873,-0.652841382015704,0.513858542202492,0.999740521563522
