"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSGMOG00000000001",5114.13339300655,-0.078793899483111,0.103490325832759,-0.761364879751584,0.446439158336141,0.900176588358583
"ENSGMOG00000000002",229.4783393556,-0.45187224236809,0.201504059192391,-2.2424969709253,0.0249292708596744,0.63212276386231
"ENSGMOG00000000003",1494.25281242067,0.0206079036908701,0.186684392936919,0.110389001280003,0.912100875526842,0.987959838680067
"ENSGMOG00000000004",14.4777807526052,-0.00574220540598163,0.263345068052568,-0.0218048716402594,0.982603608104996,0.996960094492717
"ENSGMOG00000000005",8.19753052231626,0.112351470502778,0.205284960843002,0.547295184417831,0.584175951704969,0.93790074986865
"ENSGMOG00000000006",4575.91858288694,0.0303791406296056,0.111281207486383,0.272994347525596,0.784857560628487,0.96475900630932
"ENSGMOG00000000007",67.7265498293636,0.227880007360307,0.269192904780071,0.846530511443025,0.397256860199247,0.891294503615518
"ENSGMOG00000000008",6.95189695946308,0.366843504350417,0.267025951747503,1.37381217799123,0.169499999467199,0.816690468107912
"ENSGMOG00000000009",1984.96441209004,0.0156686980331759,0.171677067549168,0.0912684393836609,0.927279295019516,0.990620497786662
"ENSGMOG00000000010",327.299362524744,0.435911476360119,0.270111188105716,1.61382236484596,0.10656596201245,0.794587097834817
"ENSGMOG00000000012",93.5361015641208,-0.0811223622536098,0.25644009129723,-0.316340404666226,0.751744146069601,0.961057959737058
"ENSGMOG00000000013",3.23998248110451,0.0813692991105961,0.200657698969046,0.405512968247225,0.685100487951873,0.952207102164108
"ENSGMOG00000000014",58307.926570795,0.0235143586252267,0.108997844263742,0.215732327405752,0.82919640088403,0.975215397575501
"ENSGMOG00000000015",1518.95531884927,-0.0854319261714912,0.240172893525675,-0.355710109152506,0.722057673565813,0.958110416611635
"ENSGMOG00000000016",1131.81557756175,-0.0689576242699264,0.182675650876648,-0.377486676188115,0.705811964146883,0.954546621892533
"ENSGMOG00000000017",10.8963563262718,-0.00639984563634934,0.267391410130981,-0.0239343725859196,0.980904956771185,0.996690522337825
"ENSGMOG00000000018",1135.0976647028,-0.178254965708905,0.163546701107553,-1.0899331169736,0.27574260721369,0.857979955460802
"ENSGMOG00000000019",1310.22796617888,-0.32834643201821,0.19792887295403,-1.6589112397688,0.0971336794149423,0.786203860800944
