"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSGMOG00000000001",3855.81610423015,0.000202662760565422,0.13594425519834,0.00149077840964843,0.998810531363946,0.999654121339761
"ENSGMOG00000000002",215.975179852684,-0.117126920640784,0.196921822490198,-0.594788932783794,0.551984566288519,0.760311359412968
"ENSGMOG00000000003",652.80631237172,-0.105618820269155,0.203809152841861,-0.518224126818811,0.604301903139226,0.79369688957795
"ENSGMOG00000000004",13.6884179782268,0.0597481318716458,0.284456050840013,0.210043455553878,0.833633756836008,0.925558776508735
"ENSGMOG00000000005",16.6748110821144,0.400513531650074,0.286836445975883,1.3963132554074,0.162620183865667,0.37991567067798
"ENSGMOG00000000006",2471.2290596915,0.0979025979897566,0.0978932926110266,1.00009505634637,0.317264508343287,0.560476072833491
"ENSGMOG00000000007",27.4589388580978,0.447553507011601,0.279529677899495,1.60109477596336,0.109355929104038,0.300343748947711
"ENSGMOG00000000008",2.81575652540112,-0.0141516009296117,0.246745255283253,-0.0573530822846672,0.954263936356089,NA
"ENSGMOG00000000009",1750.33521048373,-0.119183260877159,0.0828122350963491,-1.43919869737235,0.150094234372784,0.361010763090989
"ENSGMOG00000000010",94.4686088589201,0.329446451288149,0.204511665452383,1.61089320044119,0.107203002290789,0.296309010596775
"ENSGMOG00000000012",30.6356147328366,-0.18115938072439,0.262284686843056,-0.690697512328621,0.489755653007749,0.7126766271815
"ENSGMOG00000000014",37064.3999174574,0.225016683305194,0.0990942499391701,2.27073400770804,0.0231630850055319,0.116670875708747
"ENSGMOG00000000015",552.589040728775,0.00506027711130971,0.13313591533938,0.038008354833558,0.969681020649127,0.98829805010009
"ENSGMOG00000000016",684.205070661839,-0.335403249916735,0.159053808816589,-2.10874076145829,0.0349669643737591,0.150971436709013
"ENSGMOG00000000017",8.93711337805854,0.0874760597310528,0.285574118549428,0.306316483354258,0.759363690135988,0.885580650700271
"ENSGMOG00000000018",860.992354906107,-0.0348173969537197,0.13879788431235,-0.250849623005541,0.801930374233148,0.908354859004867
"ENSGMOG00000000019",722.632432962949,-0.258556012191127,0.123593781538729,-2.09198237137931,0.0364400926896391,0.154515685822552
"ENSGMOG00000000020",738.28242383696,-0.278008404838832,0.11919853377516,-2.332313964224,0.0196841804434507,0.104176555572302
"ENSGMOG00000000021",2760.50414418731,-0.138337847994294,0.0879609087908001,-1.57271963075446,0.115783752261622,0.310794337618102
"ENSGMOG00000000022",17.6328713436168,0.189385674385705,0.289337335677006,0.654549728062473,0.512757700229817,0.730107438029424
"ENSGMOG00000000023",1077.86947674373,0.212055775118947,0.151431351041115,1.40034262166341,0.161410743325974,0.378196538453943
"ENSGMOG00000000024",90.5684817068037,1.05265479308835,0.28283402275932,3.72181105660022,0.000197799009581445,0.00542187498683658
