"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSGMOG00000000037",98.3590528517593,0.836326334629509,0.202535858152328,4.12927538984482,3.63908313945331e-05,0.0428131833033395
"ENSGMOG00000003217",565.019583295115,1.90287868033575,0.206235155707186,9.22674252025908,2.78987220820275e-20,4.25706600249658e-16
"ENSGMOG00000003513",143.576407993266,0.882474693809041,0.198265156029286,4.45098226780044,8.54784006138381e-06,0.0186330702138079
"ENSGMOG00000004411",3019.24146694663,0.979256694259306,0.20227556660012,4.84120109372975,1.29056689156379e-06,0.00328212669972864
"ENSGMOG00000004561",746.092849775602,-0.372814355680519,0.0875144713020085,-4.26003094269922,2.04398604857246e-05,0.038986478893959
"ENSGMOG00000005031",1481.22006833727,-0.481771864556956,0.117263198779482,-4.10846599420289,3.98295835851621e-05,0.0434114011375707
"ENSGMOG00000007922",3481.62468038274,0.710146635981096,0.170793465322638,4.15792626866369,3.21149635506556e-05,0.0428131833033395
"ENSGMOG00000012327",15.535411623901,0.778847743880291,0.188640338575783,4.12874441257114,3.64749579227613e-05,0.0428131833033395
"ENSGMOG00000015590",42.8348893379021,1.09473931109412,0.201388455122425,5.43595863242818,5.45025998260969e-08,0.000277218390248804
"ENSGMOG00000015698",64.9424175391784,0.832347389086561,0.197362912598829,4.21734447534446,2.47196199412615e-05,0.0419107422981899
"ENSGMOG00000015851",83.5597413681685,1.02905873608357,0.206177394724808,4.99113269646797,6.00262404613363e-07,0.00183188080639906
"ENSGMOG00000018517",1466.93334987535,0.606641460840046,0.120222643529154,5.04598337744031,4.51194636012417e-07,0.00172119473772837
"ENSGMOG00000019456",44.2998967891289,1.15780517251844,0.200843048359917,5.76472614797011,8.17905383430666e-09,6.24020912288427e-05
"ENSGMOG00000019941",47.9679346179177,0.862586793095507,0.205833101514896,4.19070978742981,2.78083161960521e-05,0.0424327096835559
