"","genes","logFC","logCPM","LR","PValue","FDR"
"2949","ENSGMOG00000003049",8.82581013466499,1.5307230234373,63.939967994992,1.2826881577479e-15,1.67519073401876e-11
"19168","ENSGMOG00000019686",4.40754023061082,2.31371191595194,28.351234341276,1.01182267753092e-07,0.000523880602461844
"9294","ENSGMOG00000009572",3.18216715033402,-0.795132266004755,28.015620843763,1.20340107763058e-07,0.000523880602461844
"3402","ENSGMOG00000003513",2.26166829204295,0.95812295205688,24.1222794014266,9.04082387670124e-07,0.00295182899574296
"12594","ENSGMOG00000012956",1.68910654783455,0.904567205425041,22.4152139288685,2.19627366579711e-06,0.00573666681506206
"9234","ENSGMOG00000009511",2.46674104081373,0.0858725386466243,21.4928120052988,3.55157433295919e-06,0.00773059346474117
"14650","ENSGMOG00000015061",4.53151278738361,-0.361382171802819,20.3179327585934,6.55830243435864e-06,0.0122359185418177
"14701","ENSGMOG00000015116",3.76267778289344,-0.571104174688246,20.0260838248727,7.63929810248803e-06,0.0124711541523117
"3792","ENSGMOG00000003919",4.04206329085459,-0.0848284714358808,18.5492849594308,1.65567325475897e-05,0.0232586327865765
"19683","ENSGMOG00000020201",1.63821735955082,0.636617269292886,18.1760881157896,2.01391589841547e-05,0.0232586327865765
"16774","ENSGMOG00000017229",3.4769870237854,-0.804262926926279,18.1464654734347,2.0454873076115e-05,0.0232586327865765
"13112","ENSGMOG00000013485",4.92709923502322,-0.162248417238466,18.0630504188088,2.13708723919539e-05,0.0232586327865765
"15171","ENSGMOG00000015590",1.81669106331592,-0.560889500150578,17.8213401455485,2.42646514750989e-05,0.0243766421742148
"2799","ENSGMOG00000002895",-2.29285485643875,0.261537955853759,17.6531540205911,2.65075336631735e-05,0.0247277421172176
"2462","ENSGMOG00000002548",1.86487146178679,-0.575156860491475,17.4683609496666,2.92129098136378e-05,0.0248588564684374
"14781","ENSGMOG00000015196",-1.90052029342581,3.70137111236853,17.3892126180167,3.04549543258038e-05,0.0248588564684374
"16740","ENSGMOG00000017195",1.57899689852288,1.96532536458516,17.1053177770947,3.53631502085937e-05,0.0257441639314319
"2937","ENSGMOG00000003037",0.651250962160722,5.8404386296356,17.0989453838604,3.54820023557255e-05,0.0257441639314319
"8903","ENSGMOG00000009165",-2.18156081636287,4.92681940640733,16.9935647699032,3.75067257004798e-05,0.025780938823593
"10243","ENSGMOG00000010547",1.97461741770973,0.157744494446446,15.7657441299591,7.16888340501893e-05,0.0468128086347736
"2638","ENSGMOG00000002729",3.87467356880242,0.468765514691288,15.5551277477068,8.0134007466697e-05,0.0498357208340506
