"","genes","logFC","logCPM","LR","PValue","FDR"
"3113","ENSGMOG00000003215",-1.03136721133152,6.63267705242008,67.2095512687374,2.44128518844431e-16,2.07884753099963e-12
"17646","ENSGMOG00000018122",-1.26151887343189,5.91863909660357,66.1286896703922,4.22422169083755e-16,2.07884753099963e-12
"3225","ENSGMOG00000003330",-1.46942799725654,7.07139259454213,65.932503619314,4.6663244242416e-16,2.07884753099963e-12
"583","ENSGMOG00000000612",-1.57395150792505,6.63140352508346,61.7084768893592,3.98262066999236e-15,1.3306931313612e-11
"11142","ENSGMOG00000011469",-1.15632283587378,5.9816807962457,57.7463267282462,2.98196393524356e-14,7.97078959890605e-11
"6333","ENSGMOG00000006533",-0.817714229052683,7.44667504212058,56.2731870823604,6.30696590169025e-14,1.4048766546015e-10
"10095","ENSGMOG00000010396",-1.39729178217412,5.88209208070273,51.8078682812721,6.12060401866228e-13,1.16859818156316e-09
"8432","ENSGMOG00000008684",-0.964904791453172,6.49305046448025,49.5131811130723,1.97043375090465e-12,3.063584031362e-09
"9010","ENSGMOG00000009277",-1.07829881762833,9.15627461581373,49.4231009406219,2.06301954973872e-12,3.063584031362e-09
"396","ENSGMOG00000000421",-0.939692308317925,8.82980900966687,48.9016166220905,2.69128832398706e-12,3.59690684500871e-09
"5873","ENSGMOG00000006063",-1.2492506006894,6.76524487186451,46.0450918565483,1.15562298834448e-11,1.40408193083855e-08
"9084","ENSGMOG00000009353",-1.1326719126247,7.0429171322103,44.9796710072217,1.99090584030512e-11,2.21737137963983e-08
"9363","ENSGMOG00000009645",-1.31930408338382,4.84050188465218,44.6804447915387,2.31962522706542e-11,2.31333080104286e-08
"16936","ENSGMOG00000017394",-0.829354118002984,6.78462398251433,44.5948825464897,2.42324214101011e-11,2.31333080104286e-08
"5850","ENSGMOG00000006040",-1.65893429700426,6.07647517586536,43.641955716524,3.94294543272625e-11,3.51316438055909e-08
"1776","ENSGMOG00000001839",-1.29779295724966,5.45157422398967,42.8215851133671,5.99668180288134e-11,4.96190675792251e-08
"15912","ENSGMOG00000016344",-1.04245217336613,5.57034294165486,42.6866091913511,6.42506227855198e-11,4.96190675792251e-08
"1266","ENSGMOG00000001315",-0.902718244842043,7.57404408960786,42.6097040175384,6.68270270427274e-11,4.96190675792251e-08
"13030","ENSGMOG00000013400",-0.948830798282526,6.12426203941876,42.1205453931225,8.58168264632813e-11,6.03653624043029e-08
"17752","ENSGMOG00000018231",-0.969185733667465,6.41558624043988,41.8327857129827,9.94222463687947e-11,6.64389161359471e-08
"11652","ENSGMOG00000011990",0.811270414117089,10.6887360523279,41.5272086714238,1.16241777833558e-10,7.0659644542637e-08
"4051","ENSGMOG00000004186",-1.42407496584403,6.57479537460473,41.5260251375418,1.16312172086645e-10,7.0659644542637e-08
"3948","ENSGMOG00000004080",-0.701543913251465,6.90470542910751,40.6064327176766,1.86192692568454e-10,1.08194145051191e-07
"9730","ENSGMOG00000010027",-1.14641542552713,5.29672515597806,40.3234070136807,2.1521498993602e-10,1.19847847520621e-07
"3838","ENSGMOG00000003967",-0.993964458496498,5.84237040753656,39.8410410929573,2.75494948979026e-10,1.47279599724187e-07
"17957","ENSGMOG00000018440",-1.1716236315559,7.74715562658832,39.4609734317179,3.34681702765062e-10,1.72039267594425e-07
"13191","ENSGMOG00000013565",-1.41292638111264,6.51828853564759,37.7939019118616,7.86271719542519e-10,3.89204501173547e-07
"14773","ENSGMOG00000015188",-0.90972427296193,6.02855805772734,37.5077846106651,9.10488659206765e-10,4.34595747510658e-07
"11641","ENSGMOG00000011979",-0.825002942668713,7.86031225542712,37.389386993411,9.67471640751624e-10,4.45870982022257e-07
"8680","ENSGMOG00000008939",-1.11446824479467,4.44720027483702,37.2918186717152,1.01710398876692e-09,4.53119826995661e-07
