"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"45dph_agalma/gene:7790.1/isoform:1",49.6690374774566,-0.963076389658059,0.255314164305533,-3.77212283649704,0.000161864530241244,0.0489185847403646
"45dph_agalma/gene:22486.1/isoform:1",48.8977320815892,1.00403181194097,0.241783954391543,4.15259901951576,3.28720440718974e-05,0.0209729728594275
"45dph_agalma/gene:30401.1/isoform:1",44.0986209351883,1.01339901860455,0.260669701752904,3.88767475387369,0.000101209117881956,0.036827328174443
"45dph_agalma/gene:31468.1/isoform:2",119.841438755198,-1.07581430338133,0.235044726164206,-4.57706208064311,4.71551555293912e-06,0.0060171724942745
"45dph_agalma/gene:33322.1/isoform:1",699.834956998292,-0.855210300963431,0.213559231504363,-4.00455786874265,6.21335801970308e-05,0.0314807093901221
"45dph_agalma/gene:35610.1/isoform:1",88.438104324805,-1.15099872498489,0.250783075835629,-4.58961882156392,4.44056165461553e-06,0.00588425656486419
"45dph_c35678_g1_i1",227.452903580429,0.751893367408416,0.198900069174227,3.78025694274543,0.000156666595878561,0.0477666745823368
"45dph_agalma/gene:38825.2/isoform:1",105.89112072118,-1.01046153716315,0.258412724687675,-3.9102623076492,9.21959460584042e-05,0.0352936325505578
"45dph_agalma/gene:40637.1/isoform:1",199.901334458681,-1.01648533594169,0.257941947503345,-3.94075235059822,8.12264507234631e-05,0.0340343108514837
"45dph_c42156_g1_i2",158.069487647876,-0.978427096370608,0.248869060513987,-3.93149351048247,8.44197754715866e-05,0.0340343108514837
"45dph_c44423_g1_i1",856.605012386736,0.94036668339531,0.195094258447386,4.82006334209427,1.43512647654296e-06,0.00309027578102091
"45dph_agalma/gene:46767.1/isoform:1",143.236969074839,1.21316119805045,0.254086423095518,4.77460063891093,1.80064220527406e-06,0.00344652921657263
"45dph_c47312_g1_i1",506.183043296372,-1.06309925134365,0.21736416185192,-4.89086720775934,1.00392679333917e-06,0.00236311080498404
"45dph_c52345_g2_i1",697.241560407309,-1.06844172840597,0.260659021186064,-4.09900153673674,4.14936281136259e-05,0.025080350340329
"45dph_c52411_g6_i1",235.907770121506,-1.03463582175901,0.259557373140954,-3.98615461868287,6.71527602793765e-05,0.0321335284709077
"10dph_agalma/gene:15054.1/isoform:1",194.927547242715,1.68587372706248,0.257212310857745,6.55440527492821,5.58640618286472e-11,4.81171130545595e-07
"10dph_agalma/gene:27756.1/isoform:1",608.074527361092,-0.74283665963155,0.18626697077423,-3.98802136816798,6.66266637510812e-05,0.0321335284709077
"10dph_c30868_g1_i1",49.4510119814519,-0.996918423272489,0.260651764337005,-3.82471388907823,0.000130924040543195,0.0425540185739121
"10dph_c32105_g1_i3",232.970625410822,-1.05781275692779,0.258482126478827,-4.09240194414155,4.26927794652132e-05,0.0251840382596028
"10dph_c34695_g1_i2",113.403685105635,-0.978101043229537,0.247459804132153,-3.95256533342763,7.73178093646205e-05,0.0337193732410034
"10dph_agalma/gene:35173.1/isoform:3",3018.27646683426,0.647970669155294,0.172065978992619,3.76582676569138,0.00016599886307183,0.0493030933570152
"10dph_agalma/gene:48709.1/isoform:1",1628.92296332733,-1.02545839006764,0.252287630510375,-4.06463998251977,4.81066598829852e-05,0.0266876342822476
"20dph_agalma/gene:29033.1/isoform:1",98.4023703699373,-1.34189260488236,0.259913920596965,-5.16283468696225,2.43237939019703e-07,0.000838027671304583
"20dph_agalma/gene:40250.1/isoform:4",390.927189924762,-0.830258479310962,0.211263072884973,-3.92997445305084,8.49548873313675e-05,0.0340343108514837
"20dph_c41565_g1_i1",1199.23349151953,-0.751247518136385,0.139908463922481,-5.36956447861961,7.89270146389155e-08,0.000453212072559093
"20dph_agalma/gene:41596.1/isoform:1",176.297132599167,-0.899796557699488,0.231683578465629,-3.88373040358999,0.000102865962643612,0.0369170938641704
"20dph_c42375_g3_i1",275.461709400968,-0.896812835936282,0.200861768800403,-4.4648259412046,8.01338709177572e-06,0.00836621895372573
"30dph_agalma/gene:11120.1/isoform:2",78.1031412087881,1.01847114103257,0.243071089451381,4.19001347849012,2.78937885000905e-05,0.0198098909171415
"30dph_agalma/gene:15383.1/isoform:1",1421.67008549304,-0.975694520110338,0.233718823256975,-4.17465100377285,2.98443210443235e-05,0.0202213120027777
"30dph_agalma/gene:22044.1/isoform:2",484.556970324571,0.894734835786459,0.225655951634412,3.96503982857953,7.33836930331645e-05,0.032834913974956
"30dph_c30220_g1_i4",65.7602063837619,1.15772206256867,0.258681257861492,4.47547716498487,7.62408474864176e-06,0.00820851849515483
