"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"45dph_agalma/gene:18970.1/isoform:1",389.967792484106,1.16555164532241,0.253779455765225,4.5927738390324,4.37393000432288e-06,0.00918889795074832
"45dph_agalma/gene:42173.1/isoform:2",68.5287160939322,0.924403623006607,0.235721501377644,3.92159229261671,8.79657428417495e-05,0.0455674598022022
"45dph_agalma/gene:43480.1/isoform:2",1687.73440124164,-0.458321084453893,0.0986774073227654,-4.64464051993952,3.40669111641359e-06,0.00858826830447867
"45dph_agalma/gene:43701.1/isoform:1",6234.20694950541,0.604802532500105,0.143380702014665,4.21815853878472,2.46305618558729e-05,0.0198171212038263
"45dph_c48146_g1_i1",691.288753987,1.41279921689844,0.262946979491148,5.37294331972351,7.74616838510053e-08,0.000585842714965153
"45dph_c49986_g2_i1",58.5790277745827,-1.07798713935592,0.265699577990073,-4.05716541783966,4.96719019659695e-05,0.0307925077515268
"45dph_c51899_g1_i3",69.5288920523921,0.993844869560018,0.230857485554693,4.30501470278105,1.66974645614162e-05,0.0160513561011985
"45dph_agalma/gene:63553.1/isoform:1",11.9086644291666,0.970501218532654,0.222090975284506,4.36983635777819,1.2433967982847e-05,0.0141077047690439
"10dph_agalma/gene:9058.1/isoform:1",129.751372427302,0.758902765214896,0.190102198478865,3.99207779440419,6.54968772543244e-05,0.0369666330354071
"10dph_c14412_g1_i1",4879.62324589082,-0.687726924473142,0.174624614499754,-3.93831606410854,8.20554612561521e-05,0.0430962120472415
"10dph_agalma/gene:15054.1/isoform:1",101.888494982632,0.965306908727033,0.238793251598779,4.04243797621612,5.28983077035887e-05,0.0322637017066324
"10dph_agalma/gene:19579.1/isoform:1",55992.9520680106,0.778724962759756,0.178638607105126,4.35921985386668,1.30526929998089e-05,0.0141077047690439
"10dph_agalma/gene:30441.1/isoform:2",546.237307735912,-1.12956158716534,0.260930748379299,-4.32897078700502,1.49807801625505e-05,0.0149078474170223
"10dph_c32277_g1_i1",164.048149655042,0.974148537099569,0.245249985836778,3.97206358147517,7.1252694633531e-05,0.038491723536671
"10dph_c34874_g3_i1",1067.33661649355,-0.673671791243613,0.154542392613325,-4.35913913232329,1.3057508050153e-05,0.0141077047690439
"10dph_agalma/gene:39267.1/isoform:1",86.4542272322026,1.63195110374392,0.251672201032424,6.48443132395729,8.90670823934429e-11,3.36807172070804e-06
"20dph_agalma/gene:26210.1/isoform:2",77.5397826814039,1.03935110602371,0.248774933989351,4.17787712514556,2.94242532264225e-05,0.0213976564568686
"20dph_agalma/gene:28261.1/isoform:2",434.684697748035,-0.737931954875074,0.163475592265989,-4.51401915506992,6.36104678679383e-06,0.0109337720110277
"30dph_agalma/gene:13028.1/isoform:1",289.931125892649,-0.956228761241031,0.214078553953269,-4.46671907850126,7.94283189210806e-06,0.0118934428346735
"30dph_agalma/gene:25764.1/isoform:1",414.526728523755,-0.754445531261593,0.17833023914214,-4.23060909294387,2.33059379842083e-05,0.0191590009754965
"30dph_c29351_g1_i1",255.395056413525,0.938613453854278,0.200781013354916,4.67481181696753,2.9422328348614e-06,0.00855850266540646
"30dph_agalma/gene:38284.1/isoform:1",66.6869757123929,1.32715228705994,0.261423641259655,5.07663454102748,3.84178793344758e-07,0.0018159651337915
"45dph2_agalma/gene:3735.1/isoform:1",128.71678477314,1.06748742785777,0.260569428031004,4.09674855536295,4.18993577400529e-05,0.0273176588437948
"45dph2_c28686_g1_i1",171.830176340746,1.1548218509215,0.254161044574929,4.54366188513618,5.5285311005755e-06,0.0109337720110277
"45dph2_c32395_g1_i1",259.586379479868,0.892795295747809,0.200882072480733,4.44437517356576,8.81476682360496e-06,0.0118934428346735
"45dph2_agalma/gene:36816.2/isoform:1",1452.1244580867,-0.670913649167915,0.159757400948369,-4.19957789238662,2.67413028008437e-05,0.020618636517376
"90dph_agalma/gene:6241.1/isoform:1",137.617711487141,1.1072161336458,0.265923848203196,4.16365866065447,3.13188216265673e-05,0.0223456837699744
"90dph_agalma/gene:16937.1/isoform:2",46.0244391023048,1.26621108428765,0.259442186547355,4.8805134628964,1.05809990040199e-06,0.00363745888488195
"90dph_agalma/gene:20418.1/isoform:1",354.315803044248,0.737930090826544,0.181854580286438,4.05780316153839,4.95364914146662e-05,0.0307925077515268
"90dph_c22246_g2_i1",412.369064470689,1.45051381306365,0.259721304321217,5.58488575611683,2.33853890126178e-08,0.000294772828504047
"90dph_c35460_g1_i2",843.822118720964,1.05471416251523,0.266847246995939,3.95250156930149,7.73384217954629e-05,0.0411908791576821
"90dph_c36145_g2_i1",3992.01031722903,0.785201943237167,0.177257641338043,4.4297212651032,9.43549610049468e-06,0.0118934428346735
"brain_c35455_g1_i1",366.957516891092,-1.14167200714282,0.261713325003694,-4.36229988338079,1.28702291280973e-05,0.0141077047690439
"brain_agalma/gene:36246.5/isoform:3",191.14558021889,0.601198640179545,0.143306146925662,4.19520483298882,2.72625102702314e-05,0.020618636517376
"brain_agalma/gene:36373.4/isoform:1",35.9019078187871,1.04533132486996,0.251812872400657,4.15122275086375,3.30703705296212e-05,0.0229834046016292
"brain_c37434_g2_i1",302.230500971005,0.926656713488507,0.184505359868815,5.02238370824223,5.10340978441773e-07,0.00214428267775285
"brain_c37443_g1_i1",62.3780019584065,1.09578071451183,0.260224436318938,4.21090628540668,2.54348249474312e-05,0.0200378730288981
"brain_agalma/gene:38253.1/isoform:4",124.166139545103,1.09401642340204,0.265763334248484,4.11650623851354,3.84658922659069e-05,0.025974780643487
"gills_agalma/gene:20476.1/isoform:1",436.498775663956,0.90875376639918,0.222424339528639,4.08567591264971,4.39486879147091e-05,0.0281681293812665
"heart_c27157_g1_i2",230.902368421735,0.513283138372528,0.128892862241052,3.98224641340187,6.82669470415417e-05,0.0376568065526664
"liver_c13423_g1_i2",247.376476085443,1.11152456648179,0.249832192316618,4.44908462826573,8.62370343037431e-06,0.0118934428346735
"kidney_agalma/gene:18081.1/isoform:1",403.033090600887,0.893062398253536,0.223228998103834,4.00065585492674,6.3167167317718e-05,0.0361919156381743
"intestine_agalma/gene:18139.2/isoform:1",136.74299676275,1.13215851423302,0.265059123581735,4.27134330987817,1.94299023775411e-05,0.0168395365336399
"intestine_agalma/gene:18365.1/isoform:3",147.277100842018,0.977812768606806,0.219655939427202,4.45156534877525,8.52465817986124e-06,0.0118934428346735
"embryo_c25542_g1_i1",366.198237886757,1.23211782232796,0.266468335474273,4.62388080795784,3.76626335404422e-06,0.00888745681303381
"embryo_agalma/gene:27690.3/isoform:1",22.7026619974488,1.01445988888943,0.252206811960532,4.02233342154208,5.76244065184457e-05,0.0338014291508214
"embryo_c29712_g1_i1",244.920926541144,-1.16493397973718,0.263829374457057,-4.41548247663679,1.00784944455237e-05,0.0122941376599187
"embryo_c30109_g1_i1",71.1813091358973,1.14247700695008,0.265611160037216,4.30131402155694,1.69788243831268e-05,0.0160513561011985
"embryo_agalma/gene:31270.2/isoform:1",74.6490932284683,1.29607589585041,0.247607998334947,5.234386225671,1.65533996867364e-07,0.000894238298791337
"embryo_c31376_g1_i4",1016.58593473641,-0.657054836075673,0.148117551955996,-4.43603629278775,9.16304062697604e-06,0.0118934428346735
"dcod_1_S1_agalma/gene:31349.2/isoform:1",33.4571344902208,1.07671011195103,0.247371106076625,4.35261065460699,1.34525934227936e-05,0.0141308283411928
"dcod_1_S1_agalma/gene:32598.2/isoform:1",216.683923720966,1.11749859589861,0.249502651195343,4.47890469517972,7.50270195234254e-06,0.0118934428346735
"dcod_1_S1_agalma/gene:33443.1/isoform:3",19.7043168683379,1.21162051036471,0.262732049226595,4.61162052338632,3.99541890312243e-06,0.00888745681303381
"dcod_1_S1_c36337_g1_i1",1890.76673810438,-0.369044530597899,0.0927083481800341,-3.9807044116592,6.87113487275944e-05,0.0376568065526664
"dcod_1_S1_agalma/gene:36366.4/isoform:1",1124.92657858751,-0.594708181466792,0.144932636043848,-4.10334206083763,4.07224482260389e-05,0.0270161294678537
"dcod_1_S1_agalma/gene:37368.5/isoform:3",2311.88949088452,-0.495575728835583,0.119451548080055,-4.14875936562541,3.34281965645803e-05,0.0229834046016292
"dcod_1_S1_agalma/gene:37773.4/isoform:1",127.72472026615,1.14404854786213,0.263649248892668,4.33928240898526,1.42948725660058e-05,0.0146097461103652
"dcod_1_S1_c37773_g4_i2",118.744204892767,1.1742336050389,0.264438052144101,4.44048651666448,8.9755728657141e-06,0.0118934428346735
"dcod_12_S3_agalma/gene:33555.1/isoform:1",250.226652947757,1.12906684298457,0.249150142641052,4.53167247273548,5.85185311779035e-06,0.0109337720110277
"dcod_12_S3_agalma/gene:37811.5/isoform:1",69.1226167327343,1.37825384612851,0.253424912563437,5.43850970367213,5.37280841520901e-08,0.000507931875552822
"dcod_12_S3_agalma/gene:38409.6/isoform:1",317.590391487104,-1.13974743888697,0.266952910711874,-4.26946998198165,1.95938015993695e-05,0.0168395365336399
"dcod_12_S3_agalma/gene:40406.4/isoform:3",1189.55334285982,-0.680043543488358,0.143834133462212,-4.72797052493118,2.26775094560141e-06,0.00714625016732643
"dcod_12_S3_agalma/gene:40956.2/isoform:1",549.235626315266,-1.10930358055146,0.264968611425381,-4.18654713320207,2.8323013962599e-05,0.0210006818234448
"dcod_12_S3_c41250_g1_i1",210.464695560948,1.01834703828506,0.260395149515275,3.91077575823019,9.20001569083736e-05,0.0470133234255425
"dcod_25_S25_agalma/gene:32653.1/isoform:1",3546.58276097706,-0.679131399663406,0.113267639883183,-5.9958113399716,2.0247197492152e-09,3.82823886582864e-05
"dcod_25_S25_c34929_g2_i1",1001.99395589644,-0.390803695999684,0.100291847200313,-3.89666465330058,9.75265115943797e-05,0.0491728671458863
"dcod_25_S25_agalma/gene:36215.7/isoform:1",2505.94368327125,-0.472879761363702,0.117620278024829,-4.02039316098095,5.81010946662275e-05,0.0338014291508214
"dcod_25_S25_c37097_g1_i1",6289.47051785658,0.617051382716098,0.124629814300984,4.95107359484548,7.38051841581315e-07,0.00279094303893974
"dcod_25_S25_c37958_g2_i2",398.017223782638,1.01031642076592,0.250847040669814,4.02761945314627,5.63444427676208e-05,0.0338014291508214
"dcod_25_S25_agalma/gene:38236.2/isoform:3",441.233530247103,-0.894010573073882,0.19802084749013,-4.51472955704041,6.33976168490842e-06,0.0109337720110277
"dcod_25_S25_agalma/gene:38236.2/isoform:6",466.191326333509,-0.916311076401202,0.197083184657292,-4.64936203458745,3.32963318095757e-06,0.00858826830447867
"dcod_25_S25_agalma/gene:38236.2/isoform:7",569.520638146818,-0.882802274841545,0.206269938696569,-4.27983971110877,1.87027962190869e-05,0.0168391961672564
"dcod_25_S25_agalma/gene:40058.1/isoform:1",617.474043338991,-1.13729007647138,0.264964607744264,-4.29223391815808,1.76884457199303e-05,0.0163143554853454
"ovary_g7534_2__i1",262.070109111703,-0.863520998014827,0.164320244168678,-5.25511024148922,1.479358307219e-07,0.000894238298791337
"ovary_g17254_2__i2",4589.77071031245,-1.13082334906673,0.266246351393211,-4.24728204968584,2.16379489455176e-05,0.0181830897638833
