"","logFC","logCPM","LR","PValue"
"45dph_agalma/gene:27.1/isoform:1",-0.380830342919891,1.8194135828853,1.52590386476145,0.216728244100519
"45dph_agalma/gene:31.1/isoform:1",-0.0747466822387617,2.03516613637553,0.107528867842771,0.742975216387267
"45dph_agalma/gene:36.1/isoform:1",0.116425389470738,2.26012722975929,0.292090378650462,0.588884070135094
"45dph_agalma/gene:43.1/isoform:1",0.124237953768215,5.60608971901898,0.189112188122333,0.6636565649992
"45dph_agalma/gene:44.1/isoform:1",-0.258508127325228,0.0702809660217642,0.326156626283336,0.567931018126236
"45dph_agalma/gene:46.1/isoform:1",0.118477800348707,2.65765306793573,0.284722515010085,0.593622487441742
"45dph_agalma/gene:72.1/isoform:1",-0.0316936109194191,5.41360836285867,0.044966761285167,0.832065159394488
"45dph_agalma/gene:139.1/isoform:1",0.193209919787088,2.58891571737993,0.811779416603525,0.367594688081572
"45dph_agalma/gene:172.1/isoform:1",0.107906362818117,5.30151154627316,0.618424969813248,0.431633179822474
"45dph_agalma/gene:376.1/isoform:1",-0.24063058363596,1.07906277571202,0.554427891073805,0.456514083207917
"45dph_agalma/gene:379.1/isoform:1",0.0592350596817163,6.90151667770374,0.108762400277101,0.741557548449788
"45dph_agalma/gene:385.1/isoform:1",-0.461350143571746,0.63374928168399,1.89324539906803,0.16883632652891
"45dph_agalma/gene:387.1/isoform:1",-0.120400489448142,5.91668527995525,1.35182342035077,0.244959596818096
"45dph_agalma/gene:438.1/isoform:1",0.045766393450635,5.50380222475285,0.164806681675778,0.684769131313799
"45dph_agalma/gene:439.1/isoform:1",-0.182473222521217,6.40229288231313,1.21964473845296,0.269430383501221
"45dph_agalma/gene:481.1/isoform:1",-0.181647687826412,3.22760956192216,1.11924509280649,0.290081063054642
"45dph_agalma/gene:483.1/isoform:1",-0.0621291775973987,8.64416016944692,0.0686650739921788,0.793290438446781
"45dph_agalma/gene:488.1/isoform:1",0.147759465386873,9.5005837752999,0.433972276824534,0.510046221949676
"45dph_agalma/gene:611.1/isoform:1",-0.160910861070081,0.00996502635256788,0.172989541783029,0.677468460105445
"45dph_agalma/gene:636.1/isoform:1",0.020597235083198,4.60078686626655,0.0262313607651379,0.871336577370193
"45dph_agalma/gene:638.1/isoform:1",0.116280699391416,3.23439605951577,0.352662284892631,0.552609930387324
"45dph_agalma/gene:655.1/isoform:1",-0.0787582368371866,5.04361469814906,0.167318131386594,0.682506351105662
"45dph_agalma/gene:656.1/isoform:1",0.0810866685103223,6.82823253987914,0.500519574965864,0.479271914392043
"45dph_agalma/gene:661.1/isoform:1",-0.0790173405399581,4.91373588187983,0.270250617123324,0.603163705768192
"45dph_agalma/gene:690.1/isoform:1",0.132548011771647,5.96295134958638,0.39471465915517,0.529831529104358
"45dph_agalma/gene:690.1/isoform:2",0.0850200143311444,5.72901846360766,0.202274406394281,0.652891240200147
"45dph_agalma/gene:695.1/isoform:1",0.157882267109481,5.88968911512401,1.25815321386297,0.26200095168395
"45dph_agalma/gene:770.1/isoform:1",0.0283972722988066,1.44654342047216,0.00513755061884069,0.942859191970372
"45dph_agalma/gene:788.1/isoform:1",0.134810046004856,4.60266283759508,0.770842566515565,0.379956523789654
"45dph_agalma/gene:801.1/isoform:1",-0.163373469510743,0.847858930047625,0.339740991280141,0.559978764813614
"45dph_agalma/gene:827.1/isoform:1",0.0468503741648383,6.23578843487531,0.0862311152191069,0.769024333254541
"45dph_agalma/gene:839.1/isoform:1",-0.0432567590902178,0.765111070733225,0.0122475541230926,0.911879092468968
"45dph_agalma/gene:902.1/isoform:1",0.385390919771134,2.17825168755686,2.13110711926642,0.144336472717673
"45dph_agalma/gene:920.1/isoform:1",-0.151380355544531,7.25379291812889,0.869311111154218,0.351146092790073
"45dph_agalma/gene:923.1/isoform:1",-0.118034320142478,0.152954759835494,0.146952548208111,0.701464790779297
"45dph_agalma/gene:924.1/isoform:1",-0.0472592863680983,9.02423142475459,0.0524184519795483,0.818907184914935
"45dph_agalma/gene:968.1/isoform:1",0.141613327842359,9.13058445905199,0.720905310531634,0.395847111374654
