"genes","logFC","logCPM","LR","PValue","FDR"
"gills_c19961_g1_i2",6.65366703550699,1.67970711140624,315.00484356503,1.77411129936463e-70,4.42002089123705e-66
"kidney_agalma/gene:1404.1/isoform:1",-6.27034660938356,0.322699446862013,76.702837172059,1.9871768018039e-18,2.47542614200712e-14
"embryo_agalma/gene:30789.1/isoform:1",7.30347508437359,6.85191567605638,46.4939525020985,9.19016459630262e-12,7.63212535840945e-08
"90dph_agalma/gene:34815.1/isoform:1",7.23519088222346,6.63369279114573,45.4996336971762,1.52667377774215e-11,9.50888762466698e-08
"10dph_agalma/gene:15054.1/isoform:1",4.1845266462361,-0.0392075318118327,35.8757899770634,2.10305744541565e-09,1.04791146390171e-05
"dcod_12_S3_agalma/gene:40666.3/isoform:1",4.4559441356736,0.747720078757146,31.5198696251691,1.97409853975571e-08,7.6408393996128e-05
"90dph_agalma/gene:20489.1/isoform:1",-4.90659995086466,2.09580179897915,31.3570114324613,2.14682009301154e-08,7.6408393996128e-05
"embryo_agalma/gene:11244.1/isoform:1",-4.84051990861139,1.97481974466313,30.4664063638445,3.39698255529432e-08,0.000105790529228253
"liver_agalma/gene:14469.1/isoform:5",5.43027647934869,-1.68684372487174,28.6479622802826,8.68052882381052e-08,0.000240296327907128
"45dph2_c28686_g1_i1",3.82303686652406,0.684493533837244,25.9735838279705,3.46121136244476e-07,0.000862326198839488
"30dph_c32093_g3_i1",4.93065538057802,2.07174007336266,25.4992158319008,4.42562756301081e-07,0.0010023644100441
"gills_agalma/gene:20476.1/isoform:1",5.19164774346516,1.72385953219456,23.9985164486557,9.6409958486831e-07,0.00200163142145076
"brain_agalma/gene:36373.4/isoform:1",3.58716898533729,-1.55749665295634,23.02373039704,1.60014027439334e-06,0.0029254071375842
"kidney_agalma/gene:18081.1/isoform:1",4.84012424142572,1.57561919412656,22.971881991901,1.64388295441032e-06,0.0029254071375842
"45dph_agalma/gene:44265.1/isoform:2",6.05931876318761,-0.253860199528017,22.6573421868093,1.93618936993321e-06,0.00321588146416773
"30dph_agalma/gene:33312.1/isoform:1",4.76635063759865,-1.83616987545243,21.8463862357816,2.95372360389846e-06,0.00459931686672039
"embryo_c29958_g1_i1",-1.30739708430836,3.25057681493092,20.7597288778951,5.20663923578152e-06,0.00703650025460373
"20dph_agalma/gene:29033.1/isoform:1",-2.69697182301089,-0.94770342993635,20.7351431168745,5.27391614611404e-06,0.00703650025460373
"dcod_12_S3_agalma/gene:40148.12/isoform:7",-2.31505246144027,1.4645098861764,20.7019260017824,5.36619992122785e-06,0.00703650025460373
"brain_agalma/gene:38039.2/isoform:7",-0.800429625353267,4.76455888196326,20.1637212165023,7.10884649310496e-06,0.00885549007646085
"dcod_1_S1_c37635_g2_i4",-1.468032646345,1.57041092877733,19.7691779033968,8.73804751952586e-06,0.00997678777518126
"brain_agalma/gene:30789.1/isoform:2",-1.20829560836904,2.08090373504724,19.7535306970376,8.80987922669936e-06,0.00997678777518126
"brain_c37895_g1_i2",-5.90949855459111,0.626296368666012,19.5586955722273,9.75556811166506e-06,0.0103025346233376
"dcod_25_S25_agalma/gene:35862.1/isoform:1",-1.45778214362184,1.59110946642454,19.5258839423029,9.92457377218037e-06,0.0103025346233376
"45dph_agalma/gene:46767.1/isoform:1",3.13747037851671,-0.507580110729293,19.336232688598,1.09606640398588e-05,0.0109229593555617
"90dph_agalma/gene:35506.5/isoform:2",-0.781377314071901,4.69627725623342,18.9173637046401,1.36504551710281e-05,0.0130802861588844
"embryo_agalma/gene:11306.1/isoform:1",-3.69527484894337,-1.1927714075309,18.36567543309,1.82312841636695e-05,0.0166871715826764
"90dph_agalma/gene:6241.1/isoform:1",2.70358821042239,0.520229432292426,18.3118045492277,1.87541464363386e-05,0.0166871715826764
"10dph_agalma/gene:50436.1/isoform:1",-4.9829017609939,-1.1779929024566,17.8795676684398,2.35334212511273e-05,0.0194700430116955
"10dph_c34695_g1_i2",-3.87446957471836,-0.745549151144843,17.802878885851,2.45012243849712e-05,0.0194700430116955
"90dph_c22246_g2_i1",4.00573626707783,1.65685638275503,17.7857592670648,2.47226753942934e-05,0.0194700430116955
"30dph_c30220_g1_i4",2.60554689353324,-1.50346422679386,17.7202305850867,2.55890657636735e-05,0.0194700430116955
"ovary_g10256_1__i1",-2.26125068584438,0.791754360997468,17.7054128218581,2.57891715254857e-05,0.0194700430116955
"90dph_c25036_g1_i1",-4.54414525552951,-0.364181803334756,17.351557591252,3.10643569499245e-05,0.0227628643838358
"brain_agalma/gene:32369.1/isoform:1",5.01652517069616,-1.39153829178016,17.1928033714802,3.37713290533684e-05,0.0240393969153034
"45dph2_agalma/gene:20982.1/isoform:1",-6.29014297031995,2.301986951425,16.980318394405,3.77693185705051e-05,0.0261384667462657
"45dph_c47312_g1_i1",-1.39552950276982,1.38187659770837,16.7906150954437,4.17392196289816e-05,0.0278220710413532
"45dph_agalma/gene:38492.1/isoform:3",-4.23851582605875,-0.833607685285505,16.7592213737785,4.24355261929606e-05,0.0278220710413532
"45dph_c44423_g1_i1",1.10716211793669,2.12843698160832,16.5514222434223,4.73484608964281e-05,0.0302471680711182
"dcod_25_S25_agalma/gene:20406.2/isoform:1",-2.19363419693999,-0.777989174247667,16.4314071026677,5.04424995309116e-05,0.0314181108328283
"45dph_c42156_g1_i2",-3.63161877347449,-0.284347496404773,16.2933946263519,5.42527397736842e-05,0.0328259500877333
"30dph_agalma/gene:11120.1/isoform:2",3.27235563757543,-1.4223915302661,16.2412694654345,5.57659768704656e-05,0.0328259500877333
"dcod_25_S25_agalma/gene:38089.3/isoform:6",-5.03641970123692,-1.62849957393817,16.2112876524421,5.66555291712504e-05,0.0328259500877333
"45dph_agalma/gene:18970.1/isoform:1",3.58243586305817,1.57451874215477,16.1652508225337,5.80492896590484e-05,0.0328690909673985
"dcod_25_S25_c34013_g1_i1",-4.80776722197105,-0.522176122787615,16.0682675016326,6.1099338509804e-05,0.0338273093251835
"dcod_1_S1_agalma/gene:35804.1/isoform:8",-2.43088204274521,2.36889472831556,15.9947240767822,6.35192507754083e-05,0.0344025785612722
"10dph_agalma/gene:35822.1/isoform:1",3.55851946143772,1.62113688069857,15.9404998950104,6.53650111765681e-05,0.0346490189032557
"30dph_agalma/gene:24230.1/isoform:1",-5.68120118368334,2.2320258196569,15.8319728192517,6.92228660490477e-05,0.0351988627084019
"dcod_25_S25_c37524_g11_i1",-2.07411816288486,2.04562608249396,15.8220013395236,6.95886161778729e-05,0.0351988627084019
"45dph_c49367_g1_i1",-3.02883216777984,3.26123316936131,15.7936087275803,7.06407295263745e-05,0.0351988627084019
"45dph_agalma/gene:18723.1/isoform:1",-4.07441998626491,-0.349727060206499,15.7451576260686,7.24732144667086e-05,0.0354038757886976
"dcod_1_S1_agalma/gene:32598.2/isoform:1",1.22867382122432,0.391872660780998,15.5184785698484,8.17026589539681e-05,0.03914500086883
"dcod_1_S1_agalma/gene:37166.7/isoform:3",-2.0095665553629,3.53573507082651,15.3490638833454,8.93651952930649e-05,0.0420083863307815
"dcod_12_S3_agalma/gene:33555.1/isoform:1",1.27941232723074,0.622805005438609,15.2455495699425,9.43989316659608e-05,0.0429674006352391
"10dph_c35640_g4_i3",-3.17188838332872,3.77591101065106,15.2364552801852,9.4854581156705e-05,0.0429674006352391
"bones_agalma/gene:33434.2/isoform:2",-0.770702250288133,3.19226810975335,15.1626323807368,9.86361768880319e-05,0.0433185662522108
"90dph_c35585_g1_i2",0.833339035363226,6.25076565230811,15.1536362243884,9.91072600295422e-05,0.0433185662522108
"kidney_agalma/gene:19619.1/isoform:2",-1.82908900049486,-0.414223271331904,15.1041037252525,0.000101741876481614,0.0437033984597058
"30dph_agalma/gene:38284.1/isoform:1",3.07949482796579,-1.36833715870918,15.0339442627272,0.000105594728159932,0.0445896111419752
"dcod_25_S25_agalma/gene:38089.3/isoform:4",-4.84560764870261,-1.52855883643611,14.9541659477465,0.000110154579604092,0.0445945102416501
"30dph_agalma/gene:15383.1/isoform:1",-1.37942233493484,2.86668473565915,14.9415493076697,0.000110893638565603,0.0445945102416501
"ovary_g12056_1__i2",-0.689064801162906,5.30259757124563,14.9363264776274,0.00011120104085242,0.0445945102416501
"liver_c13423_g1_i2",1.2662590115386,0.610549819424604,14.9082285584682,0.00011286959142687,0.0445945102416501
"embryo_agalma/gene:28450.1/isoform:1",-4.13424133392292,-1.06415781349773,14.88025125723,0.000114556018923722,0.0445945102416501
"dcod_1_S1_c37898_g4_i1",-2.37421235815746,0.0742765107633871,14.7336224270312,0.000123818409033089,0.0470860149225792
"10dph_c14412_g1_i1",-0.66983746965352,5.17838139243819,14.7196996671336,0.000124736171826693,0.0470860149225792
"intestine_c18144_g1_i1",-4.93097698361872,-0.0849214230693995,14.6760520845078,0.000127657966483549,0.0474697101040469
"45dph_c48146_g1_i1",3.52662884741473,2.38848854202416,14.6309976886315,0.000130746229273765,0.0479031111195085
"bones_c32933_g3_i1",-3.3735469186466,-0.967510245245614,14.5335529369396,0.000137685350499265,0.0497143887295463
