"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSGMOG00000000001",5979.52473791882,-0.189530902133987,0.101142459806111,-1.87390046175776,0.0609441458167018,0.313620887564666
"ENSGMOG00000000002",315.092397736008,-0.0351173596605898,0.157912566468551,-0.222384832606616,0.824014318050994,0.933094363343231
"ENSGMOG00000000003",1984.43676124828,0.0768401046726074,0.188217916006032,0.408250746279355,0.6830895955228,0.866944660303451
"ENSGMOG00000000004",18.1056502712866,0.025994735187579,0.235899359916488,0.110194174315613,0.912255382361271,0.97071993655485
"ENSGMOG00000000005",11.4782380059391,0.17595097016617,0.194863395104077,0.902945214888587,0.366554971932229,NA
"ENSGMOG00000000006",5359.9418591677,-0.0841916422797386,0.0890565430805356,-0.945372898694287,0.344468533213688,0.651765966972508
"ENSGMOG00000000007",51.3029970167935,-0.733771184444092,0.239914778616458,-3.0584659631041,0.00222473350366501,0.0934388071539303
"ENSGMOG00000000008",7.09810126238586,0.14269441773891,0.231783692117735,0.615636140899974,0.538134692771438,NA
"ENSGMOG00000000009",2303.54633101364,-0.130409547849885,0.087528361128029,-1.48991191162752,0.136247399133533,0.439327145562494
"ENSGMOG00000000010",383.570540779732,0.391922193390683,0.232250375826317,1.68749864019067,0.0915075111744318,0.37274097713877
"ENSGMOG00000000012",131.666189883235,0.0965962334820125,0.234325121266289,0.412231658987342,0.680169634427635,0.865924858101779
"ENSGMOG00000000013",3.34155659353136,-0.0131332141185994,0.180441863968308,-0.0727836314133072,0.941978296645956,NA
"ENSGMOG00000000014",68236.8692857869,-0.0954765502733557,0.0987923811534318,-0.966436370483606,0.333825872039324,0.64265364353378
"ENSGMOG00000000015",1730.22897354799,-0.269112071791339,0.179250190363662,-1.50132098183754,0.133272560641199,0.435751238795003
"ENSGMOG00000000016",1462.4606426034,0.113354202310168,0.143697262048995,0.788840376593393,0.430205307310768,0.7146361617726
"ENSGMOG00000000017",17.8723210979275,0.36230848812871,0.238892274977246,1.51661868582071,0.129362984869599,0.430874782851192
"ENSGMOG00000000018",1376.29641313359,-0.170583336146104,0.11594284195087,-1.47127095796381,0.141217854103914,0.445338029756633
"ENSGMOG00000000019",1708.30572262596,-0.087154237604683,0.145669804066197,-0.59829995765682,0.549639804860155,0.790501542438981
"ENSGMOG00000000020",1718.31582428537,-0.385974929605664,0.136388643052111,-2.82996385159571,0.00465532635911432,0.11938079491092
"ENSGMOG00000000021",7643.32462104724,-0.295205094624626,0.114509213950912,-2.57800297844307,0.00993731414195168,0.162106514066192
"ENSGMOG00000000022",55.9810871142495,-0.358736572939019,0.227986858213511,-1.57349671709173,0.115603847882722,0.409788781017554
"ENSGMOG00000000023",1847.89487772613,-0.199712950493475,0.138447547632735,-1.44251706807593,0.149156560118802,0.455535500076063
"ENSGMOG00000000024",69.9255116396267,0.13072833100939,0.2229652095917,0.586317171404382,0.557662393851566,0.795283652213081
"ENSGMOG00000000025",865.872559849815,0.0682817856253646,0.161115323469446,0.423806899027291,0.671706646291159,0.861814482075655
"ENSGMOG00000000026",76.3918407335206,-0.593399972971084,0.229453108830224,-2.58614919621834,0.00970549097293822,0.160609179141519
"ENSGMOG00000000027",2.70483502824472,-0.102552622871745,0.161642642888111,-0.634440399138562,0.525793451573867,NA
"ENSGMOG00000000028",992.467914903375,-0.04423401291796,0.107020771640257,-0.413321752777578,0.679370894560723,0.865924858101779
"ENSGMOG00000000029",8.74223934637647,-0.0444827760118386,0.230917507039606,-0.192634922237443,0.847244893144938,NA
"ENSGMOG00000000031",14885.9621591342,-0.291509155414345,0.147510133985254,-1.97619748242846,0.0481324149330925,0.286474786426755
"ENSGMOG00000000032",1662.27541928758,0.180458182234781,0.137952811294609,1.30811529349263,0.190834206948883,0.50476104765085
"ENSGMOG00000000033",483.419686716585,-0.0724628211801164,0.169510483378437,-0.427482830181902,0.669027688360852,0.860524744087328
"ENSGMOG00000000034",148.850699500108,-0.202272802760893,0.197044051246564,-1.02653595214496,0.304639026161942,0.618066115127848
"ENSGMOG00000000036",270.156534199852,0.227321131098223,0.174647645189639,1.30159860358488,0.193053637438486,0.507391104214319
"ENSGMOG00000000037",91.6809666651387,0.882754704347249,0.208645381574638,4.23088542715461,2.32773220462889e-05,0.01300956098526
"ENSGMOG00000000038",1091.66810902487,0.290042834623138,0.106970004533094,2.71144079958795,0.0066991502480913,0.139523834648196
"ENSGMOG00000000039",5.08871569865382,-0.259773441930974,0.216056775343528,-1.20233879043107,0.229232293727116,NA
"ENSGMOG00000000041",8.07703298068068,0.176238912978145,0.211606607655817,0.832861104530356,0.404923068127834,NA
"ENSGMOG00000000042",1759.15396173407,-0.0530018532195097,0.141180321909082,-0.375419552121734,0.707348466020977,0.880193685150184
"ENSGMOG00000000044",3172.96113588098,0.0252203387564393,0.0904958209221744,0.278690645594879,0.780482241944981,0.91449824969742
"ENSGMOG00000000045",1715.23910822112,0.269080877138596,0.13606685038352,1.97756379588533,0.047977936912104,0.28636951135287
"ENSGMOG00000000046",2430.84444473977,-0.0560826867941647,0.140719746721547,-0.398541697954727,0.690230927928957,0.870360705673583
"ENSGMOG00000000047",896.019249082731,0.0567860398778927,0.140680523949952,0.403652462213567,0.686468301414034,0.869013616410532
"ENSGMOG00000000048",897.332059811423,0.132391671128624,0.135349469412109,0.978146953243831,0.328001648226198,0.639114555025172
"ENSGMOG00000000049",0.762196837423102,-0.0951402403750858,0.108084136694468,-0.880242404526284,0.378728006254212,NA
"ENSGMOG00000000050",2453.26036865768,0.165547012094346,0.0891884506971849,1.856148534931,0.0634323893714992,0.31999686781231
"ENSGMOG00000000051",378.742605523114,0.390381505564289,0.194271554207153,2.00946302796354,0.0444880518280572,0.277660960194905
