"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSGMOG00000000037",91.6809666651387,0.882754704347249,0.208645381574638,4.23088542715461,2.32773220462889e-05,0.01300956098526
"ENSGMOG00000000085",2655.86241865957,-0.424601188268339,0.103147144375605,-4.11646091453756,3.84734538565713e-05,0.0157637777731593
"ENSGMOG00000000192",102.408702589228,0.80496834029551,0.223210652381895,3.60631686573039,0.00031057386340741,0.0396828340597608
"ENSGMOG00000000422",5279.75817008841,-0.312912059257745,0.0890153821512164,-3.51525828116067,0.000439326491692489,0.0464532970230898
"ENSGMOG00000000559",1186.74667722482,0.648161574181771,0.170341524788131,3.80507087152089,0.00014176359408059,0.0271765372770201
"ENSGMOG00000000578",138.835664663518,0.852057272519455,0.188359525394195,4.52356880139875,6.08055411310893e-06,0.00528388226230666
"ENSGMOG00000000660",3428.31484663486,-0.258011267843141,0.0678761665268697,-3.80120565207529,0.000143993725344372,0.0271765372770201
"ENSGMOG00000000721",663.156674283911,0.767613055876456,0.1912013374497,4.01468455249899,5.95253520555969e-05,0.0192939782423685
"ENSGMOG00000001019",388.459211596509,0.493833583454728,0.137850666641671,3.58238081458394,0.000340476970456865,0.040389434792028
"ENSGMOG00000001086",9987.68966939429,-0.377990327996811,0.0987661230355592,-3.82712529741318,0.000129648528358098,0.0268480494141562
"ENSGMOG00000001136",247.95350827724,-0.506819396200472,0.124023332128188,-4.08648427278694,4.37959158915816e-05,0.0159273066777118
"ENSGMOG00000001910",23.942255611631,0.858047135674455,0.239776320786198,3.57853157835195,0.000345530124863223,0.040389434792028
"ENSGMOG00000002047",168.202948845336,0.845831046684417,0.214646601361584,3.9405750723235,8.12865062378075e-05,0.0233073424616483
"ENSGMOG00000002108",34.795601991169,0.986142340970021,0.239816227824687,4.11207510815706,3.9211868002088e-05,0.0157637777731593
"ENSGMOG00000002363",4837.41621730345,-0.253946163411726,0.0728534929900123,-3.48571019712865,0.00049083243512189,0.0494480514031579
"ENSGMOG00000002448",51799.8321857638,-0.214932653468977,0.0605234060344398,-3.55123195391008,0.000383432334308009,0.0433104250343365
"ENSGMOG00000002548",35.2847321959208,0.851928778677917,0.234078081369686,3.63950684187487,0.000273160680128834,0.0372056109311526
"ENSGMOG00000002600",25.8484750784094,0.833740965028349,0.230061597701585,3.62399015462721,0.000290092652176532,0.0385905348459881
"ENSGMOG00000002614",114.35558788157,-0.840833438780978,0.239917128816328,-3.50468281664328,0.000457151576057879,0.0470077930967101
"ENSGMOG00000002648",161.766239105794,0.790539966166167,0.207319470004722,3.81314869340619,0.000137207506560786,0.0269179463529121
"ENSGMOG00000002650",73.4525860041151,0.682268966464113,0.186064888989279,3.66683349110226,0.000245572587169383,0.0356108629136934
"ENSGMOG00000002749",62.5672435176406,-0.775847937216277,0.221561404906711,-3.5017287308814,0.000462250002210531,0.047206489951774
"ENSGMOG00000002826",116.918948920208,0.827206093482843,0.22766814400159,3.63338532542816,0.000279726798216517,0.0375741131658402
"ENSGMOG00000002954",92.0333448614931,0.850326254587091,0.176784636362996,4.80995561651124,1.50963813017271e-06,0.00225087045208751
"ENSGMOG00000003018",4170.38443119678,0.444098411439609,0.127008450998666,3.49660520971374,0.000471218636510656,0.0477950331317951
"ENSGMOG00000003119",175.282020838509,0.657118762371172,0.181430313859047,3.62187965392425,0.000292470183608093,0.0385905348459881
"ENSGMOG00000003157",8189.68844185133,-0.416380283726231,0.104840762868654,-3.97154954173579,7.14066466517796e-05,0.0212934620315607
"ENSGMOG00000003302",28842.7027728009,-0.296932357046071,0.0827278206589583,-3.58926845504805,0.000331607218975345,0.040389434792028
"ENSGMOG00000003513",112.699240129838,1.03335994891735,0.239914399891975,4.30720269138757,1.65332096882245e-05,0.0112050071114285
"ENSGMOG00000003562",49.9999934056138,0.9597427179557,0.232204321481848,4.13318198313861,3.57775217696871e-05,0.0156053660096079
"ENSGMOG00000003568",32.2372750776345,0.873852121477443,0.23138279077584,3.77665131683893,0.000158951007945558,0.0282138039103365
"ENSGMOG00000003919",50.1285025981978,0.894141170634979,0.21575752870088,4.14419453179125,3.41010179105425e-05,0.0156053660096079
"ENSGMOG00000004009",39.9165349165209,0.879120857888381,0.23147436849073,3.79791880898289,0.000145916099498191,0.0271951130439753
"ENSGMOG00000004036",445.667381799722,-0.594129348526836,0.132968102053745,-4.46820958824164,7.88770044152228e-06,0.00618976913595248
"ENSGMOG00000004165",179.276458182711,0.615986272052902,0.168014361740722,3.66627153578385,0.000246112594527322,0.0356108629136934
"ENSGMOG00000004332",138.248365421784,1.08342939335162,0.237363408712895,4.56443307427426,5.008459400365e-06,0.00497840864396281
"ENSGMOG00000004637",292.047129822391,0.775909770136527,0.166067947321563,4.67224279369279,2.9792848217607e-06,0.00370176139103766
"ENSGMOG00000004755",196.244831639286,0.508721162128209,0.132117002026376,3.8505351644798,0.000117860005782653,0.025206111453117
"ENSGMOG00000004931",1380.32344634724,0.603324903343305,0.155059439086378,3.89092664656948,9.98621212767428e-05,0.0249064319988353
"ENSGMOG00000004998",75.7742108048117,0.673679373206842,0.179697746655918,3.74895838007803,0.000177570548099137,0.0311013513241934
"ENSGMOG00000005045",5003.17396814035,-0.409219128449831,0.104812793920187,-3.90428604318519,9.45039547573439e-05,0.0247202450075789
"ENSGMOG00000005047",553.871211248527,-0.981255644097828,0.211686211931516,-4.63542540227078,3.56204168012005e-06,0.00408538780389153
"ENSGMOG00000005120",1312.44524397278,-0.578306387189485,0.161645555746505,-3.57762008685468,0.000346736931816203,0.040389434792028
"ENSGMOG00000005135",299.196756295891,0.729560429998985,0.206176217753135,3.5385285361696,0.00040236378866987,0.0437901028399106
"ENSGMOG00000005247",316.77983933794,-1.00792382118159,0.223316893640995,-4.51342397231234,6.37893230861971e-06,0.00528388226230666
"ENSGMOG00000005655",63.9126216977318,0.893937047092703,0.239086269199692,3.73897275692591,0.000184773747531806,0.0313065519965821
"ENSGMOG00000005665",902.926708700552,0.595775467768051,0.144334041653918,4.12775434638345,3.66323145765444e-05,0.0156053660096079
"ENSGMOG00000006118",1791.20227864417,-0.588029826157982,0.159906155850125,-3.67734327069388,0.000235675791287354,0.0356108629136934
"ENSGMOG00000006300",467.689391088082,0.581821086843848,0.162983710177894,3.56981127873944,0.000357238496730262,0.0411883496682132
"ENSGMOG00000006522",950.403379352003,-0.378158029937673,0.0928019223958559,-4.07489435751775,4.60352403304953e-05,0.0162196653047652
"ENSGMOG00000006592",129.530960750837,0.601738473783908,0.167962786442393,3.5825702021816,0.000340230141835229,0.040389434792028
"ENSGMOG00000006618",4731.85758209638,-0.374633675639186,0.0945821187093677,-3.96093554205909,7.46566855879893e-05,0.0218261016101357
"ENSGMOG00000007025",192.027271050867,-1.4007778780641,0.22877694636318,-6.12289787206262,9.18885961648949e-10,6.85029484409292e-06
"ENSGMOG00000007598",18.6673689878677,0.840600321533874,0.239467921574765,3.51028361546717,0.000447628968844698,0.0464532970230898
"ENSGMOG00000007683",23.0517563974374,0.983546477905082,0.231752011813625,4.24396090548742,2.19608627815114e-05,0.01300956098526
"ENSGMOG00000007724",12192.0299917261,-0.327044036230145,0.0734502650849488,-4.45259163941617,8.48400123954545e-06,0.00632482292408113
"ENSGMOG00000007860",385.601431992428,0.739149711577566,0.161521118289987,4.57618000297975,4.73543137707819e-06,0.00497840864396281
"ENSGMOG00000007916",46.720851393726,0.822523118321956,0.234299507671889,3.51056272586714,0.000447159296202122,0.0464532970230898
"ENSGMOG00000008001",136.017828684111,0.70027633042154,0.199527023400317,3.50968163854454,0.000448643512496642,0.0464532970230898
"ENSGMOG00000008341",2848.45131332509,-0.498170344479938,0.128325718805673,-3.8820771792,0.000103567993556525,0.0249064319988353
"ENSGMOG00000008403",373.676558861108,0.828326238293169,0.205026421776504,4.04009508197003,5.34295361536063e-05,0.0177029863122282
"ENSGMOG00000008533",15909.9982839064,-0.34213762604285,0.0874990822833941,-3.91018530839817,9.22253413499609e-05,0.0245549971344271
"ENSGMOG00000008643",3144.27284404062,-0.368367147351626,0.0953380433763159,-3.86380016105026,0.00011163656328349,0.025206111453117
"ENSGMOG00000008695",1353.13128192356,-0.652238204284632,0.166393326892067,-3.91985794422943,8.86011780001707e-05,0.0244637697033805
"ENSGMOG00000008773",37924.354483805,-0.412082404168311,0.10880443340335,-3.78736776874407,0.000152251663918935,0.0276838086467235
"ENSGMOG00000008844",20.6473922013816,1.21182637462993,0.224909231010679,5.38806864077707,7.12188542387198e-08,0.000212374623339863
"ENSGMOG00000008850",83.3032529934798,0.723276057974389,0.193058973070559,3.7463995921601,0.000179390758811578,0.0311013513241934
"ENSGMOG00000008854",1853.24960268851,0.546860398265001,0.129654664313399,4.21782279226871,2.46672552901516e-05,0.0131353134420057
"ENSGMOG00000008980",123.511251899937,1.01258900753473,0.239485586480893,4.22818350955545,2.35585611403099e-05,0.01300956098526
"ENSGMOG00000009149",3243.20017396806,-0.28398525852677,0.0744333123204674,-3.81529787770415,0.000136018753069711,0.0269179463529121
"ENSGMOG00000009348",58.7363466830106,0.83014569866781,0.224432865540554,3.69885977558757,0.000216570202658259,0.0347210937810177
"ENSGMOG00000009498",4481.69902231536,-0.301384914281826,0.0850376043882456,-3.54413693153714,0.000393900609141797,0.0436403548357966
"ENSGMOG00000009528",189.477740472125,0.837071216081703,0.205751056111039,4.06836898873537,4.73433679201483e-05,0.0162196653047652
"ENSGMOG00000009574",60.8353741821298,0.774519216921229,0.210371586947865,3.6816721695082,0.000231709234621358,0.0356108629136934
"ENSGMOG00000009591",7924.16619994732,-0.306454943063885,0.0802549485588012,-3.81851771843517,0.000134255943091995,0.0269179463529121
"ENSGMOG00000009743",5818.54815601233,-0.47394083588391,0.128739689417403,-3.68138868462923,0.000231967061825838,0.0356108629136934
"ENSGMOG00000009799",4857.85491761134,-0.25746334413291,0.0707655487422517,-3.63825828682068,0.000274488075280133,0.0372056109311526
"ENSGMOG00000009897",121.829670571691,0.514257694028939,0.141060394731553,3.64565613904317,0.00026671041592096,0.0368208546424215
