"genes","logFC","logCPM","LR","PValue","FDR"
"ENSGMOG00000009114",-3.93940462814964,3.82373318664025,99.0514416003656,2.46027348870214e-23,2.4099919262212e-19
"ENSGMOG00000000855",-5.52115481953806,2.31037710967076,98.4823489715603,3.27934674951858e-23,2.4099919262212e-19
"ENSGMOG00000000318",-5.88105689660379,9.20326335415679,78.675945533843,7.31812520438819e-19,3.58539347513659e-15
"ENSGMOG00000006842",-5.33306253523722,2.32121814025072,47.7905984631943,4.74260851731452e-12,1.74267149968722e-08
"ENSGMOG00000020520",-2.11243468885276,2.03405384472253,34.5475358833823,4.15967787616951e-09,1.22277890847879e-05
"ENSGMOG00000001139",-1.5029054295742,4.62839809154214,34.1891100142635,5.00080191170722e-09,1.22502977497121e-05
"ENSGMOG00000001034",-2.1167490417991,2.39732783834889,28.7093008464003,8.40988568318143e-08,0.000176583571102001
"ENSGMOG00000002589",-2.0469532874006,1.73228932214223,26.6213142478478,2.47498239035518e-07,0.000454716139668006
"ENSGMOG00000005676",-1.5007358938419,1.13709018261328,20.3857288781532,6.33000962247542e-06,0.0103376090479049
"ENSGMOG00000000345",-1.50165208289396,2.00498683373597,19.942143744776,7.98212677025156e-06,0.0117321299269157
"ENSGMOG00000016347",1.44366662387892,2.41901831665458,19.3466888702039,1.09008098918565e-05,0.0145654639809552
"ENSGMOG00000005079",-0.894372348236283,5.35820890783924,16.7923084913044,4.17019886272408e-05,0.0510779857369321
"ENSGMOG00000001247",-1.27159297044274,3.38576296334952,15.2997398904815,9.17291411182419e-05,0.10371037816584
"ENSGMOG00000015743",-0.81392340711788,2.99606765592306,12.8965273029119,0.000329192356698119,0.324367074805148
"ENSGMOG00000008559",-1.07254154881023,0.830571718418367,12.8860981512646,0.000331031849372515,0.324367074805148
"ENSGMOG00000016966",0.907964672367595,3.33610264004116,11.9949666803041,0.000533444301180978,0.4622741300534
"ENSGMOG00000004122",0.817752010821244,1.01708468781392,11.9378520972741,0.000550048575432664,0.4622741300534
"ENSGMOG00000007538",0.880818750862834,0.998151389015061,11.875690712601,0.000568713746094746,0.4622741300534
"ENSGMOG00000007537",1.14783217139827,2.50910539665661,11.7835054958634,0.000597578478093251,0.4622741300534
"ENSGMOG00000017756",-0.866078345706789,0.858703599246909,11.1805572777832,0.000826589417630472,0.607460563016634
"ENSGMOG00000005559",-1.0725506778285,2.7822197774881,11.0142660824635,0.000904133172373844,0.607847597884029
"ENSGMOG00000001922",0.996226228762186,0.870898271167228,11.0026285229661,0.000909827674067808,0.607847597884029
"ENSGMOG00000005438",-0.970519169979785,0.212078422531779,10.8907448654205,0.000966459551070068,0.617609673114255
"ENSGMOG00000005453",-0.788445659021032,6.7965919686774,10.4454126385827,0.00122954435840397,0.752993457492566
"ENSGMOG00000017725",-1.38110727415612,1.9409508855356,10.0761528781251,0.00150200612348798,0.858946276449361
"ENSGMOG00000006182",0.87289121306038,0.482555668692277,10.0019452614912,0.00156374959865872,0.858946276449361
"ENSGMOG00000012067",-1.6140268271339,-0.645509206083461,9.98539026124335,0.00157787110247195,0.858946276449361
"ENSGMOG00000006376",0.854877169075767,5.90689246971916,9.89916654773066,0.00165353643125394,0.867988516663228
"ENSGMOG00000003813",-0.807468743564615,4.22732777766483,9.82266305262062,0.00172374578267938,0.873641914269707
"ENSGMOG00000013837",-0.652399937799676,8.65382286250312,9.75208201612151,0.00179119733414949,0.877567280577641
"ENSGMOG00000000499",-1.23219444011275,0.618123688803096,9.51983297158572,0.00203263081355966,0.963729280570963
"ENSGMOG00000010954",-0.814595893992843,1.61656212247714,9.41871242601959,0.00214782280669898,0.986521862901924
"ENSGMOG00000014967",-1.41109552797506,-1.11407709973791,9.24818029032224,0.00235729550431723,0.999486734743027
"ENSGMOG00000009130",-0.692331164468123,6.67742418409033,9.01928691300798,0.00267145593019073,0.999486734743027
"ENSGMOG00000017452",-0.670316025093873,3.43146690710577,9.01510903861851,0.00267756915095687,0.999486734743027
