"genes","logFC","logCPM","LR","PValue","FDR"
"ENSGMOG00000009114",-3.93940462814964,3.82373318664025,99.0514416003656,2.46027348870214e-23,2.4099919262212e-19
"ENSGMOG00000000855",-5.52115481953806,2.31037710967076,98.4823489715603,3.27934674951858e-23,2.4099919262212e-19
"ENSGMOG00000000318",-5.88105689660379,9.20326335415679,78.675945533843,7.31812520438819e-19,3.58539347513659e-15
"ENSGMOG00000006842",-5.33306253523722,2.32121814025072,47.7905984631943,4.74260851731452e-12,1.74267149968722e-08
"ENSGMOG00000020520",-2.11243468885276,2.03405384472253,34.5475358833823,4.15967787616951e-09,1.22277890847879e-05
"ENSGMOG00000001139",-1.5029054295742,4.62839809154214,34.1891100142635,5.00080191170722e-09,1.22502977497121e-05
"ENSGMOG00000001034",-2.1167490417991,2.39732783834889,28.7093008464003,8.40988568318143e-08,0.000176583571102001
"ENSGMOG00000002589",-2.0469532874006,1.73228932214223,26.6213142478478,2.47498239035518e-07,0.000454716139668006
"ENSGMOG00000005676",-1.5007358938419,1.13709018261328,20.3857288781532,6.33000962247542e-06,0.0103376090479049
"ENSGMOG00000000345",-1.50165208289396,2.00498683373597,19.942143744776,7.98212677025156e-06,0.0117321299269157
"ENSGMOG00000016347",1.44366662387892,2.41901831665458,19.3466888702039,1.09008098918565e-05,0.0145654639809552
