"genes","logFC","logCPM","LR","PValue","FDR"
"ENSGMOG00000019932",8.10688063377475,0.850488393074761,137.139090587318,1.12427672150776e-31,1.65111279320629e-27
"ENSGMOG00000018930",4.83847287252761,3.11167232579026,128.682734036573,7.95733289155516e-30,5.84306954226896e-26
"ENSGMOG00000016541",4.84409950705847,1.23372517076679,123.933291898869,8.71239258475321e-29,4.26500658332285e-25
"ENSGMOG00000002177",8.56804094254596,0.761743021737823,119.728512775868,7.25388257594913e-28,2.66326298775972e-24
"ENSGMOG00000000318",5.09879747265422,8.55714315244822,115.517514811255,6.06212731281941e-27,1.78056803432132e-23
"ENSGMOG00000000665",6.1259399725835,1.02714940704804,70.7482913159,4.05835827024622e-17,9.93350825947267e-14
"ENSGMOG00000003882",2.0479496796109,7.30964469417257,69.6401776554797,7.11722808025578e-17,1.49319445123766e-13
"ENSGMOG00000002238",4.53391458632437,1.01070106165067,66.4956567547122,3.5066539421177e-16,6.43733997424257e-13
"ENSGMOG00000004390",6.43645675033803,4.67232458713694,55.7024740933507,8.4312105662047e-14,1.3757862041698e-10
"ENSGMOG00000001225",3.57039967027743,0.423187260864132,52.5338727403227,4.22891205058424e-13,6.21058023748802e-10
"ENSGMOG00000009114",3.44609105191055,3.42542467502033,49.5646027914018,1.91945820079593e-12,2.56265119426264e-09
"ENSGMOG00000001997",3.03262511815583,1.34641161073821,47.4778480282137,5.56290311922092e-12,6.80806626740654e-09
"ENSGMOG00000019370",4.9907301472313,-1.34017223205077,43.5260152142487,4.18360507963505e-11,4.72618647688618e-08
"ENSGMOG00000006842",4.62274242958616,1.07509380729158,40.2220216696603,2.26678559865674e-10,2.37785809299092e-07
"ENSGMOG00000010395",-1.96960718789861,2.58904275361355,37.2956702164186,1.01509723829599e-09,9.93847869440995e-07
"ENSGMOG00000018518",2.42139839156936,0.629330554095132,36.4904200603691,1.53418430918182e-09,1.40818942279026e-06
"ENSGMOG00000020520",1.8988664225319,1.67346467526178,35.6711511087739,2.33597793324208e-09,2.01801011338784e-06
"ENSGMOG00000019728",1.48936111710723,5.63535569441391,35.0798894713463,3.164521139689e-09,2.58189763652626e-06
"ENSGMOG00000016966",5.05826504682728,10.0741243513771,34.0522772905817,5.36510806534269e-09,4.1469461604012e-06
"ENSGMOG00000002699",1.92169419416075,-0.127467349058195,33.098307689248,8.76149455529161e-09,6.43356545195063e-06
