"genes","logFC","logCPM","LR","PValue","FDR"
"ENSGMOG00000018930",4.20099589397176,2.45207191947961,220.836855827505,5.9408082686623e-50,8.70566043689774e-46
"ENSGMOG00000002177",7.3223559799137,-0.386703414745598,140.991989492972,1.61545121639709e-32,1.18364110625415e-28
"ENSGMOG00000004390",6.45527882713038,3.09891016046583,130.227350733481,3.65431411843762e-30,1.78501063638617e-26
"ENSGMOG00000016541",4.20968759535126,0.244300086874521,107.462895545376,3.52442393940446e-25,1.29117271020082e-21
"ENSGMOG00000002238",4.34506406056622,0.762565308579891,82.6396101959684,9.84640133938169e-20,2.88578330454599e-16
"ENSGMOG00000019370",4.76953990862813,-1.38359242920836,63.2591788020255,1.81221232018331e-15,4.42602655666104e-12
"ENSGMOG00000001997",3.09584891870954,1.58306182327902,62.5018242985078,2.66197942884649e-15,5.57266379290236e-12
"ENSGMOG00000015291",3.01999861677882,2.57829366701703,58.9487246826389,1.61834704152699e-14,2.96440719331706e-11
"ENSGMOG00000013507",4.92226828114042,3.22717544949876,51.6906151446093,6.49725764076131e-13,1.05789792741907e-09
"ENSGMOG00000003237",1.72544988793187,1.67124008795683,44.0643936510722,3.1774869751216e-11,4.65628941334319e-08
"ENSGMOG00000012449",1.42440485305394,4.7234463966959,41.8495383335603,9.85740441766444e-11,1.22375749338645e-07
"ENSGMOG00000017460",1.90280135824547,0.310412299147109,41.8173124955087,1.00212159960676e-10,1.22375749338645e-07
"ENSGMOG00000012235",1.44465008181817,6.56271002492421,41.3582842493054,1.26733233034289e-10,1.42857599760344e-07
"ENSGMOG00000003882",1.48762458191721,7.13618074019316,39.8953428685279,2.67941297039912e-10,2.64957011907464e-07
"ENSGMOG00000005264",1.66535649785168,1.03685011213043,39.8716375147162,2.71212991579907e-10,2.64957011907464e-07
"ENSGMOG00000018518",2.10115410303389,0.482959527254041,39.5495292631302,3.1984351633092e-10,2.92936680519581e-07
"ENSGMOG00000012239",5.27914975349154,6.32917237680431,37.5583101200555,8.87206226207667e-10,7.64771766991009e-07
"ENSGMOG00000016966",5.58035978592926,8.99645264683182,35.6618770622822,2.34712509455162e-09,1.91082061864219e-06
"ENSGMOG00000009781",0.874807955346853,2.63055924624232,32.8781130837057,9.81217758180232e-09,7.5677710675648e-06
"ENSGMOG00000019835",1.19521108584836,2.81919334921676,28.2203247901401,1.08261752154893e-07,7.93233858038904e-05
"ENSGMOG00000003971",0.873730514648337,7.03638508845457,25.4917430580872,4.4428022000142e-07,0.000310022968757182
"ENSGMOG00000009446",4.04663661462119,0.920200410914542,24.9396161276118,5.9154278919886e-07,0.000394021274223641
"ENSGMOG00000018986",0.968215076345314,2.80841989910407,24.3505911289683,8.03020986765132e-07,0.000505344518865534
"ENSGMOG00000001475",2.39556752234975,0.0703171929715507,24.2924176400524,8.27642176386845e-07,0.000505344518865534
"ENSGMOG00000016347",5.05460046921608,6.46927274552604,22.6155563348249,1.97875914115506e-06,0.00110916720311448
"ENSGMOG00000001758",0.798929809619022,4.36936491380873,22.5727974823853,2.02329232228076e-06,0.00110916720311448
"ENSGMOG00000016366",3.39253059097372,7.36947727315829,22.499069898178,2.10245370776174e-06,0.00110916720311448
"ENSGMOG00000014936",1.35455729267893,1.33748842948339,22.4837112760464,2.11933135575307e-06,0.00110916720311448
"ENSGMOG00000000665",6.5473200078028,-0.399618366764883,22.2637147670673,2.37655244871242e-06,0.00120089653735972
"ENSGMOG00000002220",5.6138525633769,-0.99048081394011,21.961759521777,2.78137411917286e-06,0.0013586085447453
"ENSGMOG00000012244",3.72488655903785,8.24142845601005,21.869090136069,2.91898095350388e-06,0.00137983054492406
"ENSGMOG00000001225",3.35377677951827,0.202636170206309,21.5955438454041,3.36633045740574e-06,0.00154156895383824
"ENSGMOG00000002650",0.917192992410025,2.64519517717037,20.9672267350847,4.67207677289305e-06,0.00207468524333257
"ENSGMOG00000009714",0.716705374690106,5.59470923126082,20.3690925311596,6.38528050617079e-06,0.00275205589815961
"ENSGMOG00000006123",1.3646395841194,3.97471731382631,20.3088165844,6.58962366321853e-06,0.0027589812903087
"ENSGMOG00000014898",3.65710134504031,3.55687846856962,20.1146111318412,7.29373406164044e-06,0.00294741428614434
"ENSGMOG00000018564",1.31794855072471,1.46128218987799,20.0761360931637,7.44194954192307e-06,0.00294741428614434
"ENSGMOG00000014183",2.75343714609909,-0.727165467300656,18.8473251619336,1.41609542247272e-05,0.00546091113708295
"ENSGMOG00000008414",0.594809964006762,5.75334291041153,18.7609946439349,1.48166669188748e-05,0.00556726761613313
"ENSGMOG00000004684",0.93593634516734,4.2479679952228,18.6977485679325,1.53163226371523e-05,0.00561113479812075
"ENSGMOG00000011560",1.01590627509951,1.89200695260804,18.5984092168976,1.61355138216485e-05,0.00576706876932772
"ENSGMOG00000014528",1.33737680265411,0.556512826801468,18.4248960910377,1.76733766555547e-05,0.00616632527405948
"ENSGMOG00000016012",4.91440692390428,4.7422529837898,17.9589474099481,2.25720871256633e-05,0.00765143483694652
"ENSGMOG00000005292",1.42872314949743,1.76355294916705,17.9253428540984,2.2974145818592e-05,0.00765143483694652
"ENSGMOG00000009717",1.06532053020472,4.36966686695197,17.8818783187505,2.35048649392667e-05,0.00765422868488921
"ENSGMOG00000010875",0.779107484304134,6.56178913988783,17.6440756987112,2.66343609568295e-05,0.00848478098829085
"ENSGMOG00000020373",2.32775262036504,-1.52186750297471,17.3478730642666,3.11246410643056e-05,0.00970426574800711
"ENSGMOG00000010752",0.710592776342948,6.23878487487268,17.0244390992925,3.69017816548688e-05,0.0112658064243843
"ENSGMOG00000009114",0.935213093240532,1.19171392628403,16.9434836578256,3.85092769429138e-05,0.0115166315167645
"ENSGMOG00000003762",1.21831773257697,0.958602508521795,16.3840995894921,5.17172604113779e-05,0.0149647668042755
"ENSGMOG00000019932",5.7567716633711,-0.569250002462648,16.3707955839497,5.20815550032791e-05,0.0149647668042755
"ENSGMOG00000013035",0.666291413788295,4.91356964832761,16.0603239735884,6.13561860912592e-05,0.0172906452111791
"ENSGMOG00000009972",2.97877681054834,-0.649990782169979,15.5329818200677,8.10782329243711e-05,0.0224173665145987
"ENSGMOG00000012229",0.982272852098411,2.66563342671497,15.2032464280202,9.65373165172905e-05,0.0261973673378588
"ENSGMOG00000007348",-0.71417942110279,3.00537251534901,14.8748048050318,0.000114887260134512,0.0306101438183843
"ENSGMOG00000005935",-1.64158349605528,-0.183337131870221,14.7747256433831,0.000121148422800693,0.0317019462093099
"ENSGMOG00000013823",0.570932769930244,3.91596301856806,14.6222623074541,0.000131353647525504,0.0337694096638375
"ENSGMOG00000019586",-2.40934834830265,-1.59282602477611,14.4340308728957,0.000145155417307795,0.036674266986697
"ENSGMOG00000010366",0.912960752237375,1.48052738891272,13.859907565868,0.00019695559481497,0.0489184285833656
