ID	sample_3	sample_8	sample_14	sample_20	sample_27	sample_33	sample_39
ENSGMOG00000002534	350	489	613	230	738	386	327
ENSGMOG00000002780	633	720	644	975	951	734	786
ENSGMOG00000002799	0	0	0	0	0	0	0
ENSGMOG00000002820	50	104	124	55	212	268	0
ENSGMOG00000002838	866	739	541	765	613	342	1641
ENSGMOG00000002848	428	341	200	314	362	146	777
ENSGMOG00000002858	129	217	195	158	435	217	145
ENSGMOG00000002885	1136	1138	760	1865	1661	1138	92
ENSGMOG00000002906	17	44	19	6	28	30	24
ENSGMOG00000003254	144	180	230	162	335	96	78
ENSGMOG00000020737	0	7	1	0	0	0	1
ENSGMOG00000003271	49	88	97	51	100	28	585
ENSGMOG00000003294	22655	20767	17360	21325	26049	11572	67329
ENSGMOG00000003308	1575	1386	1507	1756	1732	710	2370
ENSGMOG00000003346	2	11	3	3	24	2	4
ENSGMOG00000003356	1588	1789	2128	2347	2747	1858	890
ENSGMOG00000003382	25423	37239	23809	23487	32036	19392	2808
ENSGMOG00000020188	59	124	85	90	144	66	50
ENSGMOG00000003406	1183	1320	1083	1138	1369	748	1271
ENSGMOG00000003429	901	708	845	386	526	361	281
ENSGMOG00000003455	7	39	3	3	18	3	0
ENSGMOG00000020189	0	0	2	0	4	0	0
ENSGMOG00000003497	18	51	14	28	42	16	15
ENSGMOG00000003507	41	71	39	38	101	54	44
ENSGMOG00000003523	26	35	31	11	61	46	13
ENSGMOG00000003530	251	751	1150	3597	1394	729	1330
ENSGMOG00000003670	217	190	386	457	189	278	257
ENSGMOG00000003683	3426	3245	2539	2575	3783	3346	2441
ENSGMOG00000003714	124	106	101	102	123	66	105
ENSGMOG00000003732	1	0	4	2	5	4	0
ENSGMOG00000003756	2237	3627	1890	1188	4630	2182	222
ENSGMOG00000003844	93	64	21	66	38	18	64
ENSGMOG00000003917	454	542	228	368	397	182	362
ENSGMOG00000003948	3413	3563	1854	1992	3378	1603	2320
ENSGMOG00000004001	110	81	50	65	81	3	243
ENSGMOG00000004050	681	699	544	879	899	525	1379
ENSGMOG00000004066	178	266	109	173	325	103	249
ENSGMOG00000004095	696	584	501	410	605	354	177
ENSGMOG00000004118	3	1	4	10	2	1	0
ENSGMOG00000004160	68	64	210	31	136	126	8
ENSGMOG00000004229	1457	1142	498	714	483	1082	152
ENSGMOG00000020190	0	1	7	0	2	1	0
ENSGMOG00000004238	200	194	331	72	237	106	37
ENSGMOG00000004290	51	47	79	37	107	22	16
ENSGMOG00000004299	2	4	2	6	2	5	0
ENSGMOG00000004361	6510	6252	4821	9610	5248	4655	7126
ENSGMOG00000004405	2	0	0	0	1	0	0
ENSGMOG00000004419	0	0	1	2	0	2	0
ENSGMOG00000004438	14	18	6	2	20	37	3
ENSGMOG00000004449	0	0	0	0	0	0	0
ENSGMOG00000004455	4145	4705	2649	2121	7193	4591	938
ENSGMOG00000004496	1730	1949	1629	1400	2696	1791	1598
ENSGMOG00000004513	502	440	408	201	748	396	370
ENSGMOG00000004557	57	38	15	25	92	28	95
ENSGMOG00000004579	1	0	2	0	0	3	9
ENSGMOG00000004806	0	2	0	0	0	0	0
ENSGMOG00000004827	269	246	197	308	954	154	196
ENSGMOG00000004853	143	222	217	80	292	180	19
