ID	sample_2	sample_7	sample_13	sample_19	sample_26	sample_32	sample_45
ENSGMOG00000002534	270	717	766	342	448	183	913
ENSGMOG00000002780	533	830	754	787	587	474	708
ENSGMOG00000002799	0	0	0	0	0	0	0
ENSGMOG00000002820	62	199	171	170	153	69	62
ENSGMOG00000002838	905	827	568	655	486	199	1092
ENSGMOG00000002848	338	287	221	221	209	242	357
ENSGMOG00000002858	202	205	268	163	231	94	285
ENSGMOG00000002885	1539	1886	850	2487	1013	125	592
ENSGMOG00000002906	18	42	23	14	33	23	24
ENSGMOG00000003254	220	273	292	190	181	28	415
ENSGMOG00000020737	3	2	2	3	2	2	0
ENSGMOG00000003271	55	127	147	56	98	31	213
ENSGMOG00000003294	20222	23327	21385	18763	14127	8706	33179
ENSGMOG00000003308	1704	1690	1434	1671	1162	437	2538
ENSGMOG00000003346	4	4	5	6	17	14	3
ENSGMOG00000003356	1274	1900	1952	2127	1588	1960	2153
ENSGMOG00000003382	20061	33762	37373	25288	19756	9909	17184
ENSGMOG00000020188	72	154	150	88	106	33	127
ENSGMOG00000003406	915	1456	1213	988	978	769	1813
ENSGMOG00000003429	856	859	662	477	248	378	964
ENSGMOG00000003455	12	21	22	5	7	0	61
ENSGMOG00000020189	0	0	0	0	1	0	2
ENSGMOG00000003497	35	58	25	27	31	26	28
ENSGMOG00000003507	56	106	68	17	73	47	42
ENSGMOG00000003523	33	61	24	23	31	0	28
ENSGMOG00000003530	190	666	1342	2422	1211	1012	470
ENSGMOG00000003670	230	238	421	484	127	167	312
ENSGMOG00000003683	3303	3862	3093	3216	2413	1330	3159
ENSGMOG00000003714	96	127	109	113	90	29	158
ENSGMOG00000003732	0	2	2	0	2	0	0
ENSGMOG00000003756	2349	3391	3642	2546	2602	263	2992
ENSGMOG00000003844	68	93	26	52	37	11	106
ENSGMOG00000003917	323	532	316	407	334	326	694
ENSGMOG00000003948	3278	4348	2439	2811	2415	848	3660
ENSGMOG00000004001	57	59	57	100	55	3	511
ENSGMOG00000004050	688	846	656	608	587	383	985
ENSGMOG00000004066	144	280	179	221	188	102	113
ENSGMOG00000004095	733	814	433	500	419	92	745
ENSGMOG00000004118	6	3	6	2	7	4	0
ENSGMOG00000004160	62	143	255	27	94	93	20
ENSGMOG00000004229	1028	1499	580	856	254	905	171
ENSGMOG00000020190	1	0	5	1	3	1	3
ENSGMOG00000004238	290	346	421	217	214	56	582
ENSGMOG00000004290	83	93	90	44	55	7	99
ENSGMOG00000004299	0	7	3	22	19	2	4
ENSGMOG00000004361	5929	5919	5253	8253	3008	5172	8191
ENSGMOG00000004405	0	2	1	0	0	0	0
ENSGMOG00000004419	0	0	6	0	0	0	0
ENSGMOG00000004438	9	46	5	6	14	9	1
ENSGMOG00000004449	0	0	0	0	0	0	0
ENSGMOG00000004455	3449	5315	3531	3060	4748	2779	3993
ENSGMOG00000004496	1405	2217	1753	1294	1603	1272	2109
ENSGMOG00000004513	571	600	499	253	467	110	952
ENSGMOG00000004557	56	44	23	85	49	53	48
