ID	sample_1	sample_6	sample_12	sample_18	sample_25	sample_31	sample_38	sample_44
ENSGMOG00000002534	294	473	647	212	439	344	767	899
ENSGMOG00000002780	602	618	574	604	605	670	732	671
ENSGMOG00000002799	0	0	0	0	0	0	0	0
ENSGMOG00000002820	60	34	144	94	164	234	62	62
ENSGMOG00000002838	982	548	790	508	594	416	1101	1214
ENSGMOG00000002848	402	418	276	188	198	254	307	306
ENSGMOG00000002858	147	81	229	111	234	246	208	354
ENSGMOG00000002885	1241	216	686	1509	1328	1514	611	677
ENSGMOG00000002906	17	9	24	8	33	51	28	24
ENSGMOG00000003254	152	85	219	127	203	152	363	415
ENSGMOG00000020737	0	0	0	2	0	1	0	1
ENSGMOG00000003271	68	67	94	47	82	66	808	306
ENSGMOG00000003294	16641	15897	18864	13070	14915	13977	34550	31071
ENSGMOG00000003308	1112	753	1748	1266	1178	816	2264	2401
ENSGMOG00000003346	5	11	2	5	14	9	3	2
ENSGMOG00000003356	1344	1720	1975	1970	1795	2018	1666	1976
ENSGMOG00000003382	20653	19678	14752	17201	20477	21057	14299	11933
ENSGMOG00000020188	59	57	89	71	148	104	106	69
ENSGMOG00000003406	887	1340	1098	921	1004	752	1647	1540
ENSGMOG00000003429	634	447	1349	190	348	648	457	838
ENSGMOG00000003455	12	1	2	5	8	8	54	47
ENSGMOG00000020189	5	0	1	0	1	0	1	0
ENSGMOG00000003497	31	31	39	20	34	33	19	24
ENSGMOG00000003507	51	42	66	24	56	53	43	49
ENSGMOG00000003523	14	13	24	24	38	22	23	24
ENSGMOG00000003530	231	1091	1122	2662	702	912	457	455
ENSGMOG00000003670	281	233	357	416	150	263	229	306
ENSGMOG00000003683	3023	1459	2397	1923	2455	3510	3267	3528
ENSGMOG00000003714	78	95	114	72	102	88	175	145
ENSGMOG00000003732	0	0	1	1	2	0	0	0
ENSGMOG00000003756	1773	294	1722	1597	3117	1750	4405	2505
ENSGMOG00000003844	80	140	25	27	26	18	41	57
ENSGMOG00000003917	385	822	248	309	316	208	743	611
ENSGMOG00000003948	3141	2283	2095	1859	2585	1954	4217	3469
ENSGMOG00000004001	36	30	56	72	81	8	462	465
ENSGMOG00000004050	575	541	660	630	568	535	933	860
ENSGMOG00000004066	148	104	100	108	189	189	223	113
ENSGMOG00000004095	496	231	553	298	438	386	708	683
ENSGMOG00000004118	4	0	4	2	0	0	1	0
ENSGMOG00000004160	80	36	155	16	90	114	25	21
ENSGMOG00000004229	909	1228	439	595	309	876	139	123
ENSGMOG00000020190	1	2	2	0	1	0	2	1
ENSGMOG00000004238	158	65	606	95	305	136	291	370
ENSGMOG00000004290	32	42	146	31	58	35	87	56
ENSGMOG00000004299	3	0	8	2	4	4	1	1
ENSGMOG00000004361	5721	8595	5295	6892	2973	5435	5455	7975
ENSGMOG00000004405	0	0	0	0	2	0	2	2
ENSGMOG00000004419	0	0	3	0	0	0	0	0
ENSGMOG00000004438	12	12	3	2	25	24	1	0
ENSGMOG00000004449	0	0	0	0	0	0	0	0
ENSGMOG00000004455	3390	2773	2801	2182	5127	4923	3687	3347
ENSGMOG00000004496	1302	1873	1642	942	1763	1989	1835	1957
ENSGMOG00000004513	454	143	573	154	574	388	856	871
ENSGMOG00000004557	30	97	37	31	47	32	67	44
ENSGMOG00000004579	0	0	4	0	0	2	5	12
ENSGMOG00000004806	0	1	0	0	1	1	0	0
ENSGMOG00000004827	211	372	212	273	957	257	571	407
ENSGMOG00000004853	117	17	258	111	232	188	370	462
ENSGMOG00000004892	195	376	501	246	713	271	680	400
ENSGMOG00000004907	90	68	190	91	114	105	292	303
ENSGMOG00000004949	857	2035	1339	1084	1076	1286	2322	2559
ENSGMOG00000004974	1	0	115	29	11	6	1	1
ENSGMOG00000004989	1	1	0	0	0	0	0	0
ENSGMOG00000005030	77	49	59	6	35	24	202	95
ENSGMOG00000005082	20	3	6	4	18	2	10	24
ENSGMOG00000005087	3	6	0	3	4	8	2	0
ENSGMOG00000005111	438	673	486	737	935	1054	688	642
ENSGMOG00000005121	2893	4524	3001	4890	4908	2470	4806	3908
ENSGMOG00000005145	1003	1842	1589	1077	1173	1481	2773	2587
ENSGMOG00000005183	185	120	167	75	240	380	325	219
ENSGMOG00000005212	1335	1673	1959	4049	1708	1384	2158	2006
ENSGMOG00000005225	4010	5699	3454	4106	3129	4131	2937	2343
ENSGMOG00000005238	52	78	178	41	64	43	25	80
ENSGMOG00000005253	104	163	97	64	154	102	176	123
ENSGMOG00000005283	201	203	262	151	364	297	341	264
ENSGMOG00000005306	636	692	755	387	680	500	1533	961
ENSGMOG00000005338	24	70	104	59	35	29	37	3
ENSGMOG00000005366	507	136	737	336	684	545	1274	1137
ENSGMOG00000005419	0	0	3	0	1	4	0	0
ENSGMOG00000005434	281	367	287	364	610	379	225	111
ENSGMOG00000020191	914	1569	1141	922	894	788	2135	2485
ENSGMOG00000005450	1109	1860	1741	1315	1225	1092	1773	1770
ENSGMOG00000005532	5	0	1	0	0	1	3	0
ENSGMOG00000005560	0	0	0	0	2	0	1	0
ENSGMOG00000005579	8	1	0	1	0	2	0	0
ENSGMOG00000005594	2448	5679	1579	1846	1811	2159	2094	2430
ENSGMOG00000005602	7710	10172	10700	7463	10488	10968	12138	11289
ENSGMOG00000005643	703	844	873	685	822	672	1020	1051
ENSGMOG00000005658	3	0	1	3	0	0	0	6
ENSGMOG00000005668	326	57	368	196	281	158	656	731
ENSGMOG00000005691	0	0	4	0	0	0	0	9
ENSGMOG00000005701	554	1289	1092	978	962	1452	968	2105
ENSGMOG00000005722	508	487	692	716	538	755	2232	2614
ENSGMOG00000005751	3048	996	3005	1703	2689	2905	5490	4908
ENSGMOG00000005823	0	1	0	2	0	3	4	7
ENSGMOG00000005836	69	28	151	94	107	69	269	271
ENSGMOG00000005875	1532	1747	1726	1422	1460	1818	1827	1651
ENSGMOG00000005895	1904	822	1366	642	1185	1441	1492	1839
ENSGMOG00000020192	13	8	2	5	6	9	13	23
ENSGMOG00000005939	425	173	557	360	540	496	793	867
ENSGMOG00000005960	138	307	191	172	172	164	249	171
ENSGMOG00000006000	0	0	7	0	0	8	0	0
ENSGMOG00000006012	66	34	65	65	10	141	58	33
ENSGMOG00000006030	1482	524	996	1162	671	3349	573	806
ENSGMOG00000006039	76	12	8	4	0	16	0	28
ENSGMOG00000006052	0	0	0	0	0	0	0	0
ENSGMOG00000006056	528	813	464	904	79	987	51	716
ENSGMOG00000006065	6	4	27	3	8	10	1	2
ENSGMOG00000006089	2235	1997	2357	1797	1345	1407	2944	3206
ENSGMOG00000020193	19	40	19	39	61	33	48	75
ENSGMOG00000006110	73	86	208	122	196	219	211	193
ENSGMOG00000006134	173	68	316	143	188	165	546	596
ENSGMOG00000006151	29	20	21	15	63	34	27	42
ENSGMOG00000006166	393	409	481	445	404	550	526	557
ENSGMOG00000006173	5046	3036	5037	3643	4291	5100	4278	3742
ENSGMOG00000021891	0	0	0	0	0	0	0	0
ENSGMOG00000006212	764	906	1116	641	756	768	1283	1487
ENSGMOG00000006286	187	437	503	300	332	385	696	788
ENSGMOG00000006320	49	76	67	68	58	62	89	80
ENSGMOG00000006349	136	70	80	68	137	188	105	180
ENSGMOG00000006358	2491	3486	1151	2119	2631	3694	2766	7291
ENSGMOG00000006377	537	609	375	372	535	334	1225	945
ENSGMOG00000006389	122	114	238	144	167	145	454	585
ENSGMOG00000020194	14	9	46	45	53	71	55	77
ENSGMOG00000006398	0	0	36	2	9	5	2	3
ENSGMOG00000006445	0	0	0	0	0	0	0	0
ENSGMOG00000006455	0	0	0	0	0	0	0	0
ENSGMOG00000021301	0	0	0	1	0	0	0	0
ENSGMOG00000006477	0	0	0	0	0	0	0	0
ENSGMOG00000006482	17	23	17	47	62	96	299	116
ENSGMOG00000006498	7	8	13	12	31	22	12	5
ENSGMOG00000006508	0	6	3	4	10	4	3	1
ENSGMOG00000020195	0	7	0	0	4	0	3	0
ENSGMOG00000020196	0	0	1	0	3	1	2	0
ENSGMOG00000006517	213	440	435	253	323	227	620	469
ENSGMOG00000006528	0	2	23	18	10	8	3	18
ENSGMOG00000006535	141	218	235	144	368	291	120	153
ENSGMOG00000006558	8568	9345	8794	8349	12431	9255	11390	8271
ENSGMOG00000006566	583	602	828	987	744	537	913	751
ENSGMOG00000006586	256	137	257	238	240	289	368	240
ENSGMOG00000006623	11	39	140	283	99	143	72	59
ENSGMOG00000006630	4	5	12	13	8	8	9	2
ENSGMOG00000006638	1557	1688	1843	1829	1099	1157	2332	2227
ENSGMOG00000006646	5	2	6	9	1	7	2	5
ENSGMOG00000006654	183	213	318	137	236	240	659	602
ENSGMOG00000006670	883	1253	1270	905	902	755	2318	2117
ENSGMOG00000006684	0	0	1	0	0	0	0	0
ENSGMOG00000006688	0	1	2	0	0	0	5	1
ENSGMOG00000006710	0	0	0	0	0	0	0	0
ENSGMOG00000006720	892	984	2681	870	1862	979	9110	2545
ENSGMOG00000006742	1253	1392	1342	936	1082	1126	3239	2850
ENSGMOG00000006755	664	1486	664	734	767	985	769	750
ENSGMOG00000006761	3470	728	3231	2185	3491	4229	4618	4236
ENSGMOG00000006782	1644	1543	2059	1811	2181	2428	1659	1072
ENSGMOG00000006799	519	430	792	611	628	590	1267	1208
ENSGMOG00000006817	919	1202	1099	1099	1345	2128	671	792
ENSGMOG00000006827	929	785	1005	925	731	846	1325	1238
ENSGMOG00000006840	612	726	613	2464	1423	1336	4101	2828
ENSGMOG00000006863	0	0	0	0	0	0	0	0
ENSGMOG00000006871	3	6	35	1	5	8	58	10
ENSGMOG00000006883	64	78	842	740	103	187	640	917
ENSGMOG00000006912	2929	1547	2961	2932	2779	1691	4924	5935
ENSGMOG00000006931	1030	1536	1981	1178	1314	1219	3642	3202
ENSGMOG00000006946	11	7	63	18	32	34	71	68
ENSGMOG00000006954	19	10	75	36	36	68	54	51
ENSGMOG00000006958	167	74	307	226	244	137	260	305
ENSGMOG00000006967	0	0	0	1	0	0	0	0
ENSGMOG00000006974	11707	6051	8287	4806	8808	9435	20256	14324
ENSGMOG00000006987	10	2	5	32	62	17	5	2
ENSGMOG00000006992	1	0	0	0	2	5	2	1
ENSGMOG00000007000	7110	5359	256	689	1846	367	9451	1592
ENSGMOG00000007035	60	9	84	102	96	87	132	97
ENSGMOG00000007044	1479	1461	1355	1514	1842	1883	2374	2249
ENSGMOG00000007050	453	1051	555	509	588	627	484	371
