ID	sample_5	sample_16	sample_22	sample_28	sample_35	sample_48
ENSGMOG00000002534	332	722	353	493	428	946
ENSGMOG00000002780	589	682	837	640	953	649
ENSGMOG00000002799	0	0	0	0	0	0
ENSGMOG00000002820	46	211	116	140	273	100
ENSGMOG00000002838	957	520	533	516	522	1160
ENSGMOG00000002848	349	215	246	318	222	325
ENSGMOG00000002858	205	182	151	211	224	264
ENSGMOG00000002885	1340	822	1903	1122	1357	678
ENSGMOG00000002906	3	12	13	40	34	25
ENSGMOG00000003254	231	260	125	186	148	450
ENSGMOG00000020737	1	4	1	0	1	1
ENSGMOG00000003271	55	112	57	171	50	195
ENSGMOG00000003294	20284	19349	15113	18238	15220	30153
ENSGMOG00000003308	1939	1576	1489	1331	1001	2541
ENSGMOG00000003346	7	2	2	8	15	1
ENSGMOG00000003356	1356	2156	2085	1869	1987	1998
ENSGMOG00000003382	15419	18002	20797	20608	32930	15225
ENSGMOG00000020188	69	83	69	115	95	106
ENSGMOG00000003406	1031	1050	1069	1022	1010	1614
ENSGMOG00000003429	839	1009	650	477	573	775
ENSGMOG00000003455	8	10	3	8	2	56
ENSGMOG00000020189	1	2	3	0	4	0
ENSGMOG00000003497	37	33	26	28	19	21
ENSGMOG00000003507	38	48	26	82	57	58
ENSGMOG00000003523	34	32	19	51	31	38
ENSGMOG00000003530	511	2072	3207	1446	1035	1227
ENSGMOG00000003670	257	421	392	161	314	342
ENSGMOG00000003683	3023	2991	3104	2643	4969	2916
ENSGMOG00000003714	97	113	93	90	84	177
ENSGMOG00000003732	0	4	4	0	2	0
ENSGMOG00000003756	2575	2317	1818	2971	2998	3115
ENSGMOG00000003844	53	40	38	19	22	69
ENSGMOG00000003917	335	270	306	329	226	526
ENSGMOG00000003948	2728	2103	2483	2642	2283	2988
ENSGMOG00000004001	85	32	69	59	5	291
ENSGMOG00000004050	717	666	648	583	602	789
ENSGMOG00000004066	152	88	102	219	106	124
ENSGMOG00000004095	759	548	406	460	425	745
ENSGMOG00000004118	6	1	1	0	1	0
ENSGMOG00000004160	76	158	59	91	151	13
ENSGMOG00000004229	760	564	861	263	1529	142
ENSGMOG00000020190	0	9	0	0	2	2
ENSGMOG00000004238	427	685	190	303	189	615
ENSGMOG00000004290	100	175	33	67	33	110
ENSGMOG00000004299	11	9	5	5	2	1
ENSGMOG00000004361	5782	5368	8518	3882	5342	7899
ENSGMOG00000004405	0	0	0	1	0	3
ENSGMOG00000004419	1	0	0	2	0	0
ENSGMOG00000004438	5	8	8	13	27	0
ENSGMOG00000004449	0	0	0	0	0	0
ENSGMOG00000004455	3380	3152	2740	4735	5515	3901
ENSGMOG00000004496	1554	1791	1478	1783	2093	2018
ENSGMOG00000004513	671	512	236	556	556	1104
ENSGMOG00000004557	30	23	49	56	58	30
ENSGMOG00000004579	7	2	3	0	4	9
ENSGMOG00000004806	1	0	1	1	0	1
ENSGMOG00000004827	284	318	330	829	281	750
ENSGMOG00000004853	249	265	196	280	263	596
ENSGMOG00000004892	176	493	359	695	379	422
ENSGMOG00000004907	165	277	140	108	144	333
ENSGMOG00000004949	1277	1303	1321	1182	1198	2665
ENSGMOG00000004974	11	80	26	9	6	1
ENSGMOG00000004989	0	0	0	0	0	1
ENSGMOG00000005030	53	67	26	40	33	91
