ID	sample_4	sample_9	sample_15	sample_21	sample_34	sample_40	sample_47
ENSGMOG00000002534	307	517	486	272	290	690	748
ENSGMOG00000002780	558	587	556	696	744	617	567
ENSGMOG00000002799	0	0	0	0	0	0	0
ENSGMOG00000002820	68	91	103	74	110	26	44
ENSGMOG00000002838	1027	637	441	743	335	1191	893
ENSGMOG00000002848	331	331	229	262	226	365	324
ENSGMOG00000002858	254	151	145	103	118	194	222
ENSGMOG00000002885	1325	1322	434	1397	597	441	561
ENSGMOG00000002906	7	9	12	7	37	9	19
ENSGMOG00000003254	228	195	116	173	95	246	319
ENSGMOG00000020737	0	0	0	0	3	0	0
ENSGMOG00000003271	44	34	99	70	25	684	204
ENSGMOG00000003294	20945	13098	14232	20819	12605	43322	28166
ENSGMOG00000003308	1776	1026	1044	1859	616	2460	2040
ENSGMOG00000003346	2	7	5	5	4	2	5
ENSGMOG00000003356	1296	1249	1681	1995	1762	1457	1898
ENSGMOG00000003382	13134	23066	16668	17800	16435	10444	18559
ENSGMOG00000020188	49	73	52	91	83	72	108
ENSGMOG00000003406	894	835	938	987	757	1501	1482
ENSGMOG00000003429	1212	568	612	572	335	316	987
ENSGMOG00000003455	6	2	7	6	1	28	51
ENSGMOG00000020189	0	0	5	0	4	1	4
ENSGMOG00000003497	40	29	31	19	30	21	17
ENSGMOG00000003507	43	54	50	30	53	51	29
ENSGMOG00000003523	34	24	42	23	19	45	16
ENSGMOG00000003530	381	1175	1898	4698	1168	783	530
ENSGMOG00000003670	261	229	297	423	272	239	207
ENSGMOG00000003683	2677	3263	1875	2849	3047	3029	2353
ENSGMOG00000003714	112	67	86	79	52	153	180
ENSGMOG00000003732	1	1	1	0	0	0	0
ENSGMOG00000003756	2077	1882	1138	850	997	1728	2437
ENSGMOG00000003844	52	82	47	54	17	44	62
ENSGMOG00000003917	325	381	184	230	240	583	521
ENSGMOG00000003948	2789	2963	1300	1948	1380	3427	2487
ENSGMOG00000004001	59	24	33	97	1	337	258
ENSGMOG00000004050	740	607	508	841	529	1104	765
ENSGMOG00000004066	124	92	76	108	107	201	144
ENSGMOG00000004095	784	514	289	435	281	461	579
ENSGMOG00000004118	6	0	2	0	0	4	0
ENSGMOG00000004160	68	78	134	37	110	15	20
ENSGMOG00000004229	951	1010	362	680	1050	130	125
ENSGMOG00000020190	0	0	1	3	6	0	0
ENSGMOG00000004238	463	186	268	103	93	161	399
ENSGMOG00000004290	112	53	97	17	18	61	95
ENSGMOG00000004299	1	5	6	9	8	0	1
ENSGMOG00000004361	5486	5708	4794	9590	4627	4932	6507
ENSGMOG00000004405	0	0	0	0	0	0	1
ENSGMOG00000004419	0	0	0	1	0	0	0
ENSGMOG00000004438	1	7	4	6	21	1	1
ENSGMOG00000004449	0	0	0	0	0	0	0
ENSGMOG00000004455	2981	3257	2308	1809	3774	2754	3361
ENSGMOG00000004496	1390	1404	1358	1105	1579	1635	2183
ENSGMOG00000004513	678	361	253	216	255	715	785
ENSGMOG00000004557	38	44	9	45	46	49	75
ENSGMOG00000004579	7	1	0	1	1	3	16
ENSGMOG00000004806	0	0	0	0	0	1	0
ENSGMOG00000004827	347	368	292	269	262	400	582
ENSGMOG00000004853	280	183	136	89	145	170	347
ENSGMOG00000004892	195	215	429	396	213	706	452
ENSGMOG00000004907	117	126	143	120	98	184	320
ENSGMOG00000004949	1074	938	1253	1295	1116	2350	2402
ENSGMOG00000004974	4	1	52	22	7	1	0
ENSGMOG00000004989	0	0	0	0	0	0	0
ENSGMOG00000005030	59	30	29	24	38	148	94
ENSGMOG00000005082	26	7	5	7	4	22	20
ENSGMOG00000005087	4	2	16	2	2	1	1
ENSGMOG00000005111	451	599	427	681	720	577	472
ENSGMOG00000005121	3514	3805	1907	5989	2032	4420	4645
ENSGMOG00000005145	1276	1102	1278	1431	1284	2575	2802
ENSGMOG00000005183	170	203	299	42	266	115	219
ENSGMOG00000005212	3011	1575	1563	5071	1242	2053	2295
ENSGMOG00000005225	3112	4248	3490	5346	3991	3239	2115
ENSGMOG00000005238	89	54	93	64	59	61	58
ENSGMOG00000005253	293	75	91	60	59	119	150
ENSGMOG00000005283	208	242	211	120	208	260	284
ENSGMOG00000005306	1119	553	511	537	477	1457	1220
ENSGMOG00000005338	51	62	81	61	16	32	12
ENSGMOG00000005366	952	576	407	288	377	650	1077
ENSGMOG00000005419	2	0	0	0	4	0	3
ENSGMOG00000005434	2531	210	322	355	285	179	151
ENSGMOG00000020191	1297	1097	958	1315	679	2886	2244
