ID	sample_11	sample_17	sample_24	sample_30	sample_37	sample_50
ENSGMOG00000002534	874	531	284	434	412	76
ENSGMOG00000002780	763	428	782	568	907	223
ENSGMOG00000002799	0	0	0	0	0	0
ENSGMOG00000002820	195	111	90	107	234	0
ENSGMOG00000002838	628	495	651	346	390	274
ENSGMOG00000002848	281	139	230	189	205	323
ENSGMOG00000002858	163	175	128	165	246	30
ENSGMOG00000002885	1787	583	1251	660	1217	12
ENSGMOG00000002906	34	12	7	10	32	2
ENSGMOG00000003254	231	172	133	221	128	100
ENSGMOG00000020737	1	0	0	0	1	0
ENSGMOG00000003271	149	110	65	84	48	215
ENSGMOG00000003294	22173	14042	17540	13576	13194	16442
ENSGMOG00000003308	1820	1222	1547	1018	822	522
ENSGMOG00000003346	8	6	6	13	7	2
ENSGMOG00000003356	1945	1494	1688	1600	1881	1228
ENSGMOG00000003382	31396	17407	20955	18733	19180	3733
ENSGMOG00000020188	173	74	108	56	96	18
ENSGMOG00000003406	1300	968	1086	814	798	1302
ENSGMOG00000003429	1064	728	670	185	418	221
ENSGMOG00000003455	19	13	0	0	5	1
ENSGMOG00000020189	0	0	0	0	5	0
ENSGMOG00000003497	50	17	17	28	25	40
ENSGMOG00000003507	81	31	36	69	42	0
ENSGMOG00000003523	92	27	20	40	26	1
ENSGMOG00000003530	954	1803	3237	1273	1224	1002
ENSGMOG00000003670	248	252	372	133	329	123
ENSGMOG00000003683	3520	2365	2117	2259	3744	367
ENSGMOG00000003714	167	79	99	61	66	43
ENSGMOG00000003732	0	0	1	3	0	0
ENSGMOG00000003756	4226	2041	1921	2219	2316	89
ENSGMOG00000003844	82	11	41	31	22	52
ENSGMOG00000003917	366	228	353	305	152	873
ENSGMOG00000003948	3449	1506	1913	2277	1640	633
ENSGMOG00000004001	38	45	63	33	2	140
ENSGMOG00000004050	814	475	640	525	587	321
ENSGMOG00000004066	192	87	190	196	140	45
ENSGMOG00000004095	692	445	415	322	323	121
ENSGMOG00000004118	0	3	1	4	0	0
ENSGMOG00000004160	109	177	28	52	146	2
ENSGMOG00000004229	1193	360	559	219	1098	25
ENSGMOG00000020190	3	1	3	0	4	0
ENSGMOG00000004238	416	239	132	177	123	33
ENSGMOG00000004290	112	59	26	34	25	27
ENSGMOG00000004299	7	2	21	3	6	0
ENSGMOG00000004361	4681	4384	7079	2883	4712	4778
ENSGMOG00000004405	0	0	0	0	0	0
ENSGMOG00000004419	0	0	0	0	0	0
ENSGMOG00000004438	27	2	5	8	11	0
ENSGMOG00000004449	0	0	0	0	0	0
ENSGMOG00000004455	4963	2351	2033	4659	4680	1087
ENSGMOG00000004496	2301	1109	1053	1471	1740	1388
ENSGMOG00000004513	618	370	198	370	416	83
ENSGMOG00000004557	40	16	38	23	43	49
ENSGMOG00000004579	5	2	4	0	0	0
ENSGMOG00000004806	1	0	0	0	0	0
ENSGMOG00000004827	689	194	207	299	162	160
ENSGMOG00000004853	263	240	163	160	229	17
ENSGMOG00000004892	950	369	418	349	350	153
ENSGMOG00000004907	216	117	96	107	69	24
ENSGMOG00000004949	1472	933	1206	1053	1027	2563
ENSGMOG00000004974	2	60	13	6	9	0
ENSGMOG00000004989	0	0	0	0	0	0
ENSGMOG00000005030	57	60	25	34	31	46
ENSGMOG00000005082	27	2	2	19	6	15
ENSGMOG00000005087	5	8	0	12	2	0
ENSGMOG00000005111	1048	373	584	667	1029	162
ENSGMOG00000005121	6130	2051	5430	3776	1770	1766
ENSGMOG00000005145	1703	1291	1122	1106	1405	2706
ENSGMOG00000005183	245	287	61	186	342	36
ENSGMOG00000005212	2490	2111	4680	2007	1462	1515
ENSGMOG00000005225	5024	2845	4286	2965	4197	1485
ENSGMOG00000005238	124	129	55	26	84	32
ENSGMOG00000005253	182	104	89	180	81	48
ENSGMOG00000005283	380	185	103	344	272	34
ENSGMOG00000005306	732	377	382	376	397	427
ENSGMOG00000005338	75	89	73	32	26	0
ENSGMOG00000005366	1007	673	493	537	587	74
ENSGMOG00000005419	0	3	0	3	0	0
ENSGMOG00000005434	403	238	444	630	287	158
ENSGMOG00000020191	1487	845	1222	879	740	1509
ENSGMOG00000005450	1964	1294	1509	1112	990	2834
ENSGMOG00000005532	2	0	0	1	0	0
ENSGMOG00000005560	0	2	0	0	2	0
ENSGMOG00000005579	0	1	0	0	0	0
ENSGMOG00000005594	2808	1182	1794	1888	1965	4903
ENSGMOG00000005602	13573	9111	9948	9152	10523	7391
ENSGMOG00000005643	936	556	792	671	600	567
ENSGMOG00000005658	3	1	0	0	3	2
ENSGMOG00000005668	365	264	197	223	287	20
ENSGMOG00000005691	0	1	0	1	0	0
ENSGMOG00000005701	1146	890	1261	711	1672	1527
ENSGMOG00000005722	984	480	891	433	664	544
ENSGMOG00000005751	3797	2728	2461	2369	3402	566
ENSGMOG00000005823	4	4	4	0	7	0
ENSGMOG00000005836	128	91	119	113	109	62
ENSGMOG00000005875	2083	1286	1447	1160	1663	954
ENSGMOG00000005895	1697	1256	789	895	1473	305
ENSGMOG00000020192	13	6	0	10	3	0
ENSGMOG00000005939	670	434	462	446	604	60
ENSGMOG00000005960	216	160	201	181	213	240
ENSGMOG00000006000	29	2	4	0	4	0
ENSGMOG00000006012	169	21	68	23	166	24
ENSGMOG00000006030	587	268	1280	881	3041	1520
ENSGMOG00000006039	102	12	0	0	13	21
ENSGMOG00000006052	0	0	0	0	1	0
ENSGMOG00000006056	590	223	1142	127	618	1757
ENSGMOG00000006065	3	1	0	3	7	0
ENSGMOG00000006089	2452	1868	1996	1197	1463	1507
ENSGMOG00000020193	42	32	17	43	36	11
ENSGMOG00000006110	283	139	116	160	171	36
