ID	sample_10	sample_23	sample_29	sample_36	sample_42	sample_49
ENSGMOG00000002534	759	305	558	343	554	712
ENSGMOG00000002780	885	632	653	745	577	594
ENSGMOG00000002799	0	0	0	0	0	0
ENSGMOG00000002820	133	118	229	250	39	40
ENSGMOG00000002838	1225	517	512	393	927	994
ENSGMOG00000002848	458	235	210	174	220	295
ENSGMOG00000002858	211	118	240	196	135	189
ENSGMOG00000002885	1345	1366	1152	1079	656	534
ENSGMOG00000002906	10	13	23	41	16	35
ENSGMOG00000003254	338	139	211	129	298	324
ENSGMOG00000020737	0	0	0	2	1	0
ENSGMOG00000003271	97	64	105	51	492	198
ENSGMOG00000003294	24276	14742	18440	11812	30725	33498
ENSGMOG00000003308	2043	1463	1342	838	1855	2210
ENSGMOG00000003346	8	2	18	12	3	6
ENSGMOG00000003356	1647	1917	1865	1821	1324	1881
ENSGMOG00000003382	25722	18348	24394	19369	10541	22571
ENSGMOG00000020188	115	68	103	73	85	132
ENSGMOG00000003406	1623	969	966	738	1147	1650
ENSGMOG00000003429	1275	641	446	426	568	498
ENSGMOG00000003455	8	5	8	7	24	71
ENSGMOG00000020189	0	0	2	1	6	3
ENSGMOG00000003497	21	12	48	29	9	8
ENSGMOG00000003507	74	31	92	40	34	47
ENSGMOG00000003523	39	16	52	39	19	18
ENSGMOG00000003530	1094	3429	1199	941	649	698
ENSGMOG00000003670	264	355	179	338	202	237
ENSGMOG00000003683	4057	2643	3014	3316	2761	2342
ENSGMOG00000003714	168	81	101	74	145	178
ENSGMOG00000003732	0	2	0	0	0	0
ENSGMOG00000003756	2938	1623	3328	1939	3225	2885
ENSGMOG00000003844	71	56	35	22	44	52
ENSGMOG00000003917	657	328	311	223	383	659
ENSGMOG00000003948	4226	1929	3228	1792	2993	3049
ENSGMOG00000004001	42	82	52	4	270	342
ENSGMOG00000004050	933	662	646	525	770	763
ENSGMOG00000004066	227	97	227	103	154	149
ENSGMOG00000004095	935	408	439	361	689	621
ENSGMOG00000004118	1	7	5	0	0	1
ENSGMOG00000004160	145	49	97	167	10	17
ENSGMOG00000004229	1386	854	314	893	157	121
ENSGMOG00000020190	0	2	0	1	2	0
ENSGMOG00000004238	489	144	313	122	323	471
ENSGMOG00000004290	174	25	82	32	87	95
ENSGMOG00000004299	5	4	11	3	0	2
ENSGMOG00000004361	7429	7450	4045	4357	4310	5782
ENSGMOG00000004405	3	0	0	0	0	6
ENSGMOG00000004419	0	0	0	0	0	0
ENSGMOG00000004438	9	10	15	33	0	0
ENSGMOG00000004449	0	0	0	0	0	0
ENSGMOG00000004455	4673	2045	5342	4491	2845	3682
ENSGMOG00000004496	2510	1168	1925	1791	1341	2198
ENSGMOG00000004513	746	226	635	425	759	834
ENSGMOG00000004557	58	40	53	38	62	36
ENSGMOG00000004579	11	4	0	1	16	4
ENSGMOG00000004806	0	0	0	0	0	0
ENSGMOG00000004827	479	298	809	194	373	602
ENSGMOG00000004853	332	113	295	227	278	520
ENSGMOG00000004892	564	368	795	248	455	453
ENSGMOG00000004907	273	94	135	92	190	256
ENSGMOG00000004949	1925	1231	1094	955	1679	2305
ENSGMOG00000004974	1	36	7	8	4	3
ENSGMOG00000004989	0	0	0	0	1	0
ENSGMOG00000005030	68	29	31	38	113	77
ENSGMOG00000005082	23	1	16	6	19	7
ENSGMOG00000005087	4	0	4	1	1	1
ENSGMOG00000005111	675	653	1020	858	505	455
ENSGMOG00000005121	6114	6167	5796	2095	3233	4847
ENSGMOG00000005145	2240	1267	1544	1208	2226	2418
ENSGMOG00000005183	379	119	389	335	213	193
ENSGMOG00000005212	2396	3632	2116	1220	1602	2053
ENSGMOG00000005225	4826	4298	3478	3874	2206	1882
ENSGMOG00000005238	164	57	67	58	33	47
ENSGMOG00000005253	185	74	168	60	109	129
ENSGMOG00000005283	434	152	448	312	313	295
ENSGMOG00000005306	963	383	715	409	1227	1062
ENSGMOG00000005338	57	93	54	28	31	4
ENSGMOG00000005366	1016	426	785	480	952	1253
ENSGMOG00000005419	1	0	2	4	0	0
ENSGMOG00000005434	317	338	577	241	170	145
ENSGMOG00000020191	2338	998	1002	640	1833	2467
ENSGMOG00000005450	1914	1455	1226	823	1447	2482
ENSGMOG00000005532	1	1	3	1	0	0
ENSGMOG00000005560	0	0	0	0	0	0
ENSGMOG00000005579	0	0	0	0	0	0
ENSGMOG00000005594	2906	2007	1937	1958	1788	2152
ENSGMOG00000005602	13771	9046	12388	9746	10323	12956
ENSGMOG00000005643	1147	812	903	572	791	1055
ENSGMOG00000005658	6	2	1	0	3	2
ENSGMOG00000005668	591	188	320	230	453	589
ENSGMOG00000005691	13	1	2	0	0	6
ENSGMOG00000005701	1454	1374	996	1495	854	1873
ENSGMOG00000005722	1485	821	630	571	1729	2565
ENSGMOG00000005751	4907	2245	3300	3454	4145	4939
ENSGMOG00000005823	2	4	0	3	2	6
ENSGMOG00000005836	203	79	119	98	245	245
ENSGMOG00000005875	2581	1446	1467	1611	1544	1703
ENSGMOG00000005895	1887	1004	1358	1444	1354	1652
ENSGMOG00000020192	25	7	8	8	19	48
ENSGMOG00000005939	838	434	610	453	751	844
ENSGMOG00000005960	221	153	166	185	197	193
ENSGMOG00000006000	3	0	0	1	0	0
ENSGMOG00000006012	61	64	21	193	51	46
ENSGMOG00000006030	414	1383	722	2559	400	998
ENSGMOG00000006039	78	2	2	2	1	43
ENSGMOG00000006052	0	0	0	0	0	0
ENSGMOG00000006056	423	853	88	455	42	1161
ENSGMOG00000006065	0	0	4	4	2	0
ENSGMOG00000006089	3458	2218	1592	1415	2855	3041
ENSGMOG00000020193	57	27	55	25	39	35
ENSGMOG00000006110	128	125	239	179	125	185
ENSGMOG00000006134	522	155	244	189	408	483
ENSGMOG00000006151	58	25	71	23	27	41
ENSGMOG00000006166	605	528	535	457	457	621
ENSGMOG00000006173	7021	3444	4688	4649	2695	3834
ENSGMOG00000021891	0	0	0	0	0	0
ENSGMOG00000006212	1265	644	778	609	1070	1255
ENSGMOG00000006286	463	371	501	312	605	644
ENSGMOG00000006320	106	88	40	64	57	69
ENSGMOG00000006349	119	73	120	168	111	186
ENSGMOG00000006358	4458	2061	3151	3409	2352	9012
ENSGMOG00000006377	611	339	627	334	780	846
ENSGMOG00000006389	293	170	166	129	380	408
ENSGMOG00000020194	51	69	58	57	50	77
ENSGMOG00000006398	6	1	3	13	1	5
ENSGMOG00000006445	0	0	0	0	0	0
ENSGMOG00000006455	0	2	1	0	2	0
ENSGMOG00000021301	0	0	0	0	0	3
ENSGMOG00000006477	0	0	0	0	0	0
ENSGMOG00000006482	18	49	53	83	170	170
ENSGMOG00000006498	5	16	40	34	14	1
ENSGMOG00000006508	8	2	1	4	2	3
ENSGMOG00000020195	0	0	5	0	3	0
ENSGMOG00000020196	4	0	2	0	3	0
ENSGMOG00000006517	473	376	362	181	489	571
ENSGMOG00000006528	0	20	12	6	13	13
ENSGMOG00000006535	412	238	523	215	133	98
ENSGMOG00000006558	16084	12227	17187	9128	8096	13695
ENSGMOG00000006566	1197	1185	719	461	627	694
ENSGMOG00000006586	475	240	263	257	246	185
ENSGMOG00000006623	45	242	159	122	42	43
ENSGMOG00000006630	6	4	8	9	10	3
ENSGMOG00000006638	2394	1937	1416	1059	2035	2235
ENSGMOG00000006646	16	1	12	3	2	3
ENSGMOG00000006654	472	250	305	239	520	580
ENSGMOG00000006670	1923	918	1247	681	1754	2196
ENSGMOG00000006684	16	16	33	20	0	0
ENSGMOG00000006688	13	19	5	24	5	1
ENSGMOG00000006710	1	0	0	0	0	0
ENSGMOG00000006720	4360	1525	2492	955	6393	3652
ENSGMOG00000006742	2644	1243	1674	1372	2566	2852
ENSGMOG00000006755	837	792	888	998	586	731
ENSGMOG00000006761	5964	2839	4491	4916	3793	4470
ENSGMOG00000006782	3043	2018	2315	2399	1133	1520
ENSGMOG00000006799	1149	641	711	563	1007	1422
ENSGMOG00000006817	2577	1794	2491	4065	692	872
ENSGMOG00000006827	1502	916	911	774	1021	1368
ENSGMOG00000006840	1139	2226	1973	1068	2620	2693
ENSGMOG00000006863	0	0	0	0	0	0
