Sample	FastQC_mqc-generalstats-percent_duplicates	FastQC_mqc-generalstats-percent_gc	FastQC_mqc-generalstats-avg_sequence_length	FastQC_mqc-generalstats-percent_fails	FastQC_mqc-generalstats-total_sequences
Lars-Erik_13_forward	65.11177371961529	54.0	75.53890724816806	18.181818181818183	61045425.0
Lars-Erik_13_reverse	63.33028784443617	54.0	75.4544797091674	18.181818181818183	61045425.0
Lars-Erik_14_forward	62.635680478947286	54.0	75.54914192670275	18.181818181818183	52994890.0
Lars-Erik_14_reverse	61.07455896905471	54.0	75.46841986085828	18.181818181818183	52994890.0
Lars-Erik_15_forward	62.04050667492654	53.0	75.53520992015832	18.181818181818183	56068460.0
Lars-Erik_15_reverse	59.99025680861868	53.0	75.45970695467648	18.181818181818183	56068460.0
Lars-Erik_1_forward	63.11854305110861	53.0	75.51026912620671	18.181818181818183	51097142.0
Lars-Erik_1_reverse	59.91583918496127	53.0	75.43818121960716	18.181818181818183	51097142.0
Lars-Erik_2_forward	64.23838732565642	54.0	75.54685766241806	18.181818181818183	54568055.0
Lars-Erik_2_reverse	62.00814889409483	54.0	75.4666176758545	18.181818181818183	54568055.0
Lars-Erik_3_forward	67.91520150708834	53.0	75.551786159333	18.181818181818183	80095822.0
Lars-Erik_3_reverse	66.09066238345648	54.0	75.46921833201237	18.181818181818183	80095822.0
