#Position (bp)	Coverage
12500.5	2.7518
37500.5	0.50676
62500.5	0.12168
87500.5	0.28852
112500.5	0.00504
137500.5	0.11628
162500.5	0.147
187500.5	2.41812
212500.5	0.00988
237500.5	0.0
262500.5	0.21116
287500.5	0.00252
312500.5	0.0
337500.5	0.10476
362500.5	0.18072
387500.5	0.00756
412500.5	0.00748
437500.5	0.0224
462500.5	0.00252
487500.5	1.05872
512500.5	1.11088
537500.5	1.00756
562500.5	1.0
587500.5	1.00756
612500.5	1.00504
637500.5	176.49368
662500.5	0.11992
687500.5	0.02256
712500.5	0.03252
737500.5	0.4248
762500.5	0.5912
787500.5	0.16288
812500.5	0.22552
837500.5	0.25256
862500.5	0.21868
887500.5	0.31228
912500.5	0.01008
937500.5	1.41708
962500.5	1.7954
987500.5	0.51456
1012500.5	1.63524
1037500.5	1.80168
1062500.5	1.08908
1087500.5	0.14968
1112500.5	1.7944
1137500.5	2.94708
1162500.5	1.37924
1187500.5	1.00452
1212500.5	13.39076
1237500.5	10.70716
1262500.5	6.12032
1287500.5	3.27944
1312500.5	5.04808
1337500.5	3.30604
1362500.5	15.27988
1387500.5	9.03312
1412500.5	5.04268
1437500.5	3.147
1462500.5	3.55068
1487500.5	6.57792
1512500.5	6.0662
1537500.5	16.384
1562500.5	29.07744
1587500.5	2.69224
1612500.5	3.15724
1637500.5	5.83496
1662500.5	7.90148
1687500.5	3.86464
1712500.5	5.38332
1737500.5	3.67932
1762500.5	9.446
1787500.5	20.75824
1812500.5	34.95484
1837500.5	23.27332
1862500.5	18.49928
1887500.5	13.355
1912500.5	5.20372
1937500.5	4.85152
1962500.5	7.17944
1987500.5	6.26496
2012500.5	4.86252
2037500.5	2.13544
2062500.5	1.00504
2087500.5	1.0498
2112500.5	1.10612
2137500.5	1.41592
2162500.5	1.79416
2187500.5	3.81892
2212500.5	1.33484
2237500.5	5.82
2262500.5	7.0
2287500.5	7.02012
2312500.5	2.12172
2337500.5	0.02016
2362500.5	1.14604
2387500.5	5.14884
