#Duplication rate	Coverage
1.0	2446.0
2.0	408.0
3.0	291.0
4.0	220.0
5.0	221.0
6.0	193.0
7.0	172.0
8.0	152.0
9.0	124.0
10.0	115.0
11.0	118.0
12.0	113.0
13.0	91.0
14.0	91.0
15.0	90.0
16.0	75.0
17.0	75.0
18.0	86.0
19.0	68.0
20.0	59.0
21.0	49.0
22.0	42.0
23.0	49.0
24.0	48.0
25.0	42.0
26.0	33.0
27.0	26.0
28.0	35.0
29.0	36.0
30.0	27.0
31.0	33.0
32.0	36.0
33.0	34.0
34.0	24.0
35.0	33.0
36.0	20.0
37.0	28.0
38.0	19.0
39.0	20.0
40.0	15.0
41.0	23.0
42.0	21.0
43.0	20.0
44.0	12.0
45.0	15.0
46.0	15.0
47.0	8.0
48.0	10.0
49.0	13.0
50.0	441.0
