#Insert size (bp)	insert size
64.0	9.0
65.0	19.0
66.0	17.0
67.0	24.0
68.0	19.0
69.0	27.0
70.0	33.0
71.0	30.0
72.0	40.0
73.0	42.0
74.0	38.0
75.0	45.0
76.0	59.0
77.0	58.0
78.0	66.0
79.0	63.0
80.0	96.0
81.0	90.0
82.0	95.0
83.0	133.0
84.0	124.0
85.0	114.0
86.0	127.0
87.0	156.0
88.0	150.0
89.0	181.0
90.0	187.0
91.0	186.0
92.0	218.0
93.0	199.0
94.0	214.0
95.0	236.0
96.0	242.0
97.0	275.0
98.0	257.0
99.0	285.0
100.0	289.0
101.0	323.0
102.0	322.0
103.0	279.0
104.0	302.0
105.0	315.0
106.0	314.0
107.0	317.0
108.0	335.0
109.0	288.0
110.0	333.0
111.0	385.0
112.0	356.0
113.0	379.0
114.0	366.0
115.0	357.0
116.0	332.0
117.0	327.0
118.0	367.0
119.0	332.0
120.0	383.0
121.0	401.0
122.0	399.0
123.0	426.0
124.0	418.0
125.0	398.0
126.0	376.0
127.0	351.0
128.0	363.0
129.0	402.0
130.0	417.0
131.0	365.0
132.0	402.0
133.0	351.0
134.0	365.0
135.0	343.0
136.0	343.0
137.0	394.0
138.0	344.0
139.0	380.0
140.0	334.0
141.0	376.0
142.0	359.0
143.0	300.0
144.0	283.0
145.0	354.0
146.0	292.0
147.0	291.0
148.0	278.0
149.0	280.0
150.0	292.0
151.0	304.0
152.0	290.0
153.0	337.0
154.0	295.0
155.0	265.0
156.0	293.0
157.0	304.0
158.0	286.0
159.0	278.0
160.0	288.0
161.0	261.0
162.0	284.0
163.0	267.0
164.0	268.0
165.0	262.0
166.0	261.0
167.0	247.0
168.0	269.0
169.0	250.0
170.0	192.0
171.0	191.0
172.0	208.0
173.0	232.0
174.0	234.0
175.0	194.0
176.0	248.0
177.0	225.0
178.0	226.0
179.0	230.0
180.0	236.0
181.0	208.0
182.0	213.0
183.0	206.0
184.0	200.0
185.0	191.0
186.0	167.0
187.0	183.0
188.0	166.0
189.0	173.0
190.0	199.0
191.0	162.0
192.0	193.0
193.0	198.0
194.0	165.0
195.0	185.0
196.0	150.0
197.0	199.0
198.0	189.0
199.0	163.0
200.0	157.0
201.0	143.0
202.0	160.0
203.0	149.0
204.0	178.0
205.0	148.0
206.0	146.0
207.0	150.0
208.0	148.0
209.0	153.0
210.0	106.0
211.0	147.0
212.0	146.0
213.0	95.0
214.0	107.0
215.0	120.0
216.0	113.0
217.0	152.0
218.0	116.0
219.0	102.0
220.0	109.0
221.0	84.0
222.0	109.0
223.0	92.0
224.0	98.0
225.0	106.0
226.0	124.0
227.0	129.0
228.0	127.0
229.0	114.0
230.0	95.0
231.0	70.0
232.0	80.0
233.0	95.0
234.0	112.0
235.0	111.0
236.0	87.0
237.0	96.0
238.0	81.0
239.0	75.0
240.0	65.0
241.0	86.0
242.0	74.0
243.0	71.0
244.0	86.0
245.0	71.0
246.0	71.0
247.0	72.0
248.0	88.0
249.0	64.0
250.0	76.0
251.0	68.0
252.0	64.0
253.0	92.0
254.0	70.0
255.0	66.0
256.0	65.0
257.0	65.0
258.0	65.0
259.0	69.0
260.0	39.0
261.0	51.0
262.0	52.0
263.0	49.0
264.0	58.0
265.0	49.0
266.0	68.0
267.0	64.0
268.0	66.0
269.0	48.0
270.0	56.0
271.0	55.0
272.0	58.0
273.0	65.0
274.0	53.0
275.0	40.0
276.0	45.0
277.0	49.0
278.0	51.0
279.0	46.0
280.0	51.0
281.0	42.0
282.0	58.0
283.0	44.0
284.0	35.0
285.0	52.0
286.0	41.0
287.0	39.0
288.0	37.0
289.0	32.0
290.0	40.0
291.0	37.0
292.0	35.0
293.0	35.0
294.0	37.0
295.0	33.0
296.0	49.0
297.0	39.0
298.0	25.0
299.0	29.0
300.0	42.0
301.0	25.0
302.0	24.0
303.0	28.0
304.0	34.0
305.0	34.0
306.0	29.0
307.0	24.0
308.0	33.0
309.0	34.0
310.0	25.0
311.0	28.0
312.0	22.0
313.0	23.0
314.0	22.0
315.0	26.0
316.0	25.0
317.0	24.0
318.0	19.0
319.0	35.0
320.0	19.0
321.0	33.0
322.0	17.0
323.0	15.0
324.0	17.0
325.0	20.0
326.0	26.0
327.0	25.0
328.0	12.0
329.0	24.0
330.0	17.0
331.0	17.0
332.0	20.0
333.0	18.0
334.0	10.0
335.0	21.0
336.0	21.0
337.0	21.0
338.0	22.0
339.0	19.0
340.0	10.0
341.0	20.0
342.0	14.0
343.0	16.0
344.0	8.0
345.0	12.0
346.0	17.0
347.0	12.0
348.0	15.0
349.0	13.0
350.0	15.0
351.0	10.0
352.0	11.0
353.0	21.0
354.0	3.0
355.0	16.0
356.0	10.0
357.0	20.0
358.0	18.0
359.0	5.0
360.0	10.0
361.0	19.0
362.0	12.0
363.0	8.0
364.0	10.0
365.0	14.0
366.0	6.0
367.0	7.0
368.0	17.0
369.0	13.0
370.0	12.0
371.0	9.0
372.0	16.0
373.0	12.0
374.0	7.0
375.0	5.0
376.0	9.0
377.0	6.0
378.0	9.0
379.0	10.0
380.0	12.0
381.0	10.0
382.0	12.0
383.0	8.0
384.0	10.0
385.0	6.0
386.0	13.0
387.0	11.0
388.0	6.0
389.0	6.0
390.0	5.0
391.0	14.0
392.0	6.0
393.0	8.0
394.0	9.0
