#Read position (bp)	Clipping profile
0.0	18.219108632529842
1.0	12.799004470664146
2.0	8.816887127252615
3.0	3.9544637507489515
4.0	2.083237313914366
5.0	1.6039083744296447
6.0	1.1614508918283635
7.0	0.8618703046504126
8.0	0.5208093284785915
9.0	0.2488823339632207
10.0	0.1705304880859105
11.0	0.0
12.0	0.0
13.0	0.0
14.0	0.0
15.0	0.0
16.0	0.0
17.0	0.0
18.0	0.0
19.0	0.0
20.0	0.0
21.0	0.0
22.0	0.0
23.0	0.0
24.0	0.0
25.0	0.0
26.0	0.0
27.0	0.0
28.0	0.0
29.0	0.0
30.0	0.0
31.0	0.0
32.0	0.0
33.0	0.0
34.0	0.0
35.0	0.0
36.0	0.0
37.0	0.0
38.0	0.0
39.0	0.0
40.0	0.0
41.0	0.0
42.0	0.0
43.0	0.0
44.0	0.0
45.0	0.0
46.0	0.0
47.0	0.0
48.0	0.0
49.0	0.0
50.0	0.0
51.0	0.0
52.0	0.07835184587731023
53.0	0.15209475964419045
54.0	0.5807254459141817
55.0	0.8710881688712726
56.0	1.5255565285523345
57.0	1.8758353689450156
58.0	3.124855970871549
59.0	5.632115038945476
60.0	8.286859934553165
61.0	11.743559017375674
62.0	15.688804903903767
