SRR1039509	SRR1039513
ENST00000377263	0	2.95493945964979
ENST00000400904	0	0
ENST00000377258	0	0
ENST00000377256	0	0
ENST00000403197	1.31699826165278	7.30616982906144
ENST00000377205	3.26155910246818	6.62278993796751
ENST00000462686	0.33397019791381	2.80176037119651
ENST00000492735	0	3.20883846912989
ENST00000496751	0	0
ENST00000488540	0	1.32299507276619
ENST00000377223	0	3.63006321887309
ENST00000377213	0	0
ENST00000471853	0	0
ENST00000400903	0	0
ENST00000302692	5.8063686577336	8.29574874076586
ENST00000377298	0	4.92953963650645
ENST00000477264	0	0
ENST00000435891	0	31.5093582513919
ENST00000361311	0	25.3946211440382
ENST00000464286	0	0
ENST00000377403	0.224821622263395	30.8253497333235
ENST00000602477	0	0
ENST00000495451	0	4.36413091629231
ENST00000054666	0	69.5100320700007
ENST00000470357	0.65474493748444	0.779825536486558
ENST00000487194	0	0
ENST00000328089	0	8.99717198724815
ENST00000450402	0	4.92552283859588
ENST00000357898	0	0
ENST00000377399	0	0
ENST00000377424	1.00570193268462	2.16918636100996
ENST00000487492	0	1.40269153774842
ENST00000377414	0	0
ENST00000484798	0	0
ENST00000474145	0	0
ENST00000479813	0	0
ENST00000486632	0	0
ENST00000487835	0	0
ENST00000464985	0	0
ENST00000473209	0	0
ENST00000308647	2.62909279798613	0
ENST00000472194	0.625714996590242	1.34294507210736
ENST00000378736	0	0
ENST00000485748	0.50096088346795	1.4245762151717
ENST00000474481	0.520605130192283	1.09760895412029
ENST00000377411	3.05627480156619	6.88749731614506
ENST00000465853	0	0
ENST00000466131	0	0
ENST00000356026	3.32360962769131	0
ENST00000472264	0	0
ENST00000512731	0.834300154279683	0
ENST00000378675	0	1.10955169517967
ENST00000479814	0	0
ENST00000435358	0	0
ENST00000503792	0	0
ENST00000489782	2.21076772241801	0
ENST00000486400	0	0
ENST00000490017	0	0
ENST00000549778	0	0
ENST00000476083	0	0
ENST00000480186	3.59266128893201	3.88906730793182
ENST00000377443	0	0
ENST00000377436	0	0
ENST00000377442	0	0
ENST00000337907	0	0.658724561084236
ENST00000377464	0	12.5047401993034
ENST00000467350	0	0
ENST00000400907	0	0
ENST00000476556	0	1.43826915035275
ENST00000400908	0	0
ENST00000505225	0	0
ENST00000464367	0	1.21074678257973
ENST00000488215	0	0
ENST00000460659	0	0
ENST00000492766	0	0
ENST00000465125	0	0
ENST00000464972	0	0
ENST00000480342	0	0
ENST00000507012	0	0
ENST00000469251	0	0
ENST00000514428	0	0
ENST00000468247	0	2.08772261482148
ENST00000495558	0.873390355148753	0.744526972535322
ENST00000338660	1.33067290246823	0.85232135052703
ENST00000476993	0.273316153347447	0
ENST00000471398	0	1.74804155296978
ENST00000378821	0	0
ENST00000400906	0	0
ENST00000377346	0.744665541689779	2.74583890801077
ENST00000484851	0	0
ENST00000361110	0	0
ENST00000481137	0	0
ENST00000479223	0	1.34926078980602
ENST00000536656	8.43259960006746e-08	0
ENST00000628140	8.43259960006746e-08	0.739512700914443
ENST00000543390	0	0
ENST00000340305	0	0.47885597165662
ENST00000340381	0	0
ENST00000416541	0	0.588235934149079
ENST00000510900	0	0
ENST00000508400	0	0
ENST00000646539	0	0
ENST00000464920	0	1.91853931052936
ENST00000234590	0	235.148649145084
ENST00000647408	0	0
ENST00000645609	0	0
ENST00000645600	0	0
ENST00000497492	0	0
ENST00000646660	0	0
ENST00000646680	0	0
ENST00000646370	0	0
ENST00000646906	0	0
ENST00000646156	0	0
ENST00000643438	0	0
ENST00000489867	0	0
ENST00000486051	0	0
ENST00000492343	0	1.41896773311553
ENST00000414948	7.51763931164824	9.79271420797066
ENST00000471889	0	0.950160825360157
ENST00000497660	0	4.27489246583128
ENST00000481265	0	0
ENST00000289877	0	0
ENST00000341832	14.2793093083318	12.3305873810493
ENST00000407249	0	0
ENST00000615951	0	0
ENST00000340677	0	2.17098882626034
ENST00000611150	3.68077487136905	0
ENST00000341028	0	0
ENST00000629289	0	0
ENST00000626918	0.881643719844321	0.694923206403191
ENST00000629312	0	0
ENST00000520777	0	0
ENST00000355826	0	1.776553999459
ENST00000518681	0	0
ENST00000505820	0	0
ENST00000479659	1.52985929545843	0
ENST00000489635	0.623295894579972	0
ENST00000511502	0	0
ENST00000477990	0.198865279597425	0.227932457802865
ENST00000514363	0	0
ENST00000487053	3.3015169335101	0
ENST00000502470	1.8748007692449	0
ENST00000378712	0	0
ENST00000507082	0	0
ENST00000463492	0	0
ENST00000510793	0	0
ENST00000504599	0	2.1394355654314
ENST00000507229	0	0
ENST00000503789	0	0
ENST00000378708	0	0
ENST00000506488	0	0
ENST00000512004	0	0
ENST00000508455	4.98931696430588	0
ENST00000514234	2.81056529278944	0
ENST00000467597	0	0
ENST00000508148	5.09099105232279	1.95914355562426
ENST00000486072	2.07017853646273	1.23196348829954
ENST00000505370	0	0.871664738168213
ENST00000473511	0	0
ENST00000464570	0	0
ENST00000483015	0	0
ENST00000511910	0	0
ENST00000470373	0	0
ENST00000315901	2.29722952724539	5.61769728650211
ENST00000294435	0	0
ENST00000344843	42.3229420683616	31.9150659085892
ENST00000493287	7.27810545935161	0
ENST00000487659	0.915906215279355	0.44005059665719
ENST00000492508	2.39940286732162	2.54250950908889
ENST00000482352	2.44654468294083	3.92431073270942
ENST00000477686	0	0
ENST00000379370	9.37319874377771	6.95232244303541
ENST00000477585	0	0
ENST00000469403	0	0
ENST00000479707	0	0
ENST00000466223	0	0
ENST00000478677	0	0
ENST00000492947	0.926845573762535	5.17548967768831
ENST00000419249	0	0
ENST00000461111	0	0.210949309558258
ENST00000620552	4.34278879403474e-06	1.0502699740021e-06
ENST00000493373	0	16.5284813234866
ENST00000460192	0	0
ENST00000338639	0	41.784569030304
ENST00000493678	0	0
ENST00000377493	0	15.4625522685171
ENST00000465354	0	0
ENST00000377491	0	0
ENST00000377488	0	0
ENST00000497113	17.7179083939495	56.0132354933092
ENST00000469225	0	0
ENST00000377541	0	0
ENST00000377532	0	4.03949990000808e-08
ENST00000361923	0	4.03949990000808e-08
ENST00000473653	0	0
ENST00000602883	0	0.49615205995848
ENST00000463106	0	0
ENST00000494684	0	0
ENST00000613533	0	4.03949990000808e-08
ENST00000614998	0	0.647420990094039
ENST00000379031	4.83664917566145	5.73354032764958
ENST00000470520	1.87506896807518	0
ENST00000463758	0	0
ENST00000467712	0	0
ENST00000493657	0.379672990411265	0
ENST00000520296	2.4730956082046	1.04104929034535
ENST00000427211	0	0
ENST00000454272	0	0
ENST00000442470	0	0
ENST00000537107	0	0
ENST00000338370	0	1.32879312855267
ENST00000338338	5.48994674175053	4.10374887302769
ENST00000321751	0	0
ENST00000378853	33.4281971780893	19.2948661782588
ENST00000489799	0.86876056282733	1.13887806050374
ENST00000496905	0	0
ENST00000464957	0	0
ENST00000343938	5.72477714296824	6.59690890250315
ENST00000488011	0	0
ENST00000378891	15.4049424131235	11.2134957169363
ENST00000378888	1.75792506527696	0.596880059985106
ENST00000632445	0	0
ENST00000631679	0	0
ENST00000634054	0	0
ENST00000633096	0	0
ENST00000472445	0	0
ENST00000610709	0	0
ENST00000377507	0	0
ENST00000474475	0	0
ENST00000492571	0	0
ENST00000615230	1.0934246219672	1.14757776985839
ENST00000624697	0	0
ENST00000624652	0	0
ENST00000379389	20.1439196125382	6.64609579224561
ENST00000474874	0	0
ENST00000377482	0	76.6276746415988
ENST00000467067	0	4.38884433431057
ENST00000469499	0	0
ENST00000487559	0	0
ENST00000474033	96.6171256240327	118.416486560623
ENST00000309212	152.081254035363	105.435639430925
ENST00000445648	10.4730442843844	4.68904401085456
ENST00000477278	0	0
ENST00000473097	18.6241025312915	16.4228904119003
ENST00000478517	0	0
ENST00000476718	15.5042471093047	13.7946758433079
ENST00000464351	2.43657987999343	0
ENST00000460473	0	0
ENST00000342753	0.905582984685955	0
ENST00000378453	0	0
ENST00000426449	0	0
ENST00000434817	0	0
ENST00000435221	0	0
ENST00000451778	0	0
ENST00000409119	0	0
ENST00000355716	6.02826884802855	4.10655010462835
ENST00000475523	0	0
ENST00000442392	0	0
ENST00000482074	0	0
ENST00000496064	3.08392310317891	1.03940941496594
ENST00000463471	2.22528629780144	0.572961130807184
ENST00000466750	0	0
ENST00000471768	4.21443855665	0
ENST00000463835	0	0
ENST00000482602	0	0
ENST00000480305	0	0
ENST00000338591	1.01415451754574	0.755126175927954
ENST00000463212	0	3.01873265589568
ENST00000466300	1.71634716319988	0.624016531623382
ENST00000481067	0	0
ENST00000622660	2.64387388019511	0
ENST00000291386	70.5778316444492	58.0419715936058
ENST00000378726	0	0
ENST00000378725	0	0
ENST00000359060	1.1741254433998	2.34926746852731
ENST00000341290	0	0
ENST00000479361	0	0
ENST00000433179	0	0
ENST00000379410	0	0
ENST00000379409	0	0
ENST00000379407	0.219116420514975	0
ENST00000480267	0	0
ENST00000491024	0	0
ENST00000054650	0	4.27133911974424
ENST00000484676	0	0
ENST00000307896	0	0
ENST00000377627	0	0
ENST00000484669	0	0
ENST00000487819	0	0
ENST00000472925	0	0
ENST00000480647	0	0
ENST00000641515	0	0
ENST00000335137	0	0
ENST00000333172	0	0
ENST00000351136	0	0
ENST00000411823	0	0
ENST00000415267	0	0
ENST00000636250	0.193536213954166	1.79370212087952
ENST00000294600	0	0
ENST00000462521	0	0
ENST00000378609	101.013242051449	94.1868893421661
ENST00000461893	0.222096501213639	1.01140162319923
ENST00000471354	0	0
ENST00000439272	6.74040820870395	0
ENST00000434686	0	0
ENST00000437146	0	0
ENST00000607589	0	0
ENST00000472614	1.09856281571851	0
ENST00000610897	2.18367770106181	9.29084977001858e-06
ENST00000615252	0	0
ENST00000378785	2.17182939266774	1.77182628996103
ENST00000475091	0	0
ENST00000484537	1.16375123774182	0
ENST00000378322	0.841320799402715	0.702868054411528
ENST00000270708	7.29021543131127	4.81703140450142
ENST00000471223	0.618369822871601	0.084491553338535
ENST00000424367	0	0
ENST00000497940	0	0
ENST00000469643	0	0
ENST00000494884	0	0
ENST00000465916	0	0
ENST00000419924	0	0
ENST00000479331	0	0
ENST00000470030	0.898654297061561	0.566614187774293
ENST00000435064	9.40854056979855	0
ENST00000497304	0.93502350885468	0
ENST00000323275	0.896188773590494	0
ENST00000411962	0	0
ENST00000462432	5.00445689579084	8.76656671354644
ENST00000478641	0.828825120337347	1.10578312453795
ENST00000421495	0	0
ENST00000458452	0.564302945645829	1.6224021994298
ENST00000419704	0	0
ENST00000532772	0	0
ENST00000450926	0	0
ENST00000527098	0	0
ENST00000485710	0	0
ENST00000461514	0	0
ENST00000525164	0	0
ENST00000528879	0	5.53279293666879
ENST00000525769	0	0
ENST00000531377	0	0
ENST00000527383	0	0
ENST00000531292	2.77190119117816	0
ENST00000467408	0	0
ENST00000434694	2.38185555513984	0
ENST00000531020	0	0
ENST00000533916	0	3.00375124143152
ENST00000488042	2.32557971628583	0
ENST00000526797	0	0
ENST00000526332	0	0
ENST00000430786	0	0
ENST00000527719	0	0
ENST00000530031	0	0
ENST00000526113	0	0
ENST00000526904	0	0
ENST00000525603	0	0
ENST00000429572	0	1.74273627577611
ENST00000498173	0	0
ENST00000496353	0	0
ENST00000493534	0	0
ENST00000534345	0	0
ENST00000532952	0	0
ENST00000490853	0	0
ENST00000531019	0	0
ENST00000498476	0	0
ENST00000470679	0	0
ENST00000525285	0	0
ENST00000530233	0	0
ENST00000540437	0	0
ENST00000545578	0	0
ENST00000620829	0	0
ENST00000618806	0	0
ENST00000608083	0	12.214860152364
ENST00000377842	0	0
ENST00000377845	0	0
ENST00000377855	0	1.19402345496869
ENST00000377860	0	0
ENST00000418124	0	0
ENST00000361521	0	0
ENST00000473466	0	0
ENST00000481175	0	0
ENST00000545482	0	1.03847059479418
ENST00000450390	0	0
ENST00000349431	9.44168283653971	3.9680222419174
ENST00000400929	0	9.44182454377142
ENST00000464036	0	0
ENST00000360466	0	6.4346513611846
ENST00000400930	0	0
ENST00000467339	2.33056844220923	0
ENST00000473215	0	0
ENST00000435198	0	0
ENST00000509720	0	0
ENST00000491779	0	0
ENST00000466752	0	0
ENST00000503294	0	0
ENST00000477894	0	0
ENST00000471154	0	0
ENST00000422076	0	0
ENST00000502382	0	0
ENST00000461142	0	0
ENST00000488418	0	0
ENST00000347370	2.66414989728148	1.1478518903216
ENST00000341426	27.9763194915593	0
ENST00000341991	6.95689467005566e-06	26.4084387113377
ENST00000378625	0.988150741507017	0
ENST00000342348	0	0
ENST00000498806	0	0
ENST00000469045	0	0
ENST00000480499	0	0
ENST00000497747	0	0
ENST00000477235	0	0
ENST00000489538	0	0
ENST00000497615	0	4.07483106272351
ENST00000497186	0	0
ENST00000492845	0	1.13182129654842
ENST00000492768	0	1.2954995299818
ENST00000460602	0	0
ENST00000464373	1.02662772373317	0
ENST00000480542	0	0
ENST00000378378	0	0
ENST00000378373	0	0
ENST00000378371	0	0
ENST00000445297	0	0
ENST00000464620	0	0
ENST00000418137	0	0
ENST00000485984	0	0
ENST00000377837	6.83575628698988	10.1536797179555
ENST00000377836	0	0
ENST00000471190	0	0
ENST00000377834	2.16555545423929	1.20991561508031
ENST00000487437	0	0
ENST00000489730	0	0
ENST00000379116	0	0
ENST00000379101	0	0
ENST00000338555	0	0
ENST00000470022	0	0
ENST00000325425	0.567844089358883	1.69192126559896
ENST00000467651	0	0
ENST00000379099	1.63175823874367	0
ENST00000400928	0	0
ENST00000645284	0	0
ENST00000636330	0	0
ENST00000377828	0	0
ENST00000633651	0	0
ENST00000632142	0	0
ENST00000418286	0	0
ENST00000632803	0	0
ENST00000632593	0	0
ENST00000461727	0	0
ENST00000475228	0	0
ENST00000478323	0	0
ENST00000633239	0	0
ENST00000475479	0	0
ENST00000636644	0	0
ENST00000434576	0	0
ENST00000477679	0	0
ENST00000468561	0	0
ENST00000416731	0	0
ENST00000294599	1.371224430685	2.19680999633618
ENST00000356575	1.00274883630467	2.32967641914726
ENST00000494257	0	0
ENST00000485002	8.43259960006746e-08	0
ENST00000491842	0	0
ENST00000475790	0	0
ENST00000461795	0	0
ENST00000473343	2.17791313381221	0
ENST00000513135	0.200809331109224	1.82573281020165
ENST00000485036	0	0
ENST00000480393	0	0
ENST00000377782	0	0
ENST00000356876	0	0
ENST00000351959	0	0
ENST00000414040	0	0
ENST00000351748	0	0
ENST00000348333	0	0
ENST00000502588	0	0
ENST00000502730	0	0
ENST00000510563	0	0
ENST00000453260	0	0
ENST00000475730	0	0
ENST00000469691	0	0
ENST00000481401	0	0
ENST00000461703	0	0
ENST00000453341	0	0
ENST00000515145	0	0
ENST00000378344	23.546904709983	31.7208270810323
ENST00000344579	0	0
ENST00000378756	3.46492384856021	4.96646373561244
ENST00000378755	0	0
ENST00000339113	2.51696135887918	0
ENST00000439513	0	0
ENST00000429957	0	5.27416593492572
ENST00000400830	0	0
ENST00000536055	0	0
ENST00000480479	6.90589097679761	1.24523405337105
ENST00000482621	0	0
ENST00000463260	0	0.541315446220527
ENST00000400809	3.51995318054133	7.30295103435611
ENST00000496007	2.97324675129595	0.848995387889359
ENST00000482365	7.20108205244159	1.32761945185672
ENST00000481223	0	0
ENST00000418865	34.5026924269633	34.9174013457007
ENST00000505849	0	0
ENST00000488340	0	0
ENST00000492998	0	0
ENST00000469113	2.00922285780867	0
ENST00000480646	0	0
ENST00000471930	0	1.58916099317264
ENST00000408918	37.8171192488311	19.9178605952225
ENST00000473872	1.30831820741745	0
ENST00000425598	0	0
ENST00000463895	0	2.81050588848003
ENST00000497013	0	0
ENST00000408952	0	0
ENST00000428771	0	0
ENST00000304952	0.748132267711363	0
ENST00000481869	2.52985530962366	0
ENST00000484667	0	0
ENST00000422725	2.6925910319086	1.1580241993648
ENST00000332831	0	0
ENST00000378190	0	0
ENST00000378191	0	0
ENST00000466761	0	0
ENST00000307786	0.937947934395984	0
ENST00000378604	0	0
ENST00000482402	0	0.879047570555461
ENST00000462293	0	0
ENST00000339381	0	0
ENST00000303635	0	4.03949990000808e-08
ENST00000490738	0	0
ENST00000476163	0	1.07130680079136
ENST00000473578	0	16.6108819104919
ENST00000557126	0	0
ENST00000467404	0	0
ENST00000461311	0	0
ENST00000486138	0	0
ENST00000482934	0	0
ENST00000470648	0	0
ENST00000461580	0	0
ENST00000472283	0	0
ENST00000467267	0	0
ENST00000495233	0	0
ENST00000490905	0	0
ENST00000476864	0	0
ENST00000378733	0	0
ENST00000624426	0	1.56925409529541
ENST00000425828	4.30680280173045	1.74962321915563
ENST00000378585	0	0
ENST00000638411	0	0
ENST00000639045	0	0
ENST00000640067	0	0
ENST00000638604	0	0
ENST00000638771	0	0
ENST00000639935	0	0
