#Duplication rate	Coverage
1.0	13359.0
2.0	1712.0
3.0	689.0
4.0	413.0
5.0	303.0
6.0	280.0
7.0	207.0
8.0	193.0
9.0	179.0
10.0	129.0
11.0	127.0
12.0	139.0
13.0	109.0
14.0	89.0
15.0	81.0
16.0	74.0
17.0	79.0
18.0	66.0
19.0	69.0
20.0	67.0
21.0	46.0
22.0	47.0
23.0	52.0
24.0	51.0
25.0	40.0
26.0	30.0
27.0	35.0
28.0	18.0
29.0	22.0
30.0	26.0
31.0	23.0
32.0	39.0
33.0	21.0
34.0	14.0
35.0	14.0
36.0	17.0
37.0	17.0
38.0	17.0
39.0	10.0
40.0	16.0
41.0	15.0
42.0	10.0
43.0	16.0
44.0	10.0
45.0	15.0
46.0	10.0
47.0	9.0
48.0	10.0
49.0	15.0
50.0	261.0
