#Mapping quality	mapping quality
0.0	15906.0
1.0	32709.0
4.0	48.0
5.0	46.0
6.0	106.0
7.0	85.0
8.0	128.0
9.0	115.0
10.0	303.0
11.0	17.0
12.0	538.0
13.0	28.0
14.0	48.0
15.0	895.0
16.0	21.0
17.0	201.0
18.0	42.0
19.0	19.0
20.0	2229.0
21.0	13.0
22.0	51.0
23.0	147.0
24.0	657.0
25.0	25.0
26.0	169.0
27.0	53.0
28.0	15.0
30.0	6778.0
31.0	2.0
32.0	4.0
33.0	73.0
34.0	195.0
35.0	36.0
36.0	624.0
37.0	148.0
38.0	78.0
39.0	13.0
40.0	2781.0
41.0	49.0
42.0	121.0
43.0	326.0
44.0	13.0
45.0	1525.0
46.0	154.0
47.0	22.0
48.0	847.0
49.0	61.0
50.0	620.0
51.0	341.0
52.0	362.0
53.0	181.0
54.0	186.0
55.0	166.0
56.0	195.0
57.0	263.0
58.0	327.0
59.0	232.0
60.0	244241.0
