#Read position (bp)	Clipping profile
0.0	20.476129087705726
1.0	13.970177474109407
2.0	9.415151905805509
3.0	3.5494821881311505
4.0	1.9423316574276996
5.0	1.435262773408964
6.0	1.1172704224141636
7.0	0.8508443986077092
8.0	0.37815306604787075
9.0	0.18048214515921104
10.0	0.15469898156503803
11.0	0.0
12.0	0.0
13.0	0.0
14.0	0.0
15.0	0.0
16.0	0.0
17.0	0.0
18.0	0.0
19.0	0.0
20.0	0.0
21.0	0.0
22.0	0.0
23.0	0.0
24.0	0.0
25.0	0.0
26.0	0.0
27.0	0.0
28.0	0.0
29.0	0.0
30.0	0.0
31.0	0.0
32.0	0.0
33.0	0.0
34.0	0.0
35.0	0.0
36.0	0.0
37.0	0.0
38.0	0.0
39.0	0.0
40.0	0.0
41.0	0.0
42.0	0.0
43.0	0.0
44.0	0.0
45.0	0.0
46.0	0.0
47.0	0.0
48.0	0.0
49.0	0.0
50.0	0.0
51.0	0.0
52.0	0.02148596966181084
53.0	0.07305229685015685
54.0	0.13321301190322718
55.0	0.3136951570624382
56.0	0.5457436294099953
57.0	0.7863864896222766
58.0	2.238838038760689
59.0	5.006230931201925
60.0	8.358042198444416
61.0	12.25129990116454
62.0	16.802028275536074
