#Insert size (bp)	insert size
64.0	13.0
65.0	13.0
66.0	15.0
67.0	17.0
68.0	14.0
69.0	17.0
70.0	32.0
71.0	28.0
72.0	24.0
73.0	35.0
74.0	43.0
75.0	38.0
76.0	45.0
77.0	52.0
78.0	66.0
79.0	54.0
80.0	86.0
81.0	89.0
82.0	95.0
83.0	113.0
84.0	98.0
85.0	142.0
86.0	123.0
87.0	130.0
88.0	146.0
89.0	163.0
90.0	189.0
91.0	201.0
92.0	208.0
93.0	208.0
94.0	199.0
95.0	218.0
96.0	222.0
97.0	257.0
98.0	270.0
99.0	255.0
100.0	261.0
101.0	341.0
102.0	317.0
103.0	301.0
104.0	332.0
105.0	303.0
106.0	267.0
107.0	297.0
108.0	318.0
109.0	364.0
110.0	330.0
111.0	378.0
112.0	381.0
113.0	376.0
114.0	384.0
115.0	352.0
116.0	364.0
117.0	360.0
118.0	387.0
119.0	390.0
120.0	394.0
121.0	345.0
122.0	377.0
123.0	412.0
124.0	383.0
125.0	378.0
126.0	339.0
127.0	345.0
128.0	408.0
129.0	341.0
130.0	360.0
131.0	357.0
132.0	390.0
133.0	357.0
134.0	299.0
135.0	318.0
136.0	318.0
137.0	356.0
138.0	293.0
139.0	344.0
140.0	336.0
141.0	340.0
142.0	286.0
143.0	297.0
144.0	294.0
145.0	304.0
146.0	280.0
147.0	269.0
148.0	272.0
149.0	239.0
150.0	294.0
151.0	284.0
152.0	284.0
153.0	280.0
154.0	273.0
155.0	248.0
156.0	251.0
157.0	261.0
158.0	247.0
159.0	269.0
160.0	260.0
161.0	247.0
162.0	228.0
163.0	227.0
164.0	230.0
165.0	239.0
166.0	200.0
167.0	222.0
168.0	203.0
169.0	203.0
170.0	177.0
171.0	186.0
172.0	180.0
173.0	209.0
174.0	158.0
175.0	174.0
176.0	199.0
177.0	184.0
178.0	179.0
179.0	173.0
180.0	156.0
181.0	167.0
182.0	141.0
183.0	168.0
184.0	156.0
185.0	173.0
186.0	153.0
187.0	164.0
188.0	163.0
189.0	139.0
190.0	156.0
191.0	135.0
192.0	143.0
193.0	152.0
194.0	120.0
195.0	150.0
196.0	132.0
197.0	124.0
198.0	130.0
199.0	134.0
200.0	129.0
201.0	139.0
202.0	140.0
203.0	115.0
204.0	103.0
205.0	113.0
206.0	122.0
207.0	125.0
208.0	104.0
209.0	100.0
210.0	92.0
211.0	113.0
212.0	99.0
213.0	100.0
214.0	95.0
215.0	80.0
216.0	96.0
217.0	97.0
218.0	94.0
219.0	93.0
220.0	86.0
221.0	79.0
222.0	53.0
223.0	73.0
224.0	70.0
225.0	61.0
226.0	81.0
227.0	89.0
228.0	65.0
229.0	75.0
230.0	66.0
231.0	60.0
232.0	64.0
233.0	61.0
234.0	66.0
235.0	60.0
236.0	65.0
237.0	83.0
238.0	54.0
239.0	60.0
240.0	56.0
241.0	64.0
242.0	65.0
243.0	55.0
244.0	40.0
245.0	54.0
246.0	45.0
247.0	53.0
248.0	50.0
249.0	46.0
250.0	28.0
251.0	54.0
252.0	54.0
253.0	45.0
254.0	43.0
255.0	41.0
256.0	35.0
257.0	46.0
258.0	36.0
259.0	49.0
260.0	43.0
261.0	22.0
262.0	36.0
263.0	35.0
264.0	42.0
265.0	32.0
266.0	37.0
267.0	37.0
268.0	29.0
269.0	28.0
270.0	27.0
271.0	38.0
272.0	35.0
273.0	38.0
274.0	30.0
275.0	31.0
276.0	38.0
277.0	39.0
278.0	30.0
279.0	30.0
280.0	24.0
281.0	27.0
282.0	28.0
283.0	18.0
284.0	30.0
285.0	23.0
286.0	20.0
287.0	30.0
288.0	17.0
289.0	23.0
290.0	21.0
291.0	31.0
292.0	18.0
293.0	23.0
294.0	24.0
295.0	18.0
296.0	26.0
297.0	24.0
298.0	19.0
299.0	19.0
300.0	16.0
301.0	15.0
302.0	13.0
303.0	24.0
304.0	21.0
305.0	17.0
306.0	11.0
307.0	20.0
308.0	13.0
309.0	11.0
310.0	15.0
311.0	14.0
312.0	26.0
313.0	19.0
314.0	11.0
315.0	10.0
316.0	21.0
317.0	8.0
318.0	11.0
319.0	13.0
320.0	16.0
321.0	9.0
322.0	14.0
323.0	14.0
324.0	17.0
325.0	11.0
326.0	18.0
327.0	8.0
328.0	13.0
329.0	8.0
330.0	13.0
331.0	11.0
332.0	8.0
333.0	5.0
334.0	6.0
335.0	6.0
336.0	8.0
337.0	9.0
338.0	7.0
339.0	13.0
340.0	8.0
341.0	6.0
342.0	9.0
343.0	9.0
344.0	9.0
345.0	4.0
346.0	9.0
347.0	6.0
348.0	13.0
349.0	8.0
350.0	10.0
351.0	6.0
352.0	6.0
353.0	8.0
354.0	11.0
355.0	6.0
356.0	7.0
357.0	7.0
358.0	3.0
359.0	6.0
360.0	7.0
361.0	9.0
362.0	9.0
363.0	6.0
364.0	7.0
365.0	4.0
366.0	9.0
367.0	7.0
368.0	8.0
