ID	sample_SRR1039508	sample_SRR1039512
ENSG00000223972	2	3
ENSG00000227232	28	34
ENSG00000278267	0	0
ENSG00000243485	1	3
ENSG00000284332	0	0
ENSG00000237613	0	4
ENSG00000268020	0	0
ENSG00000240361	0	0
ENSG00000186092	0	0
ENSG00000238009	0	3
ENSG00000239945	0	0
ENSG00000233750	0	0
ENSG00000268903	0	2
ENSG00000269981	0	0
ENSG00000239906	0	1
ENSG00000241860	1	4
ENSG00000222623	0	0
ENSG00000241599	0	0
ENSG00000279928	0	0
ENSG00000279457	47	45
ENSG00000273874	0	0
ENSG00000228463	72	58
ENSG00000236679	2	2
ENSG00000236601	0	0
ENSG00000237094	0	7
ENSG00000269732	0	0
ENSG00000284733	0	0
ENSG00000233653	0	0
ENSG00000250575	0	1
ENSG00000278757	0	0
ENSG00000230021	0	1
ENSG00000235146	0	0
ENSG00000225972	566	835
ENSG00000225630	2443	3381
ENSG00000237973	18093	23096
ENSG00000278791	0	0
ENSG00000229344	2252	5258
ENSG00000240409	493	782
ENSG00000248527	4371	6092
ENSG00000198744	3639	3218
ENSG00000268663	0	0
ENSG00000284662	0	0
ENSG00000229376	0	0
ENSG00000228327	13	7
ENSG00000223181	0	0
ENSG00000229905	0	0
ENSG00000237491	12	0
ENSG00000285268	0	0
ENSG00000230092	7	0
ENSG00000177757	0	0
ENSG00000228794	22	0
ENSG00000225880	6	0
ENSG00000230368	1	0
ENSG00000234711	9	0
ENSG00000283040	0	0
ENSG00000272438	0	0
ENSG00000230699	1	0
ENSG00000241180	0	0
ENSG00000223764	3	0
ENSG00000187634	17	0
ENSG00000188976	98	1
ENSG00000187961	41	0
ENSG00000187583	3	0
ENSG00000187642	0	0
ENSG00000272512	0	0
ENSG00000188290	6	0
ENSG00000187608	30	0
ENSG00000231702	57	0
ENSG00000224969	1	0
ENSG00000188157	227	0
ENSG00000242590	0	0
ENSG00000217801	0	0
ENSG00000273443	0	0
ENSG00000237330	0	0
ENSG00000131591	15	0
ENSG00000223823	0	0
ENSG00000207730	0	0
ENSG00000207607	0	0
ENSG00000198976	0	0
ENSG00000272141	0	0
ENSG00000205231	0	0
ENSG00000162571	0	0
ENSG00000186891	0	0
ENSG00000186827	0	0
ENSG00000078808	404	0
ENSG00000176022	43	0
ENSG00000184163	2	0
ENSG00000260179	0	0
ENSG00000160087	55	0
ENSG00000230415	1	0
ENSG00000162572	13	0
ENSG00000131584	169	0
ENSG00000278073	0	0
ENSG00000169972	18	0
ENSG00000127054	130	0
ENSG00000283712	0	0
ENSG00000240731	1	0
ENSG00000224051	35	0
ENSG00000169962	3	0
ENSG00000107404	105	0
ENSG00000284372	0	0
ENSG00000162576	1049	1
ENSG00000175756	76	0
ENSG00000223663	0	0
ENSG00000221978	399	0
ENSG00000224870	21	0
ENSG00000242485	44	0
ENSG00000264293	0	0
ENSG00000272455	19	0
ENSG00000235098	4	0
ENSG00000225905	0	0
ENSG00000205116	0	0
ENSG00000225285	0	0
ENSG00000179403	15	0
ENSG00000215915	0	0
ENSG00000160072	23	0
ENSG00000284740	0	0
ENSG00000197785	15	0
ENSG00000205090	7	0
ENSG00000160075	171	0
ENSG00000215014	0	0
ENSG00000274481	0	0
ENSG00000228594	20	0
ENSG00000272106	7	0
ENSG00000197530	108	0
ENSG00000189409	0	0
ENSG00000248333	60	0
ENSG00000272004	0	0
ENSG00000189339	147	0
ENSG00000269737	4	0
ENSG00000215914	0	0
ENSG00000008128	2	0
ENSG00000268575	6	0
ENSG00000227775	0	0
ENSG00000215790	56	1
ENSG00000008130	99	0
