Module	Section	Sample Name	Source
QualiMap	genome_results	SRR1039508.sort	/export/jonassenfs/xiaokangz/project/temp/RNA-Seq-analysis/output_example/genome/alignmentQC/SRR1039508_BAMqc/genome_results.txt
QualiMap	genome_results	SRR1039509.sort	/export/jonassenfs/xiaokangz/project/temp/RNA-Seq-analysis/output_example/genome/alignmentQC/SRR1039509_BAMqc/genome_results.txt
QualiMap	genome_results	SRR1039512.sort	/export/jonassenfs/xiaokangz/project/temp/RNA-Seq-analysis/output_example/genome/alignmentQC/SRR1039512_BAMqc/genome_results.txt
QualiMap	genome_results	SRR1039513.sort	/export/jonassenfs/xiaokangz/project/temp/RNA-Seq-analysis/output_example/genome/alignmentQC/SRR1039513_BAMqc/genome_results.txt
QualiMap	coverage_histogram	SRR1039508_BAMqc	/export/jonassenfs/xiaokangz/project/temp/RNA-Seq-analysis/output_example/genome/alignmentQC/SRR1039508_BAMqc/raw_data_qualimapReport/coverage_histogram.txt
QualiMap	coverage_histogram	SRR1039509_BAMqc	/export/jonassenfs/xiaokangz/project/temp/RNA-Seq-analysis/output_example/genome/alignmentQC/SRR1039509_BAMqc/raw_data_qualimapReport/coverage_histogram.txt
QualiMap	coverage_histogram	SRR1039512_BAMqc	/export/jonassenfs/xiaokangz/project/temp/RNA-Seq-analysis/output_example/genome/alignmentQC/SRR1039512_BAMqc/raw_data_qualimapReport/coverage_histogram.txt
QualiMap	coverage_histogram	SRR1039513_BAMqc	/export/jonassenfs/xiaokangz/project/temp/RNA-Seq-analysis/output_example/genome/alignmentQC/SRR1039513_BAMqc/raw_data_qualimapReport/coverage_histogram.txt
QualiMap	insert_size_histogram	SRR1039508_BAMqc	/export/jonassenfs/xiaokangz/project/temp/RNA-Seq-analysis/output_example/genome/alignmentQC/SRR1039508_BAMqc/raw_data_qualimapReport/insert_size_histogram.txt
QualiMap	insert_size_histogram	SRR1039509_BAMqc	/export/jonassenfs/xiaokangz/project/temp/RNA-Seq-analysis/output_example/genome/alignmentQC/SRR1039509_BAMqc/raw_data_qualimapReport/insert_size_histogram.txt
QualiMap	insert_size_histogram	SRR1039512_BAMqc	/export/jonassenfs/xiaokangz/project/temp/RNA-Seq-analysis/output_example/genome/alignmentQC/SRR1039512_BAMqc/raw_data_qualimapReport/insert_size_histogram.txt
QualiMap	insert_size_histogram	SRR1039513_BAMqc	/export/jonassenfs/xiaokangz/project/temp/RNA-Seq-analysis/output_example/genome/alignmentQC/SRR1039513_BAMqc/raw_data_qualimapReport/insert_size_histogram.txt
QualiMap	mapped_gc_distribution	SRR1039508_BAMqc	/export/jonassenfs/xiaokangz/project/temp/RNA-Seq-analysis/output_example/genome/alignmentQC/SRR1039508_BAMqc/raw_data_qualimapReport/mapped_reads_gc-content_distribution.txt
QualiMap	mapped_gc_distribution	SRR1039509_BAMqc	/export/jonassenfs/xiaokangz/project/temp/RNA-Seq-analysis/output_example/genome/alignmentQC/SRR1039509_BAMqc/raw_data_qualimapReport/mapped_reads_gc-content_distribution.txt
QualiMap	mapped_gc_distribution	SRR1039512_BAMqc	/export/jonassenfs/xiaokangz/project/temp/RNA-Seq-analysis/output_example/genome/alignmentQC/SRR1039512_BAMqc/raw_data_qualimapReport/mapped_reads_gc-content_distribution.txt
QualiMap	mapped_gc_distribution	SRR1039513_BAMqc	/export/jonassenfs/xiaokangz/project/temp/RNA-Seq-analysis/output_example/genome/alignmentQC/SRR1039513_BAMqc/raw_data_qualimapReport/mapped_reads_gc-content_distribution.txt
featureCounts	all_sections	SRR1039508.sort	/export/jonassenfs/xiaokangz/project/temp/RNA-Seq-analysis/output_example/genome/countFile/SRR1039508_count.tsv.summary
featureCounts	all_sections	SRR1039509.sort	/export/jonassenfs/xiaokangz/project/temp/RNA-Seq-analysis/output_example/genome/countFile/SRR1039509_count.tsv.summary
featureCounts	all_sections	SRR1039512.sort	/export/jonassenfs/xiaokangz/project/temp/RNA-Seq-analysis/output_example/genome/countFile/SRR1039512_count.tsv.summary
featureCounts	all_sections	SRR1039513.sort	/export/jonassenfs/xiaokangz/project/temp/RNA-Seq-analysis/output_example/genome/countFile/SRR1039513_count.tsv.summary
