SRR1039508	SRR1039512
ENST00000377263	0	0
ENST00000400904	0	0
ENST00000377258	0	0
ENST00000377256	0	0
ENST00000403197	2.70556317115688	0
ENST00000377205	3.16905737610012	0
ENST00000462686	0	0
ENST00000492735	0	0
ENST00000496751	0	0
ENST00000488540	0	0
ENST00000377223	0	0
ENST00000377213	0	0
ENST00000471853	0	0
ENST00000400903	0	0
ENST00000302692	5.73597279866571	0.782451703645336
ENST00000377298	0	0
ENST00000477264	0	0
ENST00000435891	0	0
ENST00000361311	0	0
ENST00000464286	0	0
ENST00000377403	0.538171120308276	0
ENST00000602477	0	0
ENST00000495451	0	0
ENST00000054666	0	0
ENST00000470357	0	0
ENST00000487194	0	0
ENST00000328089	0	0
ENST00000450402	0	0
ENST00000357898	0	0
ENST00000377399	0	0
ENST00000377424	1.1573413580544	0
ENST00000487492	0	0
ENST00000377414	0	0
ENST00000484798	0	0
ENST00000474145	0	0
ENST00000479813	0	0
ENST00000486632	0	0
ENST00000487835	0	0
ENST00000464985	0	0
ENST00000473209	0	0
ENST00000308647	2.00629383099466	0
ENST00000472194	1.3268112900507	0
ENST00000378736	0	0
ENST00000485748	0.472023905929414	0
ENST00000474481	0.578669685907177	0
ENST00000377411	3.23675485083645	0.158751498435294
ENST00000465853	0	0
ENST00000466131	0	0
ENST00000356026	0	0
ENST00000472264	0	0
ENST00000512731	0	0
ENST00000378675	0	0
ENST00000479814	0	0
ENST00000435358	0	0
ENST00000503792	0	0
ENST00000489782	7.05255739388922	0
ENST00000486400	4.36214728943861	0
ENST00000490017	0	0
ENST00000549778	0	0
ENST00000476083	0	0
ENST00000480186	1.61303845354918	0
ENST00000377443	0	0
ENST00000377436	0	0
ENST00000377442	0	0
ENST00000337907	0	0
ENST00000377464	0	0
ENST00000467350	0	0
ENST00000400907	0	0
ENST00000476556	0	0
ENST00000400908	0	0
ENST00000505225	0	0
ENST00000464367	0	0
ENST00000488215	0	0
ENST00000460659	0	0
ENST00000492766	0	0
ENST00000465125	0	0
ENST00000464972	0	0
ENST00000480342	0	0
ENST00000507012	0	0
ENST00000469251	0	0
ENST00000514428	0	0
ENST00000468247	0	0
ENST00000495558	2.51972463492493	0
ENST00000338660	1.32881892355923	0
ENST00000476993	0.58298359239145	0
ENST00000471398	0	0
ENST00000378821	0	0
ENST00000400906	0	0
ENST00000377346	0.590998236505174	0.513306080490636
ENST00000484851	0	0
ENST00000361110	0	0
ENST00000481137	0	0
ENST00000479223	0	0
ENST00000536656	8.27600020004138e-08	0
ENST00000628140	8.27600020004138e-08	0
ENST00000543390	0	0
ENST00000340305	0	0
ENST00000340381	0	0
ENST00000416541	0	0
ENST00000510900	0	0
ENST00000508400	0	0
ENST00000646539	0	0
ENST00000464920	0	0
ENST00000234590	0	0
ENST00000647408	0	0
ENST00000645609	0	0
ENST00000645600	0	0
ENST00000497492	0	0
ENST00000646660	0	0
ENST00000646680	0	0
ENST00000646370	0	0
ENST00000646906	0	0
ENST00000646156	0	0
ENST00000643438	0	0
ENST00000489867	0	0
ENST00000486051	0	0
ENST00000492343	0	0
ENST00000414948	4.02267809247321	1.22293898236151
ENST00000471889	0	0
ENST00000497660	0	0
ENST00000481265	0	0
ENST00000289877	0	0
ENST00000341832	15.5046671539874	0
ENST00000407249	3.91850046403511	0
ENST00000615951	0	0
ENST00000340677	2.6111626024551	0
ENST00000611150	0	0
ENST00000341028	0	0
ENST00000629289	0	0
ENST00000626918	0	0
ENST00000629312	0	0
ENST00000520777	0	0
ENST00000355826	0	0
ENST00000518681	0	0
ENST00000505820	0	0
ENST00000479659	3.57031490089902	0
ENST00000489635	0	0
ENST00000511502	2.32253763341867	0
ENST00000477990	0.684153018896843	0
ENST00000514363	0	0
ENST00000487053	0	0
ENST00000502470	0	0
ENST00000378712	0	0
ENST00000507082	3.82314803117032	0
ENST00000463492	0	0
ENST00000510793	0	0
ENST00000504599	0	0
ENST00000507229	2.67393813297246	0
ENST00000503789	0	0
ENST00000378708	0	0
ENST00000506488	0.613510943289335	0
ENST00000512004	0	0
ENST00000508455	0	0
ENST00000514234	1.44509515392978	0
ENST00000467597	0.980129393390965	0
ENST00000508148	1.33572288706611	0
ENST00000486072	0	0
ENST00000505370	3.09091956159143	0
ENST00000473511	0	0
ENST00000464570	0	0
ENST00000483015	2.38537589601755	0
ENST00000511910	0	0
ENST00000470373	0	0
ENST00000315901	1.61720831624997	1.14712618927455
ENST00000294435	0	0
ENST00000344843	36.7417939031756	0
ENST00000493287	0	0
ENST00000487659	0.915754153414935	0
ENST00000492508	1.23691344477776	0
ENST00000482352	0	0
ENST00000477686	0	0
ENST00000379370	13.8748848209735	0
ENST00000477585	0	0
ENST00000469403	0	0
ENST00000479707	0	0
ENST00000466223	0	0
ENST00000478677	0	0
ENST00000492947	2.22243076257896	0
ENST00000419249	0	0
ENST00000461111	0.321749494317092	0
ENST00000620552	4.55180011002276e-06	0
ENST00000493373	0	0
