ENSGMOG00000000001,ENSGMOT00000000001.1
ENSGMOG00000000002,ENSGMOT00000000002.1
ENSGMOG00000000003,ENSGMOT00000000003.1
ENSGMOG00000000004,ENSGMOT00000000004.1
ENSGMOG00000000005,ENSGMOT00000000005.1
ENSGMOG00000000006,ENSGMOT00000000006.1
ENSGMOG00000000007,ENSGMOT00000000008.1
ENSGMOG00000000007,ENSGMOT00000000009.1
ENSGMOG00000000007,ENSGMOT00000000010.1
ENSGMOG00000000007,ENSGMOT00000000011.1
ENSGMOG00000000007,ENSGMOT00000000007.1
ENSGMOG00000000008,ENSGMOT00000000012.1
ENSGMOG00000000009,ENSGMOT00000000013.1
ENSGMOG00000000010,ENSGMOT00000000014.1
ENSGMOG00000000011,ENSGMOT00000000015.1
ENSGMOG00000000012,ENSGMOT00000000020.1
ENSGMOG00000000013,ENSGMOT00000000016.1
ENSGMOG00000000014,ENSGMOT00000000018.1
ENSGMOG00000000015,ENSGMOT00000000017.1
ENSGMOG00000000016,ENSGMOT00000000019.1
ENSGMOG00000000017,ENSGMOT00000000021.1
ENSGMOG00000000018,ENSGMOT00000000022.1
ENSGMOG00000000019,ENSGMOT00000000023.1
ENSGMOG00000000020,ENSGMOT00000000024.1
ENSGMOG00000000021,ENSGMOT00000000027.1
ENSGMOG00000000022,ENSGMOT00000000026.1
ENSGMOG00000000023,ENSGMOT00000000025.1
ENSGMOG00000000024,ENSGMOT00000000028.1
ENSGMOG00000000025,ENSGMOT00000000029.1
ENSGMOG00000000026,ENSGMOT00000000030.1
ENSGMOG00000000027,ENSGMOT00000000031.1
ENSGMOG00000000028,ENSGMOT00000000032.1
ENSGMOG00000000029,ENSGMOT00000000033.1
ENSGMOG00000000030,ENSGMOT00000000034.1
ENSGMOG00000000031,ENSGMOT00000000035.1
ENSGMOG00000000032,ENSGMOT00000000039.1
ENSGMOG00000000033,ENSGMOT00000000036.1
ENSGMOG00000000034,ENSGMOT00000000037.1
ENSGMOG00000000035,ENSGMOT00000000038.1
ENSGMOG00000000036,ENSGMOT00000000056.1
ENSGMOG00000000037,ENSGMOT00000000044.1
ENSGMOG00000000038,ENSGMOT00000000042.1
ENSGMOG00000000039,ENSGMOT00000000040.1
ENSGMOG00000000040,ENSGMOT00000000041.1
ENSGMOG00000000041,ENSGMOT00000000046.1
ENSGMOG00000000042,ENSGMOT00000000045.1
ENSGMOG00000000043,ENSGMOT00000000043.1
ENSGMOG00000000044,ENSGMOT00000000047.1
ENSGMOG00000000045,ENSGMOT00000000048.1
ENSGMOG00000000046,ENSGMOT00000000051.1
ENSGMOG00000000047,ENSGMOT00000000049.1
ENSGMOG00000000048,ENSGMOT00000000050.1
ENSGMOG00000000049,ENSGMOT00000000054.1
ENSGMOG00000000050,ENSGMOT00000000052.1
ENSGMOG00000000051,ENSGMOT00000000062.1
ENSGMOG00000000052,ENSGMOT00000000055.1
ENSGMOG00000000053,ENSGMOT00000000053.1
ENSGMOG00000000054,ENSGMOT00000000057.1
ENSGMOG00000000055,ENSGMOT00000000059.1
ENSGMOG00000000056,ENSGMOT00000000060.1
ENSGMOG00000000057,ENSGMOT00000000058.1
ENSGMOG00000000058,ENSGMOT00000000061.1
ENSGMOG00000000059,ENSGMOT00000000069.1
ENSGMOG00000000060,ENSGMOT00000000066.1
ENSGMOG00000000061,ENSGMOT00000000065.1
ENSGMOG00000000062,ENSGMOT00000000063.1
ENSGMOG00000000063,ENSGMOT00000000064.1
ENSGMOG00000000064,ENSGMOT00000000076.1
ENSGMOG00000000065,ENSGMOT00000000068.1
ENSGMOG00000000066,ENSGMOT00000000067.1
ENSGMOG00000000067,ENSGMOT00000000073.1
ENSGMOG00000000068,ENSGMOT00000000072.1
ENSGMOG00000000069,ENSGMOT00000000086.1
ENSGMOG00000000070,ENSGMOT00000000078.1
ENSGMOG00000000071,ENSGMOT00000000070.1
ENSGMOG00000000072,ENSGMOT00000000071.1
ENSGMOG00000000073,ENSGMOT00000000090.1
ENSGMOG00000000073,ENSGMOT00000000097.1
ENSGMOG00000000074,ENSGMOT00000000074.1
ENSGMOG00000000075,ENSGMOT00000000075.1
ENSGMOG00000000076,ENSGMOT00000000077.1
ENSGMOG00000000077,ENSGMOT00000000083.1
ENSGMOG00000000078,ENSGMOT00000000080.1
ENSGMOG00000000079,ENSGMOT00000000081.1
ENSGMOG00000000080,ENSGMOT00000000079.1
ENSGMOG00000000081,ENSGMOT00000000082.1
ENSGMOG00000000082,ENSGMOT00000000089.1
ENSGMOG00000000083,ENSGMOT00000000085.1
ENSGMOG00000000084,ENSGMOT00000000084.1
ENSGMOG00000000085,ENSGMOT00000000087.1
ENSGMOG00000000086,ENSGMOT00000000088.1
ENSGMOG00000000087,ENSGMOT00000000091.1
ENSGMOG00000000088,ENSGMOT00000000095.1
ENSGMOG00000000089,ENSGMOT00000000098.1
ENSGMOG00000000090,ENSGMOT00000000092.1
ENSGMOG00000000091,ENSGMOT00000000096.1
ENSGMOG00000000092,ENSGMOT00000000094.1
ENSGMOG00000000093,ENSGMOT00000000093.1
ENSGMOG00000000094,ENSGMOT00000000101.1
ENSGMOG00000000095,ENSGMOT00000000119.1
ENSGMOG00000000096,ENSGMOT00000000099.1
ENSGMOG00000000097,ENSGMOT00000000100.1
ENSGMOG00000000098,ENSGMOT00000000103.1
ENSGMOG00000000099,ENSGMOT00000000102.1
ENSGMOG00000000100,ENSGMOT00000000106.1
ENSGMOG00000000101,ENSGMOT00000000104.1
ENSGMOG00000000102,ENSGMOT00000000105.1
ENSGMOG00000000103,ENSGMOT00000000112.1
ENSGMOG00000000104,ENSGMOT00000000109.1
ENSGMOG00000000105,ENSGMOT00000000107.1
ENSGMOG00000000106,ENSGMOT00000000108.1
ENSGMOG00000000107,ENSGMOT00000000113.1
ENSGMOG00000000108,ENSGMOT00000000111.1
ENSGMOG00000000109,ENSGMOT00000000110.1
ENSGMOG00000000110,ENSGMOT00000000114.1
ENSGMOG00000000111,ENSGMOT00000000117.1
ENSGMOG00000000112,ENSGMOT00000000115.1
ENSGMOG00000000113,ENSGMOT00000000116.1
ENSGMOG00000000114,ENSGMOT00000000118.1
ENSGMOG00000000115,ENSGMOT00000000121.1
ENSGMOG00000000116,ENSGMOT00000000120.1
ENSGMOG00000000117,ENSGMOT00000000123.1
ENSGMOG00000000118,ENSGMOT00000000124.1
ENSGMOG00000000119,ENSGMOT00000000122.1
ENSGMOG00000000119,ENSGMOT00000000127.1
ENSGMOG00000000120,ENSGMOT00000000125.1
ENSGMOG00000000121,ENSGMOT00000000129.1
ENSGMOG00000000122,ENSGMOT00000000126.1
ENSGMOG00000000123,ENSGMOT00000000128.1
ENSGMOG00000000124,ENSGMOT00000000131.1
ENSGMOG00000000125,ENSGMOT00000000130.1
ENSGMOG00000000126,ENSGMOT00000000136.1
ENSGMOG00000000127,ENSGMOT00000000132.1
ENSGMOG00000000128,ENSGMOT00000000134.1
ENSGMOG00000000129,ENSGMOT00000000135.1
ENSGMOG00000000130,ENSGMOT00000000133.1
ENSGMOG00000000131,ENSGMOT00000000137.1
ENSGMOG00000000132,ENSGMOT00000000141.1
ENSGMOG00000000133,ENSGMOT00000000164.1
ENSGMOG00000000133,ENSGMOT00000000171.1
ENSGMOG00000000133,ENSGMOT00000000173.1
ENSGMOG00000000134,ENSGMOT00000000138.1
ENSGMOG00000000135,ENSGMOT00000000140.1
ENSGMOG00000000136,ENSGMOT00000000139.1
ENSGMOG00000000137,ENSGMOT00000000142.1
ENSGMOG00000000138,ENSGMOT00000000143.1
ENSGMOG00000000139,ENSGMOT00000000144.1
ENSGMOG00000000140,ENSGMOT00000000145.1
ENSGMOG00000000141,ENSGMOT00000000158.1
ENSGMOG00000000142,ENSGMOT00000000146.1
ENSGMOG00000000143,ENSGMOT00000000148.1
ENSGMOG00000000144,ENSGMOT00000000147.1
ENSGMOG00000000145,ENSGMOT00000000150.1
ENSGMOG00000000146,ENSGMOT00000000156.1
ENSGMOG00000000147,ENSGMOT00000000154.1
ENSGMOG00000000148,ENSGMOT00000000149.1
ENSGMOG00000000149,ENSGMOT00000000152.1
ENSGMOG00000000150,ENSGMOT00000000151.1
ENSGMOG00000000151,ENSGMOT00000000166.1
ENSGMOG00000000151,ENSGMOT00000000169.1
ENSGMOG00000000152,ENSGMOT00000000161.1
ENSGMOG00000000153,ENSGMOT00000000153.1
ENSGMOG00000000154,ENSGMOT00000000157.1
ENSGMOG00000000155,ENSGMOT00000000159.1
ENSGMOG00000000156,ENSGMOT00000000155.1
ENSGMOG00000000157,ENSGMOT00000000160.1
ENSGMOG00000000158,ENSGMOT00000000165.1
ENSGMOG00000000159,ENSGMOT00000000162.1
ENSGMOG00000000160,ENSGMOT00000000163.1
ENSGMOG00000000161,ENSGMOT00000000167.1
ENSGMOG00000000162,ENSGMOT00000000170.1
ENSGMOG00000000163,ENSGMOT00000000168.1
ENSGMOG00000000164,ENSGMOT00000000175.1
ENSGMOG00000000165,ENSGMOT00000000172.1
ENSGMOG00000000166,ENSGMOT00000000174.1
